Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	MS/MS count	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
O00116	O00116	2	2	2	Alkyldihydroxyacetonephosphate synthase, peroxisomal	AGPS	sp|O00116|ADAS_HUMAN Alkyldihydroxyacetonephosphate synthase, peroxisomal OS=Homo sapiens OX=9606 GN=AGPS PE=1 SV=1	1	2	2	2	4.9	4.9	4.9	72.911	658	658	0.0	14.065	1675500	2	19	1911;3905	True;True	1944;3986	2053;4211	2188;4523	2188;4523		
O00151	O00151	5	5	5	PDZ and LIM domain protein 1	PDLIM1	sp|O00151|PDLI1_HUMAN PDZ and LIM domain protein 1 OS=Homo sapiens OX=9606 GN=PDLIM1 PE=1 SV=4	1	5	5	5	20.4	20.4	20.4	36.071	329	329	0.0	31.278	5170800	5	20	701;1974;4291;5521;5584	True;True;True;True;True	712;2008;4379;5630;5695	756;2120;4622;5937;6006	806;2266;4955;6390;6470	806;2266;4955;6390;6470		
O00154	O00154	1	1	1	Cytosolic acyl coenzyme A thioester hydrolase	ACOT7	sp|O00154|BACH_HUMAN Cytosolic acyl coenzyme A thioester hydrolase OS=Homo sapiens OX=9606 GN=ACOT7 PE=1 SV=3	1	1	1	1	2.9	2.9	2.9	41.796	380	380	0.00086881	6.2132	694480	1	21	481	True	486	517	547	547		
O00159	O00159	8	8	8	Unconventional myosin-Ic	MYO1C	sp|O00159|MYO1C_HUMAN Unconventional myosin-Ic OS=Homo sapiens OX=9606 GN=MYO1C PE=1 SV=4	1	8	8	8	9.9	9.9	9.9	121.68	1063	1063	0.0	52.373	6489100	8	22	2004;2243;3337;3347;3972;4120;4988;5785	True;True;True;True;True;True;True;True	2038;2278;3393;3403;4055;4208;5088;5896	2153;2405;3593;3603;4282;4445;5376;6216	2303;2568;3876;3886;4598;4770;5781;6687	2303;2568;3876;3886;4598;4770;5781;6687		
O00170	O00170	1	1	1	AH receptor-interacting protein	AIP	sp|O00170|AIP_HUMAN AH receptor-interacting protein OS=Homo sapiens OX=9606 GN=AIP PE=1 SV=3	1	1	1	1	5.8	5.8	5.8	37.664	330	330	0.0008547	6.1256	1267000	1	23	3679	True	3739	3951	4252	4252		
O00203	O00203	1	1	1	AP-3 complex subunit beta-1	AP3B1	sp|O00203|AP3B1_HUMAN AP-3 complex subunit beta-1 OS=Homo sapiens OX=9606 GN=AP3B1 PE=1 SV=3	1	1	1	1	1.2	1.2	1.2	121.32	1094	1094	0.0	7.473	997780	1	24	453	True	457	488	516	516		
O00231	O00231	9	9	9	26S proteasome non-ATPase regulatory subunit 11	PSMD11	sp|O00231|PSD11_HUMAN 26S proteasome non-ATPase regulatory subunit 11 OS=Homo sapiens OX=9606 GN=PSMD11 PE=1 SV=3	1	9	9	9	26.3	26.3	26.3	47.463	422	422	0.0	55.703	6779800	9	25	304;1059;1379;1609;3671;3699;4530;5465;5840	True;True;True;True;True;True;True;True;True	307;1078;1404;1638;3731;3759;4623;5574;5955	329;1149;1490;1732;3942;3971;4875;5881;6276	347;1222;1587;1846;4243;4272;5222;6330;6754	347;1222;1587;1846;4243;4272;5222;6330;6754		
O00232	O00232	4	4	4	26S proteasome non-ATPase regulatory subunit 12	PSMD12	sp|O00232|PSD12_HUMAN 26S proteasome non-ATPase regulatory subunit 12 OS=Homo sapiens OX=9606 GN=PSMD12 PE=1 SV=3	1	4	4	4	9.2	9.2	9.2	52.904	456	456	0.0	25.157	3228500	4	26	2857;3466;5181;5657	True;True;True;True	2905;3525;5282;5768	3083;3731;5581;6083	3337;4021;6004;6549	3337;4021;6004;6549		
O00244	O00244	1	1	1	Copper transport protein ATOX1	ATOX1	sp|O00244|ATOX1_HUMAN Copper transport protein ATOX1 OS=Homo sapiens OX=9606 GN=ATOX1 PE=1 SV=1	1	1	1	1	25.0	25.0	25.0	7.4016	68	68	0.0032787	5.8767	725270	1	27	5122	True	5223	5516	5935	5935		
O00264	O00264	3	2	2	Membrane-associated progesterone receptor component 1	PGRMC1	sp|O00264|PGRC1_HUMAN Membrane-associated progesterone receptor component 1 OS=Homo sapiens OX=9606 GN=PGRMC1 PE=1 SV=3	1	3	2	2	15.9	11.3	11.3	21.671	195	195	0.0	12.232	1602700	2	28	722;1787;2044	True;True;False	734;1819;2078	780;1919;2196	830;2047;2349	830;2047;2349		
O00299	O00299	11	11	11	Chloride intracellular channel protein 1	CLIC1	sp|O00299|CLIC1_HUMAN Chloride intracellular channel protein 1 OS=Homo sapiens OX=9606 GN=CLIC1 PE=1 SV=4	1	11	11	11	70.1	70.1	70.1	26.922	241	241	0.0	71.773	27573000	14	29	1113;1634;1944;2247;2501;2954;3015;3187;3999;5334;5805	True;True;True;True;True;True;True;True;True;True;True	1132;1663;1978;2282;2540;3002;3068;3242;4084;5439;5916	1206;1207;1757;2090;2409;2689;2690;3188;3258;3437;4313;5742;6236	1280;1281;1872;2234;2235;2572;2894;2895;3449;3527;3712;4630;6184;6707	1281;1872;2234;2572;2894;3449;3527;3712;4630;6184;6707		
O00303	O00303	4	4	4	Eukaryotic translation initiation factor 3 subunit F	EIF3F	sp|O00303|EIF3F_HUMAN Eukaryotic translation initiation factor 3 subunit F OS=Homo sapiens OX=9606 GN=EIF3F PE=1 SV=1	1	4	4	4	17.1	17.1	17.1	37.563	357	357	0.0	31.16	4462100	4	30	1056;3191;5280;5284	True;True;True;True	1075;3246;5384;5388	1146;3441;5686;5690	1219;3716;6120;6125	1219;3716;6120;6125		
O00410	O00410	12	12	12	Importin-5	IPO5	sp|O00410|IPO5_HUMAN Importin-5 OS=Homo sapiens OX=9606 GN=IPO5 PE=1 SV=4	1	12	12	12	18.2	18.2	18.2	123.63	1097	1097	0.0	77.569	11960000	13	31	217;1638;1768;2322;2542;3643;4329;4377;4862;5119;5675;5676	True;True;True;True;True;True;True;True;True;True;True;True	219;1667;1799;2357;2582;3703;4417;4466;4959;5220;5786;5787	233;1761;1897;2490;2735;3913;4661;4712;5238;5513;6102;6103	243;1876;2021;2660;2944;4213;4995;4996;5051;5626;5932;6568;6569	243;1876;2021;2660;2944;4213;4995;5051;5626;5932;6568;6569		
O00469	O00469	6	6	6	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	PLOD2	sp|O00469|PLOD2_HUMAN Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 OS=Homo sapiens OX=9606 GN=PLOD2 PE=1 SV=2	1	6	6	6	9.4	9.4	9.4	84.685	737	737	0.0	39.735	4633600	6	32	1903;2815;3356;4305;5349;5542	True;True;True;True;True;True	1936;2863;3412;4393;5454;5651	2045;3033;3612;4636;5757;5958	2180;3270;3895;4969;6199;6412	2180;3270;3895;4969;6199;6412		
O00487	O00487	2	2	2	26S proteasome non-ATPase regulatory subunit 14	PSMD14	sp|O00487|PSDE_HUMAN 26S proteasome non-ATPase regulatory subunit 14 OS=Homo sapiens OX=9606 GN=PSMD14 PE=1 SV=1	1	2	2	2	6.5	6.5	6.5	34.577	310	310	0.0	13.092	1251100	2	33	497;5551	True;True	502;5660	533;5967	563;6421	563;6421		
O00505;O00629	O00505;O00629	3;2	3;2	3;2	Importin subunit alpha-4;Importin subunit alpha-3	KPNA3;KPNA4	sp|O00505|IMA4_HUMAN Importin subunit alpha-4 OS=Homo sapiens OX=9606 GN=KPNA3 PE=1 SV=2;sp|O00629|IMA3_HUMAN Importin subunit alpha-3 OS=Homo sapiens OX=9606 GN=KPNA4 PE=1 SV=1	2	3	3	3	6.9	6.9	6.9	57.81	521	521;521	0.0	18.963	1440500	2	34	915;1018;3971	True;True;True	933;1037;4054	996;1106;4281	1061;1176;4597	1061;1176;4597		
O00533	O00533	1	1	1	Neural cell adhesion molecule L1-like protein;Processed neural cell adhesion molecule L1-like protein	CHL1	sp|O00533|NCHL1_HUMAN Neural cell adhesion molecule L1-like protein OS=Homo sapiens OX=9606 GN=CHL1 PE=1 SV=4	1	1	1	1	0.6	0.6	0.6	135.07	1208	1208	0.003314	5.8929	1356400	1	35	1360	True	1385	1471	1568	1568		
O00571;O15523;Q9NQI0	O00571;O15523	15;10;1	14;9;1	14;9;1	ATP-dependent RNA helicase DDX3X;ATP-dependent RNA helicase DDX3Y	DDX3X;DDX3Y	sp|O00571|DDX3X_HUMAN ATP-dependent RNA helicase DDX3X OS=Homo sapiens OX=9606 GN=DDX3X PE=1 SV=3;sp|O15523|DDX3Y_HUMAN ATP-dependent RNA helicase DDX3Y OS=Homo sapiens OX=9606 GN=DDX3Y PE=1 SV=2	3	15	14	14	25.4	23.7	23.7	73.243	662	662;660;724	0.0	92.858	14812000	14	36	820;911;1253;1712;2302;2406;3113;3758;4426;4476;4618;4650;5474;5577;5812	True;True;True;True;True;True;True;False;True;True;True;True;True;True;True	835;929;1275;1742;2337;2443;3167;3832;4517;4567;4711;4743;5583;5688;5923	889;992;1360;1838;2468;2588;3361;4046;4765;4815;4968;5004;5890;5999;6243	942;1057;1451;1957;2636;2787;3632;4351;5106;5156;5323;5361;6339;6463;6716	942;1057;1451;1957;2636;2787;3632;4351;5106;5156;5323;5361;6339;6463;6716	3	352
O00764	O00764	2	2	2	Pyridoxal kinase	PDXK	sp|O00764|PDXK_HUMAN Pyridoxal kinase OS=Homo sapiens OX=9606 GN=PDXK PE=1 SV=1	1	2	2	2	8.7	8.7	8.7	35.102	312	312	0.0	13.751	1342400	2	37	2163;5701	True;True	2198;5812	2321;6129	2483;6596	2483;6596		
O14684	O14684	1	1	1	Prostaglandin E synthase	PTGES	sp|O14684|PTGES_HUMAN Prostaglandin E synthase OS=Homo sapiens OX=9606 GN=PTGES PE=1 SV=2	1	1	1	1	6.6	6.6	6.6	17.102	152	152	0.0	6.7578	670630	1	38	139	True	141	151	158	158		
O14737	O14737	4	4	4	Programmed cell death protein 5	PDCD5	sp|O14737|PDCD5_HUMAN Programmed cell death protein 5 OS=Homo sapiens OX=9606 GN=PDCD5 PE=1 SV=3	1	4	4	4	35.2	35.2	35.2	14.285	125	125	0.0	27.55	4089300	4	39	69;511;3994;5478	True;True;True;True	69;517;4078;5587	77;549;4306;5894	81;581;4623;6343	81;581;4623;6343		
O14744	O14744	4	4	4	Protein arginine N-methyltransferase 5;Protein arginine N-methyltransferase 5, N-terminally processed	PRMT5	sp|O14744|ANM5_HUMAN Protein arginine N-methyltransferase 5 OS=Homo sapiens OX=9606 GN=PRMT5 PE=1 SV=4	1	4	4	4	9.9	9.9	9.9	72.683	637	637	0.0	25.138	2539700	4	40	25;2449;5452;5585	True;True;True;True	25;2488;5561;5696	28;2635;5867;6007	30;2836;6315;6471	30;2836;6315;6471		
O14776	O14776	1	1	1	Transcription elongation regulator 1	TCERG1	sp|O14776|TCRG1_HUMAN Transcription elongation regulator 1 OS=Homo sapiens OX=9606 GN=TCERG1 PE=1 SV=2	1	1	1	1	1.0	1.0	1.0	123.9	1098	1098	0.0	7.3376	958440	1	41	3237	True	3292	3489	3768	3768		
O14818;Q8TAA3	O14818;Q8TAA3	7;4	7;4	7;4	Proteasome subunit alpha type-7;Proteasome subunit alpha type-7-like	PSMA7;PSMA8	sp|O14818|PSA7_HUMAN Proteasome subunit alpha type-7 OS=Homo sapiens OX=9606 GN=PSMA7 PE=1 SV=1;sp|Q8TAA3|PSMA8_HUMAN Proteasome subunit alpha-type 8 OS=Homo sapiens OX=9606 GN=PSMA8 PE=2 SV=3	2	7	7	7	36.7	36.7	36.7	27.887	248	248;256	0.0	44.809	15863000	7	42	234;296;3606;3709;3886;4061;5885	True;True;True;True;True;True;True	237;299;3666;3769;3967;4147;6000	251;320;3876;3981;4191;4381;6323	264;337;4174;4282;4503;4704;6803	264;337;4174;4282;4503;4704;6803		
O14828	O14828	3	3	3	Secretory carrier-associated membrane protein 3	SCAMP3	sp|O14828|SCAM3_HUMAN Secretory carrier-associated membrane protein 3 OS=Homo sapiens OX=9606 GN=SCAMP3 PE=1 SV=3	1	3	3	3	13.3	13.3	13.3	38.287	347	347	0.0	18.506	1987600	3	43	428;4336;4748	True;True;True	432;4424;4842	460;4669;5108	486;5004;5472	486;5004;5472		
P19105;O14950;P24844	P19105;O14950;P24844	7;7;4	7;7;4	7;7;4	Myosin regulatory light chain 12A;Myosin regulatory light chain 12B;Myosin regulatory light polypeptide 9	MYL12A;MYL12B;MYL9	sp|P19105|ML12A_HUMAN Myosin regulatory light chain 12A OS=Homo sapiens OX=9606 GN=MYL12A PE=1 SV=2;sp|O14950|ML12B_HUMAN Myosin regulatory light chain 12B OS=Homo sapiens OX=9606 GN=MYL12B PE=1 SV=2;sp|P24844|MYL9_HUMAN Myosin regulatory light polypeptide	3	7	7	7	52.0	52.0	52.0	19.794	171	171;172;172	0.0	48.964	15369000	8	44	484;1031;1305;1734;2106;3384;3801	True;True;True;True;True;True;True	489;1050;1328;1329;1765;2140;3443;3882	520;1121;1414;1415;1863;2261;3646;4101	550;1194;1509;1510;1985;2419;3931;4410	550;1194;1510;1985;2419;3931;4410		
O14964	O14964	1	1	1	Hepatocyte growth factor-regulated tyrosine kinase substrate	HGS	sp|O14964|HGS_HUMAN Hepatocyte growth factor-regulated tyrosine kinase substrate OS=Homo sapiens OX=9606 GN=HGS PE=1 SV=1	1	1	1	1	3.3	3.3	3.3	86.191	777	777	0.00092251	6.5344	663920	1	45	4349	True	4437	4682	5019	5019		
O14979	O14979	6	5	5	Heterogeneous nuclear ribonucleoprotein D-like	HNRNPDL	sp|O14979|HNRDL_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=3	1	6	5	5	18.6	16.7	16.7	46.437	420	420	0.0	31.8	7265900	6	46	845;1487;1907;1924;3737;5248	True;True;True;False;True;True	861;1513;1940;1958;3804;3805;5352	918;1600;2049;2068;4017;4018;5652	975;1704;2184;2207;2208;4320;4321;6082	975;1704;2184;2208;4321;6082		
O14980	O14980	8	8	8	Exportin-1	XPO1	sp|O14980|XPO1_HUMAN Exportin-1 OS=Homo sapiens OX=9606 GN=XPO1 PE=1 SV=1	1	8	8	8	9.9	9.9	9.9	123.38	1071	1071	0.0	58.348	10680000	9	47	521;1142;1427;1661;2849;3035;4021;5906	True;True;True;True;True;True;True;True	528;1161;1452;1690;2897;3089;4106;6021	561;1236;1538;1785;3074;3280;4337;6347	595;1310;1637;1638;1902;3328;3551;4658;6830	595;1310;1638;1902;3328;3551;4658;6830		
O15067	O15067	9	9	9	Phosphoribosylformylglycinamidine synthase	PFAS	sp|O15067|PUR4_HUMAN Phosphoribosylformylglycinamidine synthase OS=Homo sapiens OX=9606 GN=PFAS PE=1 SV=4	1	9	9	9	9.8	9.8	9.8	144.73	1338	1338	0.0	56.45	8479700	9	48	163;342;1314;1408;1978;2257;3518;3973;4550	True;True;True;True;True;True;True;True;True	165;345;1338;1433;2012;2292;3577;4056;4643	175;371;1424;1519;2124;2421;3784;4283;4895	182;394;1519;1618;2270;2585;4076;4599;5243	182;394;1519;1618;2270;2585;4076;4599;5243		
O15118	O15118	2	2	2	Niemann-Pick C1 protein	NPC1	sp|O15118|NPC1_HUMAN NPC intracellular cholesterol transporter 1 OS=Homo sapiens OX=9606 GN=NPC1 PE=1 SV=2	1	2	2	2	3.0	3.0	3.0	142.17	1278	1278	0.0	11.427	2038300	2	49	1486;4522	True;True	1512;4615	1599;4867	1703;5212	1703;5212		
O15143;Q92747	O15143	5;1	5;1	5;1	Actin-related protein 2/3 complex subunit 1B	ARPC1B	sp|O15143|ARC1B_HUMAN Actin-related protein 2/3 complex subunit 1B OS=Homo sapiens OX=9606 GN=ARPC1B PE=1 SV=3	2	5	5	5	19.1	19.1	19.1	40.949	372	372;370	0.0	32.94	4030000	5	50	570;3820;4004;4693;5068	True;True;True;True;True	578;3901;4089;4786;5169	613;4121;4318;5048;5460	650;4430;4638;5407;5874	650;4430;4638;5407;5874		
O15144	O15144	3	3	3	Actin-related protein 2/3 complex subunit 2	ARPC2	sp|O15144|ARPC2_HUMAN Actin-related protein 2/3 complex subunit 2 OS=Homo sapiens OX=9606 GN=ARPC2 PE=1 SV=1	1	3	3	3	17.3	17.3	17.3	34.333	300	300	0.0	17.706	3661900	3	51	1572;3747;5730	True;True;True	1601;3819;5841	1692;4033;6158	1804;4337;6627	1804;4337;6627		
O15145	O15145	1	1	1	Actin-related protein 2/3 complex subunit 3	ARPC3	sp|O15145|ARPC3_HUMAN Actin-related protein 2/3 complex subunit 3 OS=Homo sapiens OX=9606 GN=ARPC3 PE=1 SV=3	1	1	1	1	7.3	7.3	7.3	20.546	178	178	0.0	8.2674	1319600	1	52	923	True	942	1006	1072	1072		
O15173	O15173	3	3	2	Membrane-associated progesterone receptor component 2	PGRMC2	sp|O15173|PGRC2_HUMAN Membrane-associated progesterone receptor component 2 OS=Homo sapiens OX=9606 GN=PGRMC2 PE=1 SV=1	1	3	3	2	13.9	13.9	9.9	23.818	223	223	0.0	19.256	1473300	3	53	719;1786;2044	True;True;True	731;1818;2078	777;1918;2196	827;2046;2349	827;2046;2349		
O15212	O15212	2	2	2	Prefoldin subunit 6	PFDN6	sp|O15212|PFD6_HUMAN Prefoldin subunit 6 OS=Homo sapiens OX=9606 GN=PFDN6 PE=1 SV=1	1	2	2	2	17.8	17.8	17.8	14.582	129	129	0.0	15.049	1184400	2	54	1123;3057	True;True	1142;3111	1217;3304	1291;3575	1291;3575		
O15260	O15260	1	1	1	Surfeit locus protein 4	SURF4	sp|O15260|SURF4_HUMAN Surfeit locus protein 4 OS=Homo sapiens OX=9606 GN=SURF4 PE=1 SV=3	1	1	1	1	4.8	4.8	4.8	30.394	269	269	0.0	8.295	2146300	1	55	3012	True	3065	3255	3524	3524		
O15347	O15347	1	1	1	High mobility group protein B3	HMGB3	sp|O15347|HMGB3_HUMAN High mobility group protein B3 OS=Homo sapiens OX=9606 GN=HMGB3 PE=1 SV=4	1	1	1	1	6.5	6.5	6.5	22.98	200	200	0.0093313	5.6629	665540	1	56	3962	True	4045	4272	4588	4588		
O15355	O15355	4	4	4	Protein phosphatase 1G	PPM1G	sp|O15355|PPM1G_HUMAN Protein phosphatase 1G OS=Homo sapiens OX=9606 GN=PPM1G PE=1 SV=1	1	4	4	4	8.8	8.8	8.8	59.271	546	546	0.0	28.084	3118600	4	57	261;1133;3598;4242	True;True;True;True	264;1152;3658;4330	281;1227;3868;4572	297;1301;4165;4903	297;1301;4165;4903		
O15371	O15371	4	4	4	Eukaryotic translation initiation factor 3 subunit D	EIF3D	sp|O15371|EIF3D_HUMAN Eukaryotic translation initiation factor 3 subunit D OS=Homo sapiens OX=9606 GN=EIF3D PE=1 SV=1	1	4	4	4	12.6	12.6	12.6	63.972	548	548	0.0	25.906	5062400	4	58	2538;3909;4727;5823	True;True;True;True	2578;3990;4820;5938	2731;4215;5083;6259	2940;4527;5442;6736	2940;4527;5442;6736		
O15372	O15372	3	3	3	Eukaryotic translation initiation factor 3 subunit H	EIF3H	sp|O15372|EIF3H_HUMAN Eukaryotic translation initiation factor 3 subunit H OS=Homo sapiens OX=9606 GN=EIF3H PE=1 SV=1	1	3	3	3	9.7	9.7	9.7	39.93	352	352	0.0	17.683	2107000	3	59	3993;4318;4760	True;True;True	4077;4406;4854	4305;4650;5123	4622;4983;5488	4622;4983;5488		
O15427	O15427	3	3	3	Monocarboxylate transporter 4	SLC16A3	sp|O15427|MOT4_HUMAN Monocarboxylate transporter 4 OS=Homo sapiens OX=9606 GN=SLC16A3 PE=1 SV=1	1	3	3	3	9.5	9.5	9.5	49.469	465	465	0.0	17.882	2186900	3	60	544;3269;4367	True;True;True	552;3324;4456	587;3523;4701	623;3804;5039	623;3804;5039		
O43143	O43143	9	9	9	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15	DHX15	sp|O43143|DHX15_HUMAN ATP-dependent RNA helicase DHX15 OS=Homo sapiens OX=9606 GN=DHX15 PE=1 SV=2	1	9	9	9	14.8	14.8	14.8	90.932	795	795	0.0	59.143	6412100	9	61	1008;1441;1512;2379;3038;4264;4598;4849;4887	True;True;True;True;True;True;True;True;True	1027;1466;1538;2416;3092;4352;4691;4945;4984	1096;1553;1626;2559;3284;4595;4947;5223;5264	1165;1654;1732;2750;3555;4928;5298;5609;5657	1165;1654;1732;2750;3555;4928;5298;5609;5657		
O43148	O43148	1	1	1	mRNA cap guanine-N7 methyltransferase	RNMT	sp|O43148|MCES_HUMAN mRNA cap guanine-N7 methyltransferase OS=Homo sapiens OX=9606 GN=RNMT PE=1 SV=1	1	1	1	1	2.1	2.1	2.1	54.843	476	476	0.00091491	6.4996	522790	1	62	4711	True	4804	5066	5425	5425		
