Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	MS/MS count	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
O00151	O00151	5	5	5	PDZ and LIM domain protein 1	PDLIM1	sp|O00151|PDLI1_HUMAN PDZ and LIM domain protein 1 OS=Homo sapiens OX=9606 GN=PDLIM1 PE=1 SV=4	1	5	5	5	19.8	19.8	19.8	36.071	329	329	0.0	30.867	5934100	5	19	672;1902;4164;4165;5385	True;True;True;True;True	679;1937;4252;4253;5495	709;2033;4491;4492;5796	753;2161;4795;4796;6211	753;2161;4795;4796;6211		
O00154	O00154	1	1	1	Cytosolic acyl coenzyme A thioester hydrolase	ACOT7	sp|O00154|BACH_HUMAN Cytosolic acyl coenzyme A thioester hydrolase OS=Homo sapiens OX=9606 GN=ACOT7 PE=1 SV=3	1	1	1	1	2.9	2.9	2.9	41.796	380	380	0.00090662	6.2742	851250	1	20	467	True	472	493	521	521		
O00159	O00159	7	7	7	Unconventional myosin-Ic	MYO1C	sp|O00159|MYO1C_HUMAN Unconventional myosin-Ic OS=Homo sapiens OX=9606 GN=MYO1C PE=1 SV=4	1	7	7	7	8.4	8.4	8.4	121.68	1063	1063	0.0	44.029	4499400	7	21	2168;3217;3226;3736;3999;4856;5636	True;True;True;True;True;True;True	2204;3272;3281;3817;4087;4955;5749	2317;3465;3474;4035;4318;5235;6059	2459;3714;3723;4318;4617;5608;6487	2459;3714;3723;4318;4617;5608;6487		
O00203	O00203	1	1	1	AP-3 complex subunit beta-1	AP3B1	sp|O00203|AP3B1_HUMAN AP-3 complex subunit beta-1 OS=Homo sapiens OX=9606 GN=AP3B1 PE=1 SV=3	1	1	1	1	1.2	1.2	1.2	121.32	1094	1094	0.0	6.9399	919140	1	22	434	True	438	458	484	484		
O00217	O00217	1	1	1	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	NDUFS8	sp|O00217|NDUS8_HUMAN NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFS8 PE=1 SV=1	1	1	1	1	4.3	4.3	4.3	23.705	210	210	0.0066834	5.8517	453110	1	23	4782	True	4878	5154	5521	5521		
O00231	O00231	9	9	9	26S proteasome non-ATPase regulatory subunit 11	PSMD11	sp|O00231|PSD11_HUMAN 26S proteasome non-ATPase regulatory subunit 11 OS=Homo sapiens OX=9606 GN=PSMD11 PE=1 SV=3	1	9	9	9	26.3	26.3	26.3	47.463	422	422	0.0	54.695	7144400	9	24	294;1010;1332;1543;3551;3579;4396;5331;5691	True;True;True;True;True;True;True;True;True	296;1024;1354;1570;3608;3636;4488;5440;5809	309;1084;1426;1650;3815;3843;4735;5740;6120	323;1147;1513;1750;4085;4113;5049;6152;6553	323;1147;1513;1750;4085;4113;5049;6152;6553		
O00232	O00232	4	4	4	26S proteasome non-ATPase regulatory subunit 12	PSMD12	sp|O00232|PSD12_HUMAN 26S proteasome non-ATPase regulatory subunit 12 OS=Homo sapiens OX=9606 GN=PSMD12 PE=1 SV=3	1	4	4	4	9.2	9.2	9.2	52.904	456	456	0.0	27.338	3134400	4	25	2771;3342;5050;5515	True;True;True;True	2818;3398;5151;5628	2974;3596;5439;5933	3199;3847;5827;6359	3199;3847;5827;6359		
O00264;O15173	O00264	3;1	3;1	3;1	Membrane-associated progesterone receptor component 1	PGRMC1	sp|O00264|PGRC1_HUMAN Membrane-associated progesterone receptor component 1 OS=Homo sapiens OX=9606 GN=PGRMC1 PE=1 SV=3	2	3	3	3	15.9	15.9	15.9	21.671	195	195;223	0.0	20.271	2326100	3	26	689;1714;1964	True;True;True	697;1746;1999	729;1833;2102	773;1948;2235	773;1948;2235		
O00299	O00299	11	11	11	Chloride intracellular channel protein 1	CLIC1	sp|O00299|CLIC1_HUMAN Chloride intracellular channel protein 1 OS=Homo sapiens OX=9606 GN=CLIC1 PE=1 SV=4	1	11	11	11	70.1	70.1	70.1	26.922	241	241	0.0	76.466	24371000	14	27	1062;1565;1871;2172;2417;2852;2913;3069;3882;5198;5656	True;True;True;True;True;True;True;True;True;True;True	1078;1592;1906;2208;2455;2900;2965;3123;3968;5304;5769	1139;1140;1672;2001;2321;2588;2589;3071;3141;3309;4193;5598;6079	1203;1204;1772;2128;2463;2765;2766;3298;3374;3547;4485;6000;6001;6508	1204;1772;2128;2463;2765;3298;3374;3547;4485;6001;6508		
O00303	O00303	4	4	4	Eukaryotic translation initiation factor 3 subunit F	EIF3F	sp|O00303|EIF3F_HUMAN Eukaryotic translation initiation factor 3 subunit F OS=Homo sapiens OX=9606 GN=EIF3F PE=1 SV=1	1	4	4	4	17.1	17.1	17.1	37.563	357	357	0.0	26.41	4839000	4	28	1006;3073;5151;5154	True;True;True;True	1020;3127;5255;5258	1080;3313;5547;5550	1143;3551;5944;5948	1143;3551;5944;5948		
O00410	O00410	15	15	15	Importin-5	IPO5	sp|O00410|IPO5_HUMAN Importin-5 OS=Homo sapiens OX=9606 GN=IPO5 PE=1 SV=4	1	15	15	15	21.2	21.2	21.2	123.63	1097	1097	0.0	94.148	14383000	15	29	202;445;1570;1694;2251;2457;3801;4209;4451;4737;4944;5324;5341;5531;5532	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	203;449;1597;1725;2287;2496;3883;4297;4543;4833;5045;5433;5450;5644;5645	211;469;1677;1809;2406;2631;4103;4537;4792;5108;5329;5733;5750;5950;5951	218;495;1777;1920;2553;2814;4390;4842;5108;5469;5711;6145;6162;6163;6376;6377	218;495;1777;1920;2553;2814;4390;4842;5108;5469;5711;6145;6162;6376;6377		
O00469	O00469	4	4	4	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	PLOD2	sp|O00469|PLOD2_HUMAN Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 OS=Homo sapiens OX=9606 GN=PLOD2 PE=1 SV=2	1	4	4	4	6.2	6.2	6.2	84.685	737	737	0.0	26.789	2716400	4	30	1831;2726;3232;4186	True;True;True;True	1864;2773;3287;4274	1956;2922;3480;4514	2079;3125;3729;4819	2079;3125;3729;4819		
O00487	O00487	1	1	1	26S proteasome non-ATPase regulatory subunit 14	PSMD14	sp|O00487|PSDE_HUMAN 26S proteasome non-ATPase regulatory subunit 14 OS=Homo sapiens OX=9606 GN=PSMD14 PE=1 SV=1	1	1	1	1	4.2	4.2	4.2	34.577	310	310	0.0	8.2332	506250	1	31	481	True	486	507	535	535		
O00505	O00505	3	3	1	Importin subunit alpha-4	KPNA3	sp|O00505|IMA4_HUMAN Importin subunit alpha-4 OS=Homo sapiens OX=9606 GN=KPNA3 PE=1 SV=2	1	3	3	1	6.9	6.9	2.5	57.81	521	521	0.0	19.064	1438400	2	32	875;974;3854	True;True;True	887;988;3938	936;1046;4162	990;1105;4452	990;1105;4452		
O00533	O00533	1	1	1	Neural cell adhesion molecule L1-like protein;Processed neural cell adhesion molecule L1-like protein	CHL1	sp|O00533|NCHL1_HUMAN Neural cell adhesion molecule L1-like protein OS=Homo sapiens OX=9606 GN=CHL1 PE=1 SV=4	1	1	1	1	0.6	0.6	0.6	135.07	1208	1208	0.0096308	5.6662	1398200	1	33	1315	True	1337	1409	1495	1495		
O00571;O15523;Q9NQI0	O00571;O15523	12;10;1	11;9;1	11;9;1	ATP-dependent RNA helicase DDX3X;ATP-dependent RNA helicase DDX3Y	DDX3X;DDX3Y	sp|O00571|DDX3X_HUMAN ATP-dependent RNA helicase DDX3X OS=Homo sapiens OX=9606 GN=DDX3X PE=1 SV=3;sp|O15523|DDX3Y_HUMAN ATP-dependent RNA helicase DDX3Y OS=Homo sapiens OX=9606 GN=DDX3Y PE=1 SV=2	3	12	11	11	21.9	20.2	20.2	73.243	662	662;660;724	0.0	75.88	12625000	11	34	782;1206;2227;2328;3000;3636;4219;4342;4491;5339;5441;5661	True;True;True;True;True;False;True;True;True;True;True;True	791;1225;2263;2366;3053;3706;4307;4433;4583;5448;5553;5774	832;1296;2379;2497;3233;3916;4547;4676;4836;5748;5857;6084	878;1377;2524;2668;3468;4191;4853;4985;5159;6160;6280;6514	878;1377;2524;2668;3468;4191;4853;4985;5159;6160;6280;6514		
O00629	O00629	3	1	1	Importin subunit alpha-3	KPNA4	sp|O00629|IMA3_HUMAN Importin subunit alpha-3 OS=Homo sapiens OX=9606 GN=KPNA4 PE=1 SV=1	1	3	1	1	9.8	5.4	5.4	57.886	521	521	0.0065898	5.7975	790370	1	35	974;3179;3854	False;True;False	988;3233;3938	1046;3423;4162	1105;3668;4452	1105;3668;4452		
O00764	O00764	2	2	2	Pyridoxal kinase	PDXK	sp|O00764|PDXK_HUMAN Pyridoxal kinase OS=Homo sapiens OX=9606 GN=PDXK PE=1 SV=1	1	2	2	2	8.7	8.7	8.7	35.102	312	312	0.0	14.713	1126200	2	36	2085;5556	True;True	2121;5669	2230;5977	2370;6404	2370;6404		
P47813;O14602	P47813;O14602	1;1	1;1	1;1	Eukaryotic translation initiation factor 1A, X-chromosomal;Eukaryotic translation initiation factor 1A, Y-chromosomal	EIF1AX;EIF1AY	sp|P47813|IF1AX_HUMAN Eukaryotic translation initiation factor 1A, X-chromosomal OS=Homo sapiens OX=9606 GN=EIF1AX PE=1 SV=2;sp|O14602|IF1AY_HUMAN Eukaryotic translation initiation factor 1A, Y-chromosomal OS=Homo sapiens OX=9606 GN=EIF1AY PE=1 SV=4	2	1	1	1	7.6	7.6	7.6	16.46	144	144;144	0.00090416	6.2629	489460	1	37	1036	True	1050	1110	1173	1173		
O14684	O14684	1	1	1	Prostaglandin E synthase	PTGES	sp|O14684|PTGES_HUMAN Prostaglandin E synthase OS=Homo sapiens OX=9606 GN=PTGES PE=1 SV=2	1	1	1	1	6.6	6.6	6.6	17.102	152	152	0.00091158	6.2993	669870	1	38	129	True	129	137	140	140		
O14737	O14737	3	3	3	Programmed cell death protein 5	PDCD5	sp|O14737|PDCD5_HUMAN Programmed cell death protein 5 OS=Homo sapiens OX=9606 GN=PDCD5 PE=1 SV=3	1	3	3	3	28.0	28.0	28.0	14.285	125	125	0.0	23.746	3262900	4	39	493;3876;5343	True;True;True	498;3961;5452	520;4185;5752	548;549;4476;6165	548;4476;6165		
O14744	O14744	4	4	4	Protein arginine N-methyltransferase 5;Protein arginine N-methyltransferase 5, N-terminally processed	PRMT5	sp|O14744|ANM5_HUMAN Protein arginine N-methyltransferase 5 OS=Homo sapiens OX=9606 GN=PRMT5 PE=1 SV=4	1	4	4	4	8.0	8.0	8.0	72.683	637	637	0.0	24.67	2274600	4	40	19;5316;5447;5495	True;True;True;True	19;5425;5559;5608	20;5723;5863;5912	21;6134;6286;6338	21;6134;6286;6338		
O14776	O14776	1	1	1	Transcription elongation regulator 1	TCERG1	sp|O14776|TCRG1_HUMAN Transcription elongation regulator 1 OS=Homo sapiens OX=9606 GN=TCERG1 PE=1 SV=2	1	1	1	1	1.0	1.0	1.0	123.9	1098	1098	0.0	7.9427	862710	1	41	3115	True	3169	3358	3600	3600		
O14818;Q8TAA3	O14818	9;4	9;4	9;4	Proteasome subunit alpha type-7	PSMA7	sp|O14818|PSA7_HUMAN Proteasome subunit alpha type-7 OS=Homo sapiens OX=9606 GN=PSMA7 PE=1 SV=1	2	9	9	9	44.0	44.0	44.0	27.887	248	248;256	0.0	57.636	21043000	10	42	224;286;737;2568;3483;3588;3759;3944;5731	True;True;True;True;True;True;True;True;True	225;288;745;2609;3540;3645;3840;3841;4031;5849	233;300;782;2754;3743;3853;4059;4060;4259;6162	242;313;827;2949;4006;4123;4344;4345;4554;6596	242;313;827;2949;4006;4123;4344;4554;6596		
O14828	O14828	2	2	2	Secretory carrier-associated membrane protein 3	SCAMP3	sp|O14828|SCAM3_HUMAN Secretory carrier-associated membrane protein 3 OS=Homo sapiens OX=9606 GN=SCAMP3 PE=1 SV=3	1	2	2	2	9.2	9.2	9.2	38.287	347	347	0.0	14.097	1144200	2	43	410;4626	True;True	414;4719	433;4980	455;5313	455;5313		
P19105;O14950;P24844	P19105;O14950	5;5;2	5;5;2	5;5;2	Myosin regulatory light chain 12A;Myosin regulatory light chain 12B	MYL12A;MYL12B	sp|P19105|ML12A_HUMAN Myosin regulatory light chain 12A OS=Homo sapiens OX=9606 GN=MYL12A PE=1 SV=2;sp|O14950|ML12B_HUMAN Myosin regulatory light chain 12B OS=Homo sapiens OX=9606 GN=MYL12B PE=1 SV=2	3	5	5	5	39.8	39.8	39.8	19.794	171	171;172;172	0.0	44.62	14319000	7	44	470;1258;1662;2033;3677	True;True;True;True;True	475;1278;1279;1692;2068;3757	496;1350;1351;1776;2174;3972	524;1434;1435;1436;1886;2311;4254	524;1434;1886;2311;4254		
O14964	O14964	1	1	1	Hepatocyte growth factor-regulated tyrosine kinase substrate	HGS	sp|O14964|HGS_HUMAN Hepatocyte growth factor-regulated tyrosine kinase substrate OS=Homo sapiens OX=9606 GN=HGS PE=1 SV=1	1	1	1	1	3.3	3.3	3.3	86.191	777	777	0.00093284	6.4431	653900	1	45	4225	True	4313	4554	4861	4861		
O14979	O14979	4	4	4	Heterogeneous nuclear ribonucleoprotein D-like	HNRNPDL	sp|O14979|HNRDL_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=3	1	4	4	4	12.1	12.1	12.1	46.437	420	420	0.0	25.816	5874000	5	46	806;1834;3616;5115	True;True;True;True	816;1867;3680;3681;5219	859;1959;3889;3890;5509	909;2082;4161;4162;5903	909;2082;4162;5903	2	150
O14980	O14980	7	7	7	Exportin-1	XPO1	sp|O14980|XPO1_HUMAN Exportin-1 OS=Homo sapiens OX=9606 GN=XPO1 PE=1 SV=1	1	7	7	7	8.7	8.7	8.7	123.38	1071	1071	0.0	50.838	9436700	8	47	504;1093;1377;1592;3806;4118;5754	True;True;True;True;True;True;True	509;1109;1399;1619;3888;4206;5872	531;1171;1471;1700;4109;4444;6189	562;1236;1560;1561;1801;4397;4747;6627	562;1236;1561;1801;4397;4747;6627		
O15067	O15067	9	9	9	Phosphoribosylformylglycinamidine synthase	PFAS	sp|O15067|PUR4_HUMAN Phosphoribosylformylglycinamidine synthase OS=Homo sapiens OX=9606 GN=PFAS PE=1 SV=4	1	9	9	9	9.8	9.8	9.8	144.73	1338	1338	0.0	61.488	7075900	9	48	146;331;1267;1358;1906;2183;3396;3855;4418	True;True;True;True;True;True;True;True;True	146;333;1288;1380;1941;2219;3452;3939;4510	154;350;1360;1452;2037;2334;3650;4163;4757	157;367;1445;1541;2165;2476;3904;4453;5072	157;367;1445;1541;2165;2476;3904;4453;5072		
O15118	O15118	2	2	2	Niemann-Pick C1 protein	NPC1	sp|O15118|NPC1_HUMAN NPC intracellular cholesterol transporter 1 OS=Homo sapiens OX=9606 GN=NPC1 PE=1 SV=2	1	2	2	2	3.0	3.0	3.0	142.17	1278	1278	0.0	11.501	1948500	2	49	1430;4387	True;True	1453;4479	1526;4725	1619;5037	1619;5037		
O15143;Q92747	O15143	6;1	6;1	6;1	Actin-related protein 2/3 complex subunit 1B	ARPC1B	sp|O15143|ARC1B_HUMAN Actin-related protein 2/3 complex subunit 1B OS=Homo sapiens OX=9606 GN=ARPC1B PE=1 SV=3	2	6	6	6	23.9	23.9	23.9	40.949	372	372;370	0.0	43.321	4592100	6	50	441;549;3695;3886;4569;4933	True;True;True;True;True;True	445;554;3776;3972;4661;5034	465;578;3992;4197;4919;5318	491;612;4274;4489;5248;5698	491;612;4274;4489;5248;5698		
O15144	O15144	5	5	5	Actin-related protein 2/3 complex subunit 2	ARPC2	sp|O15144|ARPC2_HUMAN Actin-related protein 2/3 complex subunit 2 OS=Homo sapiens OX=9606 GN=ARPC2 PE=1 SV=1	1	5	5	5	24.0	24.0	24.0	34.333	300	300	0.0	30.245	4214600	5	51	825;1510;3626;3696;5584	True;True;True;True;True	836;1537;3694;3777;5697	883;1614;3904;3993;6005	935;1713;4177;4275;6432	935;1713;4177;4275;6432		
O15145	O15145	1	1	1	Actin-related protein 2/3 complex subunit 3	ARPC3	sp|O15145|ARPC3_HUMAN Actin-related protein 2/3 complex subunit 3 OS=Homo sapiens OX=9606 GN=ARPC3 PE=1 SV=3	1	1	1	1	7.3	7.3	7.3	20.546	178	178	0.0	8.0739	1195300	1	52	881	True	894	946	1001	1001		
O15212	O15212	1	1	1	Prefoldin subunit 6	PFDN6	sp|O15212|PFD6_HUMAN Prefoldin subunit 6 OS=Homo sapiens OX=9606 GN=PFDN6 PE=1 SV=1	1	1	1	1	10.9	10.9	10.9	14.582	129	129	0.0	7.9172	687300	1	53	1071	True	1087	1149	1214	1214		
O15260	O15260	1	1	1	Surfeit locus protein 4	SURF4	sp|O15260|SURF4_HUMAN Surfeit locus protein 4 OS=Homo sapiens OX=9606 GN=SURF4 PE=1 SV=3	1	1	1	1	4.8	4.8	4.8	30.394	269	269	0.0	8.4801	1862700	1	54	2911	True	2963	3139	3372	3372		
O15355	O15355	3	3	3	Protein phosphatase 1G	PPM1G	sp|O15355|PPM1G_HUMAN Protein phosphatase 1G OS=Homo sapiens OX=9606 GN=PPM1G PE=1 SV=1	1	3	3	3	6.8	6.8	6.8	59.271	546	546	0.0	20.008	2295000	3	55	254;1083;3475	True;True;True	256;1099;3532	265;1161;3735	276;1226;3997	276;1226;3997		
O15371	O15371	2	2	2	Eukaryotic translation initiation factor 3 subunit D	EIF3D	sp|O15371|EIF3D_HUMAN Eukaryotic translation initiation factor 3 subunit D OS=Homo sapiens OX=9606 GN=EIF3D PE=1 SV=1	1	2	2	2	4.6	4.6	4.6	63.972	548	548	0.0	15.286	2844200	2	56	2453;4609	True;True	2492;4701	2627;4960	2810;5290	2810;5290		
O15372	O15372	2	2	2	Eukaryotic translation initiation factor 3 subunit H	EIF3H	sp|O15372|EIF3H_HUMAN Eukaryotic translation initiation factor 3 subunit H OS=Homo sapiens OX=9606 GN=EIF3H PE=1 SV=1	1	2	2	2	7.1	7.1	7.1	39.93	352	352	0.0	12.86	2035900	2	57	3875;4198	True;True	3960;4286	4184;4526	4475;4831	4475;4831		
O15427	O15427	2	2	2	Monocarboxylate transporter 4	SLC16A3	sp|O15427|MOT4_HUMAN Monocarboxylate transporter 4 OS=Homo sapiens OX=9606 GN=SLC16A3 PE=1 SV=1	1	2	2	2	4.5	4.5	4.5	49.469	465	465	0.0	11.739	1218600	2	58	1881;3148	True;True	1916;3202	2011;3392	2138;3637	2138;3637		
O43143	O43143	10	10	10	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15	DHX15	sp|O43143|DHX15_HUMAN ATP-dependent RNA helicase DHX15 OS=Homo sapiens OX=9606 GN=DHX15 PE=1 SV=2	1	10	10	10	18.1	18.1	18.1	90.932	795	795	0.0	61.436	8416700	10	59	824;965;1390;1455;1663;2304;4138;4467;4723;4763	True;True;True;True;True;True;True;True;True;True	835;979;1412;1478;1693;2342;4226;4559;4818;4859	882;1037;1484;1553;1554;1777;2470;4465;4810;5090;5134	934;1096;1574;1646;1647;1887;2633;4769;5127;5448;5500	934;1096;1574;1647;1887;2633;4769;5127;5448;5500		
O43148	O43148	1	1	1	mRNA cap guanine-N7 methyltransferase	RNMT	sp|O43148|MCES_HUMAN mRNA cap guanine-N7 methyltransferase OS=Homo sapiens OX=9606 GN=RNMT PE=1 SV=1	1	1	1	1	2.1	2.1	2.1	54.843	476	476	0.00087489	6.0725	563540	1	60	4591	True	4683	4941	5270	5270		
O43169	O43169	3	3	3	Cytochrome b5 type B	CYB5B	sp|O43169|CYB5B_HUMAN Cytochrome b5 type B OS=Homo sapiens OX=9606 GN=CYB5B PE=1 SV=3	1	3	3	3	36.7	36.7	36.7	16.694	150	150	0.0	22.556	3741100	3	61	1286;1582;2073	True;True;True	1307;1609;2109	1379;1689;2218	1465;1789;2358	1465;1789;2358		
O43175	O43175	9	9	9	D-3-phosphoglycerate dehydrogenase	PHGDH	sp|O43175|SERA_HUMAN D-3-phosphoglycerate dehydrogenase OS=Homo sapiens OX=9606 GN=PHGDH PE=1 SV=4	1	9	9	9	21.4	21.4	21.4	56.65	533	533	0.0	57.94	12023000	9	62	328;1886;2123;2570;3678;4077;4773;5223;5358	True;True;True;True;True;True;True;True;True	330;1921;2159;2611;3758;4165;4869;5329;5467	347;2016;2269;2756;3973;4402;5145;5623;5768	364;2143;2410;2951;4255;4705;5512;6027;6182	364;2143;2410;2951;4255;4705;5512;6027;6182		
O43242	O43242	4	4	4	26S proteasome non-ATPase regulatory subunit 3	PSMD3	sp|O43242|PSMD3_HUMAN 26S proteasome non-ATPase regulatory subunit 3 OS=Homo sapiens OX=9606 GN=PSMD3 PE=1 SV=2	1	4	4	4	9.6	9.6	9.6	60.977	534	534	0.0	26.975	2791900	3	63	216;1212;2233;3352	True;True;True;True	217;1231;2269;3408	225;1302;2385;3606	234;1383;2531;3857	234;1383;2531;3857		
O43252	O43252	1	1	1	Bifunctional 3-phosphoadenosine 5-phosphosulfate synthase 1;Sulfate adenylyltransferase;Adenylyl-sulfate kinase	PAPSS1	sp|O43252|PAPS1_HUMAN Bifunctional 3-phosphoadenosine 5-phosphosulfate synthase 1 OS=Homo sapiens OX=9606 GN=PAPSS1 PE=1 SV=2	1	1	1	1	4.0	4.0	4.0	70.832	624	624	0.00094429	6.4855	687720	1	64	4084	True	4172	4409	4712	4712		
