Protein IDs	Peptide counts (razor+unique)	Protein names	Gene names	Number of proteins	Razor + unique peptides	Unique sequence coverage [%]	Sequence lengths	Score	Intensity	MS/MS count	id	Best MS/MS
O15042	1	U2 snRNP-associated SURP motif-containing protein	U2SURP	1	1	0.8	1029	5.6391	893370	1	47	1811
O15067	9	Phosphoribosylformylglycinamidine synthase	PFAS	1	9	9.8	1338	59.456	8969600	9	48	174
O15079	1	Syntaphilin	SNPH	1	1	3.2	494	5.7278	660200	1	49	2058
O15118	2	Niemann-Pick C1 protein	NPC1	1	2	3.0	1278	11.71	2039500	2	50	1679
O15127	1	Secretory carrier-associated membrane protein 2	SCAMP2	1	1	3.6	329	5.8324	470220	1	51	1489
O15143	4;1	Actin-related protein 2/3 complex subunit 1B	ARPC1B	2	4	17.2	372;370	25.008	3429500	4	52	524
O15144	4	Actin-related protein 2/3 complex subunit 2	ARPC2	1	4	20.3	300	24.284	4504700	4	53	1782
O15145	1	Actin-related protein 2/3 complex subunit 3	ARPC3	1	1	7.3	178	7.3618	1433100	1	54	1044
O15212	4	Prefoldin subunit 6	PFDN6	1	4	36.4	129	28.35	2221800	4	55	1256
O15260	1	Surfeit locus protein 4	SURF4	1	1	4.8	269	8.5168	2210700	1	56	3436
O15355	3	Protein phosphatase 1G	PPM1G	1	3	7.3	546	21.723	2369300	3	57	297
O15371	4	Eukaryotic translation initiation factor 3 subunit D	EIF3D	1	4	9.9	548	26.824	4660100	4	58	2893
O15372	2	Eukaryotic translation initiation factor 3 subunit H	EIF3H	1	2	7.1	352	12.928	1741800	2	59	4526
O15427	4	Monocarboxylate transporter 4	SLC16A3	1	4	13.5	465	23.639	2561100	4	60	1546
O43143	10	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15	DHX15	1	10	16.5	795	62.893	7457900	11	61	397
O43148	1	mRNA cap guanine-N7 methyltransferase	RNMT	1	1	2.1	476	5.9031	489920	1	62	5313
O43169	3	Cytochrome b5 type B	CYB5B	1	3	36.7	150	22.051	4364300	3	63	1511
O43175	10	D-3-phosphoglycerate dehydrogenase	PHGDH	1	10	24.0	533	66.545	14108000	10	64	392
O43237	3;1	Cytoplasmic dynein 1 light intermediate chain 2	DYNC1LI2	2	3	12.0	492;523	17.081	1631200	3	65	691
O43242	4	26S proteasome non-ATPase regulatory subunit 3	PSMD3	1	4	9.2	534	24.237	4236100	4	66	293
O43252	1	Bifunctional 3-phosphoadenosine 5-phosphosulfate synthase 1;Sulfate adenylyltransferase;Adenylyl-sulfate kinase	PAPSS1	1	1	4.0	624	6.151	778960	1	67	4763
O43324	4	Eukaryotic translation elongation factor 1 epsilon-1	EEF1E1	1	4	32.2	174	24.678	2992500	4	68	0
O43390	12	Heterogeneous nuclear ribonucleoprotein R	HNRNPR	1	12	19.1	633	75.022	15041000	12	69	962
O43396	1	Thioredoxin-like protein 1	TXNL1	1	1	2.4	289	5.6525	758640	1	70	2894
O43399	4	Tumor protein D54	TPD52L2	1	4	21.4	206	28.082	4640500	4	71	5623
O43464	1	Serine protease HTRA2, mitochondrial	HTRA2	1	1	2.8	458	6.6667	448260	1	72	5375
O43615	2	Mitochondrial import inner membrane translocase subunit TIM44	TIMM44	1	2	6.0	452	13.131	550890	2	73	5427
O43670	1	BUB3-interacting and GLEBS motif-containing protein ZNF207	ZNF207	1	1	2.7	478	5.8615	802070	1	74	3639
O43681	4	ATPase ASNA1	ASNA1	1	4	16.1	348	25.513	3199900	4	75	1587
O43684	3	Mitotic checkpoint protein BUB3	BUB3	1	3	13.1	328	19.053	2028700	3	76	1944
O43707	27;5;5	Alpha-actinin-4	ACTN4	3	27	31.3	911;894;901	197.36	74068000	29	77	72
O43708	1	Maleylacetoacetate isomerase	GSTZ1	1	1	6.5	216	6.7025	0	1	78	3791
O43760	1	Synaptogyrin-2	SYNGR2	1	1	4.5	224	5.8849	0	1	79	1082
O43765	3	Small glutamine-rich tetratricopeptide repeat-containing protein alpha	SGTA	1	3	11.2	313	17.531	1934600	3	80	221
O43768	1	Alpha-endosulfine	ENSA	1	1	14.0	121	7.1432	1040000	1	81	4465
O43776	6	Asparagine--tRNA ligase, cytoplasmic	NARS	1	6	15.7	548	43.523	7451400	6	82	1542
O43795	2;1	Unconventional myosin-Ib;Unconventional myosin-Ia	MYO1B;MYO1A	2	2	1.6	1136;1043	11.102	1004700	2	83	2947
O43809	1	Cleavage and polyadenylation specificity factor subunit 5	NUDT21	1	1	5.3	227	6.6303	1547800	1	84	5709
O43837	1	Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial	IDH3B	1	1	2.6	385	6.0799	1079300	1	85	2687
O43852	7	Calumenin	CALU	1	7	33.0	315	46.941	9471000	8	86	868
O60256	1	Phosphoribosyl pyrophosphate synthase-associated protein 2	PRPSAP2	1	1	4.6	369	6.9764	990800	1	87	523
O60264	3;2	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5;Probable global transcription activator SNF2L1	SMARCA5;SMARCA1	2	3	2.9	1052;1054	20.838	1848800	3	88	423
O60313	1	Dynamin-like 120 kDa protein, mitochondrial;Dynamin-like 120 kDa protein, form S1	OPA1	1	1	1.6	960	8.1416	811300	1	89	579
O60493	1	Sorting nexin-3	SNX3	1	1	4.9	162	5.7479	721570	1	90	6663
O60502	1	Protein O-GlcNAcase	MGEA5	1	1	1.4	916	6.6157	601780	1	91	3763
O60506	10	Heterogeneous nuclear ribonucleoprotein Q	SYNCRIP	1	10	20.1	623	72.037	25747000	11	92	898
O60610	3	Protein diaphanous homolog 1	DIAPH1	1	3	3.0	1272	19.643	2026900	3	93	1448
O60664	6	Perilipin-3	PLIN3	1	6	22.1	434	37.668	6001700	6	94	2795
O60678	1	Protein arginine N-methyltransferase 3	PRMT3	1	1	2.1	531	6.9705	532590	1	95	2772
O60701	16	UDP-glucose 6-dehydrogenase	UGDH	1	16	41.9	494	115.94	54566000	16	96	615
O60716	3	Catenin delta-1	CTNND1	1	3	3.8	968	18.694	2233400	3	97	366
P41567	3;3	Eukaryotic translation initiation factor 1;Eukaryotic translation initiation factor 1b	EIF1;EIF1B	2	3	47.8	113;113	19.664	3153000	3	98	1702
O60749	1	Sorting nexin-2	SNX2	1	1	2.7	519	8.4983	511160	1	99	610
O60762	2	Dolichol-phosphate mannosyltransferase subunit 1	DPM1	1	2	15.8	260	11.877	1470400	2	100	2043
O60763	1	General vesicular transport factor p115	USO1	1	1	2.0	962	6.4082	621380	1	101	3547
Q99880	1;1;1;1;1;1;1;1;1;0;0	Histone H2B type 1-L;Histone H2B type 1-M;Histone H2B type 1-N;Histone H2B type 1-H;Histone H2B type 2-F;Histone H2B type 1-C/E/F/G/I;Histone H2B type 1-D;Histone H2B type F-S;Histone H2B type 1-K	HIST1H2BL;HIST1H2BM;HIST1H2BN;HIST1H2BH;HIST2H2BF;HIST1H2BC;HIST1H2BD;H2BFS;HIST1H2BK	11	1	7.1	126;126;126;126;126;126;126;126;126;122;127	6.2505	8055000	1	102	408
O60841	1	Eukaryotic translation initiation factor 5B	EIF5B	1	1	1.6	1220	8.1688	555090	1	103	3095
O60869	2	Endothelial differentiation-related factor 1	EDF1	1	2	18.2	148	14.975	1654000	2	104	143
O60884	2	DnaJ homolog subfamily A member 2	DNAJA2	1	2	7.0	412	13.21	2811800	2	105	1381
O60888	2	Protein CutA	CUTA	1	2	25.1	179	14.782	3157000	2	106	3366
O60925	1	Prefoldin subunit 1	PFDN1	1	1	9.0	122	6.9056	734660	1	107	3379
O75083	13	WD repeat-containing protein 1	WDR1	1	13	37.5	606	82.295	14728000	14	108	203
O75131	2;1;1;1;1;1;1;1	Copine-3;Copine-2;Copine-9;Copine-4;Copine-6;Copine-8;Copine-5;Copine-7	CPNE3;CPNE2;CPNE9;CPNE4;CPNE6;CPNE8;CPNE5;CPNE7	8	2	3.4	537;548;553;557;557;564;593;633	13.597	1460000	2	109	865
O75306	1	NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial	NDUFS2	1	1	3.0	463	6.5998	517720	1	110	2108
O75340	2	Programmed cell death protein 6	PDCD6	1	2	11.0	191	15.319	2197700	2	111	3948
O75347	6	Tubulin-specific chaperone A	TBCA	1	6	38.9	108	35.895	6846400	6	112	892
O75351	1	Vacuolar protein sorting-associated protein 4B	VPS4B	1	1	4.3	444	7.2096	1185400	1	113	1530
O75352	1	Mannose-P-dolichol utilization defect 1 protein	MPDU1	1	1	4.0	247	6.2957	568450	1	114	3793
O75369	52	Filamin-B	FLNB	1	52	27.1	2602	323.31	83649000	53	115	198
O75390	5	Citrate synthase, mitochondrial	CS	1	5	11.8	466	33.949	6826400	4	116	322
O75396	1	Vesicle-trafficking protein SEC22b	SEC22B	1	1	8.8	215	6.0854	844790	1	117	3384
O75436	2	Vacuolar protein sorting-associated protein 26A	VPS26A	1	2	6.7	327	12.145	2239800	2	118	4829
O75475	3	PC4 and SFRS1-interacting protein	PSIP1	1	3	6.8	530	19.016	2124100	3	119	792
O94905	2;2	Erlin-2;Erlin-1	ERLIN2;ERLIN1	2	2	7.1	339;348	14.609	1177100	2	120	3136
O75489	1	NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial	NDUFS3	1	1	4.9	264	5.6738	449290	0	121	3040
O75494	1	Serine/arginine-rich splicing factor 10	SRSF10	1	1	6.1	262	6.6608	974970	1	122	6524
Q96E39	1;1;1;1	RNA binding motif protein, X-linked-like-1;RNA-binding motif protein, X chromosome;RNA-binding motif protein, X chromosome, N-terminally processed;RNA-binding motif protein, X-linked-like-2;RNA-binding motif protein, X-linked-like-3	RBMXL1;RBMX;RBMXL2;RBMXL3	4	1	3.6	390;391;392;1067	6.6696	1060500	1	123	2142
O75531	1	Barrier-to-autointegration factor;Barrier-to-autointegration factor, N-terminally processed	BANF1	1	1	27.0	89	7.7396	2376500	1	124	812
O75533	1	Splicing factor 3B subunit 1	SF3B1	1	1	1.4	1304	5.6715	518050	1	125	3218
O75534	3	Cold shock domain-containing protein E1	CSDE1	1	3	5.1	798	18.154	2189900	3	126	1157
O75607	1	Nucleoplasmin-3	NPM3	1	1	12.9	178	5.8665	566320	1	127	5875
O75608	1	Acyl-protein thioesterase 1	LYPLA1	1	1	4.8	230	5.7623	462630	1	128	5600
O75643	7	U5 small nuclear ribonucleoprotein 200 kDa helicase	SNRNP200	1	7	3.8	2136	46.666	5498500	7	129	231
O75694	3	Nuclear pore complex protein Nup155	NUP155	1	3	2.0	1391	19.621	1658500	3	130	2357
O75717	1	WD repeat and HMG-box DNA-binding protein 1	WDHD1	1	1	1.5	1129	5.8365	518950	1	131	4980
Q9UJS0	1;1	Calcium-binding mitochondrial carrier protein Aralar2;Calcium-binding mitochondrial carrier protein Aralar1	SLC25A13;SLC25A12	2	1	1.3	675;678	6.2534	664850	1	132	6500
O75821	5	Eukaryotic translation initiation factor 3 subunit G	EIF3G	1	5	14.1	320	33.873	3860500	6	133	1406
O75822	3	Eukaryotic translation initiation factor 3 subunit J	EIF3J	1	3	13.2	258	19.026	3483100	3	134	3176
O75844	1	CAAX prenyl protease 1 homolog	ZMPSTE24	1	1	3.4	475	5.8208	827160	1	135	4343
O75874	3	Isocitrate dehydrogenase [NADP] cytoplasmic	IDH1	1	3	6.8	414	19.577	2722900	3	136	537
O75915	2	PRA1 family protein 3	ARL6IP5	1	2	16.0	188	14.688	2297800	2	137	629
O75937	3	DnaJ homolog subfamily C member 8	DNAJC8	1	3	19.0	253	17.792	2388000	3	138	295
O75947	3	ATP synthase subunit d, mitochondrial	ATP5H	1	3	26.7	161	18.206	3705600	4	139	3371
O75964	2	ATP synthase subunit g, mitochondrial	ATP5L	1	2	21.4	103	12.387	1820000	2	140	3419
O76003	7	Glutaredoxin-3	GLRX3	1	7	28.1	335	47.871	11833000	7	141	1431
O76021	3	Ribosomal L1 domain-containing protein 1	RSL1D1	1	3	6.7	490	20.152	2377500	3	142	3770
O76094	3	Signal recognition particle subunit SRP72	SRP72	1	3	7.2	671	20.692	2069700	3	143	226
O94826	1	Mitochondrial import receptor subunit TOM70	TOMM70A	1	1	1.3	608	5.7428	492400	1	144	2348
O94925	11	Glutaminase kidney isoform, mitochondrial	GLS	1	11	24.5	669	74.148	17395000	14	145	708
O94973	1;1	AP-2 complex subunit alpha-2;AP-2 complex subunit alpha-1	AP2A2;AP2A1	2	1	1.1	939;977	7.3224	0	1	146	2306
O95104	1;1	Splicing factor, arginine/serine-rich 15;Protein SCAF8	SCAF4;SCAF8	2	1	1.0	1147;1271	9.2865	785520	1	147	6202
O95197	1	Reticulon-3	RTN3	1	1	1.1	1032	6.4776	1234800	1	148	5649
O95202	2	LETM1 and EF-hand domain-containing protein 1, mitochondrial	LETM1	1	2	2.7	739	11.022	1066800	1	149	809
O95232	1	Luc7-like protein 3	LUC7L3	1	1	3.7	432	6.5139	651940	1	150	2838
O95292	2;1	Vesicle-associated membrane protein-associated protein B/C;Vesicle-associated membrane protein-associated protein A	VAPB;VAPA	2	2	10.7	243;249	15.441	3758300	2	151	2409
O95299	1	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial	NDUFA10	1	1	6.2	355	7.0721	612010	1	152	3782
O95319	1	CUGBP Elav-like family member 2	CELF2	1	1	3.1	508	6.8573	566760	1	153	1443
O95372	1	Acyl-protein thioesterase 2	LYPLA2	1	1	11.3	231	6.6072	623140	1	154	1596
O95373	8;1	Importin-7	IPO7	2	8	9.9	1038;1037	58.177	8783000	9	155	154
O95433	6	Activator of 90 kDa heat shock protein ATPase homolog 1	AHSA1	1	6	26.9	338	37.342	6484700	6	156	75
O95456	2	Proteasome assembly chaperone 1	PSMG1	1	2	9.0	288	15.397	1282500	2	157	49
O95470	2	Sphingosine-1-phosphate lyase 1	SGPL1	1	2	6.2	568	16.067	1496300	2	158	157
O95757	2	Heat shock 70 kDa protein 4L	HSPA4L	1	2	4.9	839	13.704	1598700	3	159	1540
O95777	1	U6 snRNA-associated Sm-like protein LSm8	LSM8	1	1	16.7	96	7.4615	1208600	1	160	2152
O95789	1	Zinc finger MYM-type protein 6	ZMYM6	1	1	0.8	1325	5.9668	629520	1	161	1902
O95793	1	Double-stranded RNA-binding protein Staufen homolog 1	STAU1	1	1	2.1	577	6.0485	414560	0	162	5015
O95816	2	BAG family molecular chaperone regulator 2	BAG2	1	2	11.8	211	13.654	1766900	2	163	1915
O95831	1	Apoptosis-inducing factor 1, mitochondrial	AIFM1	1	1	2.1	613	5.6827	539770	1	164	324
O95881	4	Thioredoxin domain-containing protein 12	TXNDC12	1	4	27.9	172	24.225	2531900	4	165	1135
O96000	1	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10	NDUFB10	1	1	8.1	172	6.882	1185900	1	166	155
O96008	1	Mitochondrial import receptor subunit TOM40 homolog	TOMM40	1	1	3.0	361	10.262	759120	1	167	1990
P00167	1	Cytochrome b5	CYB5A	1	1	6.7	134	5.7258	419740	1	168	5294
P00338	12	L-lactate dehydrogenase A chain	LDHA	1	12	50.3	332	122.98	191400000	19	169	767
P00367	3;2	Glutamate dehydrogenase 1, mitochondrial;Glutamate dehydrogenase 2, mitochondrial	GLUD1;GLUD2	2	3	8.2	558;558	19.715	1715800	3	170	273
P00387	5	NADH-cytochrome b5 reductase 3;NADH-cytochrome b5 reductase 3 membrane-bound form;NADH-cytochrome b5 reductase 3 soluble form	CYB5R3	1	5	23.9	301	31.338	3740500	5	171	851
P00390	7	Glutathione reductase, mitochondrial	GSR	1	7	26.6	522	44.259	8873600	7	172	84
P00441	4	Superoxide dismutase [Cu-Zn]	SOD1	1	4	53.9	154	39.421	14114000	5	173	820
P00491	8	Purine nucleoside phosphorylase	PNP	1	8	39.1	289	56.833	8162600	8	174	827
P00492	3	Hypoxanthine-guanine phosphoribosyltransferase	HPRT1	1	3	24.3	218	21.985	4753900	3	175	1790
P00505	5	Aspartate aminotransferase, mitochondrial	GOT2	1	5	13.7	430	38.823	7321500	4	176	508
P00533	1	Epidermal growth factor receptor	EGFR	1	1	0.7	1210	6.0297	685950	1	177	1460
P00558	13;3	Phosphoglycerate kinase 1	PGK1	2	13	43.4	417;417	96.252	49990000	16	178	66
P00568	1	Adenylate kinase isoenzyme 1	AK1	1	1	6.2	194	7.3671	1105100	1	179	2941
P00918	1	Carbonic anhydrase 2	CA2	1	1	6.2	260	5.9526	924970	1	180	617
P01116	1;1;1	GTPase KRas;GTPase KRas, N-terminally processed;GTPase HRas;GTPase HRas, N-terminally processed;GTPase NRas	KRAS;HRAS;NRAS	3	1	13.2	189;189;189	5.7	1681000	1	181	4958
P01889	1	HLA class I histocompatibility antigen, B-7 alpha chain	HLA-B	1	1	3.9	362	11.321	2858200	1	182	466
P02545	23	Prelamin-A/C;Lamin-A/C	LMNA	1	23	41.7	664	164.46	53931000	27	183	64
P02786	20	Transferrin receptor protein 1;Transferrin receptor protein 1, serum form	TFRC	1	20	33.3	760	131.32	23157000	21	184	1
P02792	2	Ferritin light chain	FTL	1	2	12.6	175	12.67	1472000	2	185	317
P02794	3	Ferritin heavy chain;Ferritin heavy chain, N-terminally processed	FTH1	1	3	15.3	183	16.86	2602200	3	186	1447
P04040	1	Catalase	CAT	1	1	3.6	527	6.4584	1054700	1	187	2414
P04075	18	Fructose-bisphosphate aldolase A	ALDOA	1	18	63.7	364	170.27	250470000	36	188	45
P04080	2	Cystatin-B	CSTB	1	2	24.5	98	12.88	3324600	1	189	5240
P04083	14	Annexin A1	ANXA1	1	14	52.6	346	136.83	87344000	20	190	375
P04179	2	Superoxide dismutase [Mn], mitochondrial	SOD2	1	2	12.6	222	15.076	8878500	2	191	268
P04181	6	Ornithine aminotransferase, mitochondrial;Ornithine aminotransferase, hepatic form;Ornithine aminotransferase, renal form	OAT	1	6	20.5	439	38.24	6554300	6	192	190
P04183	2	Thymidine kinase, cytosolic	TK1	1	2	13.2	234	14.855	1441300	3	193	3326
P04350	1;0;0;0	Tubulin beta-4A chain	TUBB4A	4	1	0.0	444;444;536;451	7.6675	5485400	2	194	382
P04406	12;1	Glyceraldehyde-3-phosphate dehydrogenase	GAPDH	2	12	60.0	335;408	174.65	273340000	31	195	2040
P04439	1	HLA class I histocompatibility antigen, A-3 alpha chain	HLA-A	1	1	3.8	365	11.421	3732800	1	196	1824
P04632	3	Calpain small subunit 1	CAPNS1	1	3	18.3	268	18.744	3290600	3	197	3018
P04637	1	Cellular tumor antigen p53	TP53	1	1	4.8	393	7.644	640380	1	198	4925
P04792	4	Heat shock protein beta-1	HSPB1	1	4	24.9	205	25.342	6092600	4	199	2424
P04843	17	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1	RPN1	1	17	40.2	607	129.88	25022000	18	200	380
P04844	8	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2	RPN2	1	8	20.4	631	55.427	8703000	8	201	1271
Q99878	3;3;3;3;3;3;3;3;3;3;2;2	Histone H2A type 1-J;Histone H2A type 1-H;Histone H2A.J;Histone H2A type 2-C;Histone H2A type 1-C;Histone H2A type 3;Histone H2A type 2-A;Histone H2A type 1-D;Histone H2A type 1;Histone H2A type 1-B/E;Histone H2A.V;Histone H2A.Z	HIST1H2AJ;HIST1H2AH;H2AFJ;HIST2H2AC;HIST1H2AC;HIST3H2A;HIST2H2AA3;HIST1H2AD;HIST1H2AG;HIST1H2AB;H2AFV;H2AFZ	12	3	14.8	128;128;129;129;130;130;130;130;130;130;128;128	25.654	17326000	5	202	196
P05023	8;3;2;1;1	Sodium/potassium-transporting ATPase subunit alpha-1	ATP1A1	5	8	10.0	1023;1013;1020;1029;1039	50.456	8536200	8	203	556
P05141	3;0	ADP/ATP translocase 2;ADP/ATP translocase 2, N-terminally processed	SLC25A5	2	3	12.4	298;315	19.751	3422100	3	204	794
P05161	2	Ubiquitin-like protein ISG15	ISG15	1	2	20.0	165	14.408	1608900	2	205	3428
P05198	11	Eukaryotic translation initiation factor 2 subunit 1	EIF2S1	1	11	41.9	315	73.337	9464900	13	206	92
P05362	6	Intercellular adhesion molecule 1	ICAM1	1	6	13.7	532	41.836	6617300	6	207	901
P05386	2	60S acidic ribosomal protein P1	RPLP1	1	2	51.8	114	12.968	20325000	5	208	21
P05387	5	60S acidic ribosomal protein P2	RPLP2	1	5	66.1	115	38.847	36215000	6	209	3003
P05388	9;6	60S acidic ribosomal protein P0;60S acidic ribosomal protein P0-like	RPLP0;RPLP0P6	2	9	42.6	317;317	67.241	33671000	10	210	165
P05455	10	Lupus La protein	SSB	1	10	27.5	408	75.424	18517000	11	211	731
P05556	9	Integrin beta-1	ITGB1	1	9	15.0	798	55.367	14961000	9	212	1731
P05783	12;3;1	Keratin, type I cytoskeletal 18	KRT18	3	12	36.5	430;423;295	104.39	26302000	13	213	477
P06276	1	Cholinesterase	BCHE	1	1	3.3	602	7.2271	635000	1	214	1577
P06454	2	Prothymosin alpha;Prothymosin alpha, N-terminally processed;Thymosin alpha-1	PTMA	1	2	21.6	111	18.942	16405000	2	215	1655
P06493	6;1;1;1;1;1;1;1;1;1;1;1	Cyclin-dependent kinase 1	CDK1	12	6	21.2	297;292;303;326;372;435;469;474;496;523;1490;1512	41.753	5050200	6	216	3330
P06576	18	ATP synthase subunit beta, mitochondrial	ATP5B	1	18	54.4	529	131.55	43961000	23	217	207
P06703	1	Protein S100-A6	S100A6	1	1	8.9	90	20.513	25936000	1	218	3899
P06730	2	Eukaryotic translation initiation factor 4E	EIF4E	1	2	11.5	217	11.645	1276100	2	219	2780
P06733	15;1	Alpha-enolase	ENO1	2	15	48.8	434;434	200.48	335150000	42	220	62
P06737	20;4;3	Glycogen phosphorylase, liver form	PYGL	3	20	30.3	847;842;843	131.31	32632000	24	221	452
P06744	14;2;1	Glucose-6-phosphate isomerase	GPI	3	14	39.4	558;557;739	90.246	63476000	23	222	1083
P06748	5	Nucleophosmin	NPM1	1	5	25.9	294	46.213	84409000	14	223	779
P06753	4	Tropomyosin alpha-3 chain	TPM3	1	4	8.4	285	31.456	47387000	7	224	8
Q8N257	3;3;3;3;3;1;1	Histone H2B type 3-B;Histone H2B type 2-E;Histone H2B type 1-B;Histone H2B type 1-O;Histone H2B type 1-J	HIST3H2BB;HIST2H2BE;HIST1H2BB;HIST1H2BO;HIST1H2BJ	7	3	7.1	126;126;126;126;126;164;193	28.972	31651000	7	225	408
