Protein IDs	Peptide counts (razor+unique)	Protein names	Gene names	Number of proteins	Razor + unique peptides	Unique sequence coverage [%]	Sequence lengths	Score	Intensity	MS/MS count	id	Best MS/MS
O94905	3;3	Erlin-2;Erlin-1	ERLIN2;ERLIN1	2	3	9.1	339;348	21.12	1480800	3	113	3056
O75494	1	Serine/arginine-rich splicing factor 10	SRSF10	1	1	6.1	262	8.0079	787560	1	114	6437
O75531	1	Barrier-to-autointegration factor;Barrier-to-autointegration factor, N-terminally processed	BANF1	1	1	27.0	89	6.3968	2366800	1	115	775
O75534	3	Cold shock domain-containing protein E1	CSDE1	1	3	5.1	798	17.602	1782500	3	116	1118
O75608	1	Acyl-protein thioesterase 1	LYPLA1	1	1	4.8	230	5.7284	421700	1	117	5549
O75643	8	U5 small nuclear ribonucleoprotein 200 kDa helicase	SNRNP200	1	8	5.8	2136	54.085	5914700	9	118	212
O75694	3	Nuclear pore complex protein Nup155	NUP155	1	3	2.0	1391	18.816	1771200	3	119	2285
O75717	1	WD repeat and HMG-box DNA-binding protein 1	WDHD1	1	1	1.5	1129	5.9676	919540	1	120	4926
Q9UJS0	1;1	Calcium-binding mitochondrial carrier protein Aralar2;Calcium-binding mitochondrial carrier protein Aralar1	SLC25A13;SLC25A12	2	1	1.3	675;678	5.9959	689150	1	121	6412
O75821	3	Eukaryotic translation initiation factor 3 subunit G	EIF3G	1	3	11.2	320	19.107	2191200	3	122	1365
O75822	4	Eukaryotic translation initiation factor 3 subunit J	EIF3J	1	4	16.3	258	26.763	3954800	4	123	727
O75844	1	CAAX prenyl protease 1 homolog	ZMPSTE24	1	1	3.4	475	6.1998	0	1	124	4295
O75874	4	Isocitrate dehydrogenase [NADP] cytoplasmic	IDH1	1	4	9.2	414	30.526	3245000	4	125	504
O75915	2	PRA1 family protein 3	ARL6IP5	1	2	16.0	188	14.715	2180400	2	126	596
O75937	3	DnaJ homolog subfamily C member 8	DNAJC8	1	3	18.6	253	17.681	2073000	3	127	3682
O75947	3	ATP synthase subunit d, mitochondrial	ATP5H	1	3	26.7	161	20.911	3628100	4	128	3299
O75964	2	ATP synthase subunit g, mitochondrial	ATP5L	1	2	21.4	103	11.828	1835900	2	129	3350
O76003	8	Glutaredoxin-3	GLRX3	1	8	30.7	335	50.213	12524000	8	130	1384
O76021	3	Ribosomal L1 domain-containing protein 1	RSL1D1	1	3	6.7	490	19.346	2334600	3	131	3707
O76094	3	Signal recognition particle subunit SRP72	SRP72	1	3	7.2	671	20.968	1902200	3	132	207
O94925	9	Glutaminase kidney isoform, mitochondrial	GLS	1	9	20.3	669	60.99	14006000	10	133	676
O94973	1;1	AP-2 complex subunit alpha-2;AP-2 complex subunit alpha-1	AP2A2;AP2A1	2	1	1.1	939;977	7.1583	0	1	134	2236
O95104	1;1	Splicing factor, arginine/serine-rich 15;Protein SCAF8	SCAF4;SCAF8	2	1	1.0	1147;1271	7.5662	715320	1	135	6130
O95232	1	Luc7-like protein 3	LUC7L3	1	1	3.7	432	7.8947	592050	1	136	2757
O95292	2;1	Vesicle-associated membrane protein-associated protein B/C;Vesicle-associated membrane protein-associated protein A	VAPB;VAPA	2	2	10.7	243;249	14.408	3699300	2	137	2328
O95372	1	Acyl-protein thioesterase 2	LYPLA2	1	1	11.3	231	5.6601	611180	1	138	1546
O95373	7	Importin-7	IPO7	1	7	9.0	1038	44.996	6560600	8	139	141
O95399	1	Urotensin-2	UTS2	1	1	6.5	124	5.935	4703200	1	140	3984
O95433	5	Activator of 90 kDa heat shock protein ATPase homolog 1	AHSA1	1	5	24.3	338	34.126	5322800	5	141	66
O95456	2	Proteasome assembly chaperone 1	PSMG1	1	2	9.0	288	15.131	1222400	2	142	41
O95470	1	Sphingosine-1-phosphate lyase 1	SGPL1	1	1	3.5	568	7.2211	779560	1	143	608
O95757	1	Heat shock 70 kDa protein 4L	HSPA4L	1	1	2.5	839	5.9717	1013200	1	144	1491
O95777	1	U6 snRNA-associated Sm-like protein LSm8	LSM8	1	1	16.7	96	7.1654	1129500	1	145	2087
O95816	3	BAG family molecular chaperone regulator 2	BAG2	1	3	17.5	211	21.057	2734900	3	146	1326
O95881	3	Thioredoxin domain-containing protein 12	TXNDC12	1	3	19.2	172	17.624	1993700	3	147	1098
O96000	1	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10	NDUFB10	1	1	8.1	172	7.9552	830230	1	148	142
O96008	1	Mitochondrial import receptor subunit TOM40 homolog	TOMM40	1	1	3.0	361	8.8745	556650	1	149	1919
P00338	11	L-lactate dehydrogenase A chain	LDHA	1	11	47.0	332	128.39	133390000	18	150	837
P49448	1;1	Glutamate dehydrogenase 2, mitochondrial;Glutamate dehydrogenase 1, mitochondrial	GLUD2;GLUD1	2	1	2.2	558;558	9.427	517270	1	151	729
P00387	3	NADH-cytochrome b5 reductase 3;NADH-cytochrome b5 reductase 3 membrane-bound form;NADH-cytochrome b5 reductase 3 soluble form	CYB5R3	1	3	20.3	301	19.102	2543000	3	152	791
P00390	5	Glutathione reductase, mitochondrial	GSR	1	5	19.2	522	32.591	6601000	5	153	320
P00403	1	Cytochrome c oxidase subunit 2	MT-CO2	1	1	3.1	227	5.6891	543900	1	154	3640
P00441	5	Superoxide dismutase [Cu-Zn]	SOD1	1	5	60.4	154	42.318	17688000	6	155	2009
P00491	8	Purine nucleoside phosphorylase	PNP	1	8	39.1	289	58.645	8386300	8	156	790
P00492	3	Hypoxanthine-guanine phosphoribosyltransferase	HPRT1	1	3	25.7	218	21.636	4549000	3	157	4533
P00505	8	Aspartate aminotransferase, mitochondrial	GOT2	1	8	21.9	430	55.489	9286900	7	158	471
P00533	1	Epidermal growth factor receptor	EGFR	1	1	0.7	1210	6.2143	613670	1	159	1412
P00558	13;3	Phosphoglycerate kinase 1	PGK1	2	13	41.0	417;417	91.48	46086000	14	160	58
P00568	2	Adenylate kinase isoenzyme 1	AK1	1	2	11.9	194	13.643	1836600	2	161	509
P01116	1;1;1	GTPase KRas;GTPase KRas, N-terminally processed;GTPase HRas;GTPase HRas, N-terminally processed;GTPase NRas	KRAS;HRAS;NRAS	3	1	13.2	189;189;189	5.9178	1181500	1	162	4902
P01889	1	HLA class I histocompatibility antigen, B-7 alpha chain	HLA-B	1	1	3.9	362	8.9665	2657000	1	163	428
P02545	27	Prelamin-A/C;Lamin-A/C	LMNA	1	27	45.5	664	186.27	56519000	29	164	54
P02786	20	Transferrin receptor protein 1;Transferrin receptor protein 1, serum form	TFRC	1	20	33.3	760	133.11	23189000	20	165	1
P02792	2	Ferritin light chain	FTL	1	2	12.6	175	12.789	1553200	2	166	293
P02794	3	Ferritin heavy chain;Ferritin heavy chain, N-terminally processed	FTH1	1	3	15.3	183	16.937	2489700	3	167	1401
P04040	1	Catalase	CAT	1	1	3.6	527	6.176	775940	1	168	2332
P04075	15	Fructose-bisphosphate aldolase A	ALDOA	1	15	52.7	364	146.88	197690000	28	169	35
P04080	2	Cystatin-B	CSTB	1	2	24.5	98	14.164	2818100	2	170	5190
P04083	14	Annexin A1	ANXA1	1	14	55.2	346	113.94	67433000	18	171	57
P04179	2	Superoxide dismutase [Mn], mitochondrial	SOD2	1	2	12.6	222	13.747	8453200	2	172	248
P04181	6	Ornithine aminotransferase, mitochondrial;Ornithine aminotransferase, hepatic form;Ornithine aminotransferase, renal form	OAT	1	6	18.9	439	37.469	6105700	6	173	172
P04350	1;0;0;0	Tubulin beta-4A chain	TUBB4A	4	1	0.0	444;444;536;451	9.7192	5060500	1	174	354
P04406	13;1	Glyceraldehyde-3-phosphate dehydrogenase	GAPDH	2	13	63.3	335;408	140.29	253030000	33	175	1976
P04439	1	HLA class I histocompatibility antigen, A-3 alpha chain	HLA-A	1	1	3.8	365	9.7994	3557500	1	176	1755
P04632	3;1	Calpain small subunit 1	CAPNS1	2	3	17.2	268;248	18.78	3214400	3	177	2935
P04792	3	Heat shock protein beta-1	HSPB1	1	3	17.1	205	20.377	4738100	3	178	2342
P04843	13	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1	RPN1	1	13	33.1	607	93.936	17811000	13	179	351
P04844	8	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2	RPN2	1	8	20.4	631	54.996	7587900	8	180	1229
P63096	2;2;2;2;1;1;1;1;1	Guanine nucleotide-binding protein G(i) subunit alpha-1;Guanine nucleotide-binding protein G(o) subunit alpha;Guanine nucleotide-binding protein G(k) subunit alpha;Guanine nucleotide-binding protein G(i) subunit alpha-2;Guanine nucleotide-binding protein G(t) subunit alpha-1;Guanine nucleotide-binding protein G(t) subunit alpha-2;Guanine nucleotide-binding protein G(t) subunit alpha-3;Guanine nucleotide-binding protein G(olf) subunit alpha;Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas	GNAI1;GNAO1;GNAI3;GNAI2;GNAT1;GNAT2;GNAT3;GNAL;GNAS	9	2	6.5	354;354;354;355;350;354;354;381;1037	12.598	1933700	2	181	3688
Q99878	1;1;1;1;1;1;1;1;1;1;0;0;0	Histone H2A type 1-J;Histone H2A type 1-H;Histone H2A.J;Histone H2A type 2-C;Histone H2A type 1-C;Histone H2A type 3;Histone H2A type 2-A;Histone H2A type 1-D;Histone H2A type 1;Histone H2A type 1-B/E;Histone H2A type 1-A;Histone H2AX	HIST1H2AJ;HIST1H2AH;H2AFJ;HIST2H2AC;HIST1H2AC;HIST3H2A;HIST2H2AA3;HIST1H2AD;HIST1H2AG;HIST1H2AB;HIST1H2AA;H2AFX	13	1	14.8	128;128;129;129;130;130;130;130;130;130;131;143;130	6.1286	3568700	1	182	178
P05023	7;2;1	Sodium/potassium-transporting ATPase subunit alpha-1	ATP1A1	3	7	8.4	1023;1013;1020	45.727	6221800	7	183	529
P05141	7;1	ADP/ATP translocase 2;ADP/ATP translocase 2, N-terminally processed	SLC25A5	2	7	16.1	298;315	47.261	27058000	9	184	55
P05161	2	Ubiquitin-like protein ISG15	ISG15	1	2	20.0	165	15.084	1592400	2	185	3360
P05198	9	Eukaryotic translation initiation factor 2 subunit 1	EIF2S1	1	9	31.1	315	61.146	6912000	9	186	747
P05362	6	Intercellular adhesion molecule 1	ICAM1	1	6	14.1	532	39.415	6514500	6	187	862
P05386	1	60S acidic ribosomal protein P1	RPLP1	1	1	37.7	114	5.6798	6356100	2	188	266
P05387	5	60S acidic ribosomal protein P2	RPLP2	1	5	76.5	115	45.744	38552000	7	189	2920
P05388	8;5	60S acidic ribosomal protein P0;60S acidic ribosomal protein P0-like	RPLP0;RPLP0P6	2	8	33.4	317;317	58.093	27588000	9	190	637
P05455	11	Lupus La protein	SSB	1	11	31.1	408	77.962	21877000	11	191	704
P05556	11	Integrin beta-1	ITGB1	1	11	17.9	798	73.42	15692000	11	192	834
P05783	11;3;1	Keratin, type I cytoskeletal 18	KRT18	3	11	35.8	430;423;295	76.581	24074000	13	193	440
P06276	1	Cholinesterase	BCHE	1	1	3.3	602	6.0716	762540	1	194	1528
P06454	1	Prothymosin alpha;Prothymosin alpha, N-terminally processed;Thymosin alpha-1	PTMA	1	1	12.6	111	9.6473	5707300	1	195	4922
P06493	6;1;1;1;1;1;1;1;1;1;1;1	Cyclin-dependent kinase 1	CDK1	12	6	21.2	297;292;303;326;372;435;469;474;496;523;1490;1512	40.499	4633400	7	196	3263
P06576	15	ATP synthase subunit beta, mitochondrial	ATP5B	1	15	49.5	529	110.46	38470000	22	197	200
P06703	2	Protein S100-A6	S100A6	1	2	16.7	90	15.848	20981000	2	198	3740
P06730	3	Eukaryotic translation initiation factor 4E	EIF4E	1	3	14.7	217	18.372	2107900	3	199	2696
P06733	15;1	Alpha-enolase	ENO1	2	15	48.8	434;434	239.6	267470000	39	200	52
P06737	18;2;1	Glycogen phosphorylase, liver form	PYGL	3	18	26.8	847;842;843	119.8	28741000	21	201	810
P06744	11	Glucose-6-phosphate isomerase	GPI	1	11	26.7	558	72.807	31191000	19	202	1047
P06748	5	Nucleophosmin	NPM1	1	5	25.9	294	56.588	56814000	13	203	744
P06753	3	Tropomyosin alpha-3 chain	TPM3	1	3	11.6	285	19.229	9343000	3	204	10
Q16778	1;1;1;1;1;1;1	Histone H2B type 2-E;Histone H2B type 1-B;Histone H2B type 1-O;Histone H2B type 1-J;Histone H2B type 3-B	HIST2H2BE;HIST1H2BB;HIST1H2BO;HIST1H2BJ;HIST3H2BB	7	1	7.1	126;126;126;126;126;164;193	5.9048	5197300	1	205	376
P07099	4	Epoxide hydrolase 1	EPHX1	1	4	14.3	455	24.069	2664200	4	206	1799
P07108	1	Acyl-CoA-binding protein	DBI	1	1	18.4	87	6.2568	5142500	2	207	5494
P07195	7;0;0	L-lactate dehydrogenase B chain	LDHB	3	7	24.3	334;332;332	42.527	13923000	7	208	2058
P07237	18	Protein disulfide-isomerase	P4HB	1	18	37.0	508	130.18	58394000	24	209	783
P07305	1	Histone H1.0;Histone H1.0, N-terminally processed	H1F0	1	1	6.7	194	6.8784	641250	1	210	6571
P07339	2	Cathepsin D;Cathepsin D light chain;Cathepsin D heavy chain	CTSD	1	2	5.8	412	15.147	1438600	2	211	3633
P07355	16;12	Annexin A2;Putative annexin A2-like protein	ANXA2;ANXA2P2	2	16	51.0	339;339	229.94	226650000	35	212	101
P07384	8	Calpain-1 catalytic subunit	CAPN1	1	8	13.3	714	50.787	6091200	7	213	755
P07437	17	Tubulin beta chain	TUBB	1	17	16.0	444	204.05	298960000	55	214	224
P07602	5	Prosaposin;Saposin-A;Saposin-B-Val;Saposin-B;Saposin-C;Saposin-D	PSAP	1	5	10.5	524	36.94	25910000	5	215	1343
P07741	5	Adenine phosphoribosyltransferase	APRT	1	5	40.6	180	37.227	7045600	5	217	90
P07814	20	Bifunctional glutamate/proline--tRNA ligase;Glutamate--tRNA ligase;Proline--tRNA ligase	EPRS	1	20	19.2	1512	128.99	24446000	22	218	1142
P07858	1	Cathepsin B;Cathepsin B light chain;Cathepsin B heavy chain	CTSB	1	1	5.0	339	5.8483	1040000	1	219	2354
P07900	15;2;2	Heat shock protein HSP 90-alpha	HSP90AA1	3	15	23.4	732;343;334	191.01	160470000	32	220	83
P07910	5;2;2;2;2;2;2	Heterogeneous nuclear ribonucleoproteins C1/C2	HNRNPC	7	5	19.6	306;293;293;293;293;293;293	33.865	9087300	5	221	2071
P07919	1	Cytochrome b-c1 complex subunit 6, mitochondrial	UQCRH	1	1	19.8	91	8.6222	2484900	2	222	5007
P07954	5	Fumarate hydratase, mitochondrial	FH	1	5	19.2	510	28.73	6278100	5	223	2
P08133	6	Annexin A6	ANXA6	1	6	9.5	673	39.852	8312700	6	224	303
P08134	4;4;2	Rho-related GTP-binding protein RhoC;Transforming protein RhoA;Rho-related GTP-binding protein RhoB	RHOC;RHOA;RHOB	3	4	26.4	193;193;196	25.479	4370900	4	225	2554
