Protein IDs,Protein names,Gene names,Razor + unique peptides,Sequence coverage [%],Mol. weight [kDa],Sequence length,Q-value,Score,Intensity
B4E1C5,"Histidine--tRNA ligase, cytoplasmic",HARS,2,4.3,43.878,395,0.0041008,1.7222,39052000
B4E1Z4,,,6,34.8,140.94,1266,0,27.991,154740000
B4E2E4,Signaling lymphocytic activation molecule,SLAMF1,3,10.8,29.984,269,0,3.2515,25095000
B4E3Q4,Adenosine deaminase CECR1,CECR1,20,42.4,54.36,469,0,323.31,7833900000
B5MBX2,Transcobalamin-2,TCN2,14,32.9,47.142,423,0,26.962,904830000
B5MBZ8,Protein phosphatase 1 regulatory subunit 7,PPP1R7,4,18.6,31.357,274,0,31.376,174170000
B5MCX3,Septin-2,2-Sep,5,23.4,36.94,321,0,31.163,56850000
B5ME96,Leukocyte immunoglobulin-like receptor subfamily A member 6;Leukocyte immunoglobulin-like receptor subfamily B member 3,LILRA6;LILRB3,6,15.3,50.884,464,0,10.068,371930000
B5MEF5,"Sushi, nidogen and EGF-like domain-containing protein 1",SNED1,26,24.3,148.7,1380,0,257.73,1720300000
B7Z1I4,Neurotrimin,NTM,12,38.4,38.249,346,0,134.06,1486300000
B7Z7P8,Eukaryotic peptide chain release factor subunit 1,ETF1,2,5.9,47.475,423,0,4.8717,21485000
B7Z7U4,Tyrosine-protein kinase receptor;NT-3 growth factor receptor,NTRK3,4,6.5,69.019,617,0,35.628,253590000
B7Z972,Protein-L-isoaspartate O-methyltransferase;Protein-L-isoaspartate(D-aspartate) O-methyltransferase,PCMT1,2,8.9,20.683,192,0.0023923,1.9082,53078000
B7ZB63,ADP-ribosylation factor 3;ADP-ribosylation factor 1;ADP-ribosylation factor 5,ARF3;ARF1;ARF5,2,11.8,16.145,144,0.002414,2.0201,21068000
B7ZKJ8,,ITIH4,30,39.3,103.88,935,0,264.14,29670000000
B9A040,"Interleukin-1 receptor type 1;Interleukin-1 receptor type 1, membrane form;Interleukin-1 receptor type 1, soluble form",IL1R1,3,28.9,19.879,173,0,110.17,104960000
B9A064,Immunoglobulin lambda-like polypeptide 5;Ig lambda-1 chain C regions,IGLL5;IGLC1,3,46.7,23.063,214,0,126.38,43815000000
C9J6H5,Disintegrin and metalloproteinase domain-containing protein 9,ADAM9,3,25.8,14.651,128,0,7.952,95148000
C9J8U2,Nicotinate phosphoribosyltransferase,NAPRT,2,5.9,52.161,490,0,6.507,11447000
C9JE82,Voltage-dependent calcium channel subunit alpha-2/delta-2;Voltage-dependent calcium channel subunit alpha-2-2;Voltage-dependent calcium channel subunit delta-2,CACNA2D2,3,4,129.21,1144,0,4.5163,67649000
C9JIF9,Acylamino-acid-releasing enzyme,APEH,3,4.5,81.673,737,0,2.803,43665000
C9JIZ6,Prosaposin;Saposin-A;Saposin-B-Val;Saposin-B;Saposin-C;Saposin-D,PSAP,13,27,58.353,526,0,44.567,1413700000
C9JJ79,Paired immunoglobulin-like type 2 receptor alpha,PILRA,3,12.4,25.577,226,0,13.451,284550000
C9JPH8,Leukocyte immunoglobulin-like receptor subfamily B member 1,LILRB1,5,21.2,55.466,510,0,82.366,713140000
C9JV77,Alpha-2-HS-glycoprotein;Alpha-2-HS-glycoprotein chain A;Alpha-2-HS-glycoprotein chain B,AHSG,6,35.3,39.411,368,0,119.66,669980000
C9JWS0,G-protein coupled receptor 64,GPR64,2,2.9,109.97,1001,0,13.929,186220000
C9JXF9,Insulin-like growth factor-binding protein 1,IGFBP1,10,45.5,27.671,257,0,39.093,3707800000
C9JYY6,Neuronal cell adhesion molecule,NRCAM,19,20.8,130.66,1180,0,124.97,2031300000
D3YTG3,Target of Nesh-SH3,ABI3BP,14,9.7,195.32,1777,0,323.31,10050000000
D6R934,Complement C1q subcomponent subunit B,C1QB,3,14.7,26.459,251,0,51.741,690610000
D6RA82,Annexin;Annexin A3,ANXA3,14,54.2,32.118,284,0,36.424,448830000
D6RAR4,,HGFAC,24,43.5,71.482,662,0,323.31,61705000000
D6RDM4,Interleukin-7 receptor subunit alpha,IL7R,2,12,16.787,150,0,4.1584,0
D6RF35,Vitamin D-binding protein,GC,2,3.6,53.02,476,0,2.4008,25676000
D6RF86,Cadherin-6,CDH6,13,28.1,67.402,608,0,103.39,419080000
D6RGG3,Collagen alpha-1(XII) chain,COL12A1,38,13.9,333.2,3062,0,289.35,1466700000
E5RHN3,Hepatitis A virus cellular receptor 2,HAVCR2,4,19.8,30.33,273,0,8.6352,117050000
E5RIW3,Tubulin-specific chaperone A,TBCA,6,47.6,10.08,84,0,10.103,361120000
E7EMM4,Acid ceramidase;Acid ceramidase subunit alpha;Acid ceramidase subunit beta,ASAH1,3,11.1,41.796,370,0,28.827,48207000
E7END6,Vitamin K-dependent protein C;Vitamin K-dependent protein C light chain;Vitamin K-dependent protein C heavy chain;Activation peptide,PROC,25,43.8,55.389,495,0,323.31,87097000000
E7ENR4,Hexokinase-1;Hexokinase;Hexokinase-2,HK1;HK2,2,2,106.31,952,0,2.8619,11863000
E7EP32,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1;Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2;Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-3;Guanine nucleotide-binding protein subunit beta-4,GNB2;GNB1;GNB3;GNB4,2,5.7,32.408,296,0,3.0826,56632000
E7EPS8,Protein-tyrosine-phosphatase;Receptor-type tyrosine-protein phosphatase mu,PTPRM,19,18.8,157.07,1390,0,323.31,2825000000
E7EPV7,Alpha-synuclein,SNCA,6,60,11.777,115,0,36.352,160980000
E7EPZ9,Tenascin-X,TNXB,2,37.3,458.38,4244,0,12.81,78308000
E7EQ12,Calpastatin,CAST,4,17.5,46.133,423,0,58.727,110250000
E7EQV3,Polyadenylate-binding protein;Polyadenylate-binding protein 1;Polyadenylate-binding protein 1-like;Polyadenylate-binding protein 3;Polyadenylate-binding protein 4,PABPC1;PABPC1L;PABPC4;PABPC3,2,2.9,65.747,591,0.00061767,2.301,16381000
E7ER45,"Maltase-glucoamylase, intestinal;Maltase;Glucoamylase",MGAM,3,2.7,312.02,2753,0,9.4343,19023000
E7ETZ0,Calmodulin,CALM1;CALM2,12,76,16.966,150,0,202.37,5321600000
E7EUC7,UTP--glucose-1-phosphate uridylyltransferase,UGP2,12,26.7,57.805,517,0,122.52,790930000
E7EUF1,Ectonucleotide pyrophosphatase/phosphodiesterase family member 2,ENPP2,30,41,101.55,884,0,323.31,13328000000
E7EUU1,Latent-transforming growth factor beta-binding protein 4,LTBP4,6,5.5,165.68,1556,0,12.738,162410000
E7EVW7,Hematopoietic lineage cell-specific protein,HCLS1,2,4.5,49.704,449,0,3.6814,37493000
E7EWH9,Myomesin-2,MYOM2,2,3.4,99.713,890,0,8.467,8413800
E9PBP6,Microsomal triglyceride transfer protein large subunit,MTTP,5,5.8,102.64,921,0,13.814,57569000
E9PC41,Interleukin-1 receptor-like 1,IL1RL1,4,15,35.597,314,0,7.3224,82386000
E9PCD7,Alpha-mannosidase;Epididymis-specific alpha-mannosidase,MAN2B2,7,10.9,108.15,958,0,93.927,312670000
E9PD35,Receptor protein-tyrosine kinase;Vascular endothelial growth factor receptor 3,FLT4,21,21,146.45,1306,0,295.12,4676600000
E9PEK4,Macrophage colony-stimulating factor 1 receptor,CSF1R,10,18.5,74.268,671,0,323.31,3545900000
E9PEP6,Neuropilin-1,NRP1,28,38.5,101.3,906,0,323.31,18358000000
E9PG71,Receptor protein-tyrosine kinase;Ephrin type-A receptor 4,EPHA4,11,19.8,105.71,949,0,323.31,1095800000
E9PG94,Low affinity immunoglobulin gamma Fc region receptor III-A,FCGR3A,2,17.6,32.561,289,0,7.7208,5848300000
E9PGT1,Translin,TSN,2,9.4,25.572,223,0,3.8886,58733000
E9PGZ1,Caldesmon,CALD1,15,32.1,61.705,536,0,145.69,737050000
E9PHK0,Tetranectin,CLEC3B,11,85,17.794,160,0,323.31,1.9478E+11
E9PHN6,Glutathione S-transferase Mu 2,GSTM2,6,39.9,22.876,193,0,49.705,168490000
E9PIR7,"Thioredoxin reductase 1, cytoplasmic",TXNRD1,11,27.2,53.166,482,0,49.267,349990000
E9PKG6,Nucleobindin-2;Nesfatin-1,NUCB2;Nucb2,3,9.2,40.341,338,0,4.8226,51231000
E9PKK2,Junctional adhesion molecule-like,AMICA1,5,15.1,34.462,305,0,4.26,204890000
E9PKP3,Transmembrane protein 25,TMEM25,3,11.3,40.795,381,0,20.851,111190000
E9PLK3,Puromycin-sensitive aminopeptidase;Puromycin-sensitive aminopeptidase-like protein,NPEPPS;NPEPPSL1,4,5.7,102.99,915,0,8.9098,22183000
E9PNW4,CD59 glycoprotein,CD59,6,47.2,11.985,108,0,25.072,3472800000
E9PQN4,Complement receptor type 1,CR1,11,19.5,126.01,1151,0,61.607,393900000
E9PRU1,EGF-containing fibulin-like extracellular matrix protein 2,EFEMP2,8,23.2,48.191,436,0,18.225,192470000
F2Z2Y4,Pyridoxal kinase,PDXK,3,16.5,30.638,272,0,15.381,15252000
F2Z2Y9,Signal-regulatory protein beta-2,SIRPB2,2,9,31.58,289,0,7.5238,48973000
F2Z3C9,Granulocyte-macrophage colony-stimulating factor receptor subunit alpha,CSF2RA,4,17.2,32.815,285,0,14.747,88023000
F5GWI4,Adenosine deaminase,ADA,2,5.3,38.292,339,0,2.688,21103000
F5GX07,"Oligoribonuclease, mitochondrial",REXO2,2,12.2,17.28,147,0,3.6442,26525000
F5GXA0,Sulfatase-modifying factor 1,SUMF1,2,6.8,46.834,426,0.00061843,2.3147,4711900
F5GXQ0,BRO1 domain-containing protein BROX,BROX,2,10.1,38.212,338,0,70.349,19286000
F5GXS0,Complement C4-B;Complement C4 beta chain;Complement C4-B alpha chain;C4a anaphylatoxin;C4b-B;C4d-B;Complement C4 gamma chain,C4B,2,15.4,187.67,1698,0,10.252,110310000
F5GYC7,Neurexin-1,NRXN1,9,6.7,164.71,1499,0,15.793,117890000
F5GYN4,Ubiquitin thioesterase OTUB1,OTUB1,7,32.8,28.05,241,0,20.914,184760000
F5GZ08,Amyloid-like protein 1;C30,APLP1,8,17.2,68.49,611,0,50.95,379560000
F5GZK1,Exostosin-like 2;Processed exostosin-like 2,EXTL2,11,43.8,35.967,317,0,198.62,4121900000
F5GZK2,Collagen alpha-1(XXI) chain,COL21A1,5,5.9,99.427,957,0,14.43,78105000
F5GZS6,4F2 cell-surface antigen heavy chain,SLC3A2,21,33.4,64.872,599,0,323.31,10604000000
F5GZZ9,Scavenger receptor cysteine-rich type 1 protein M130;Soluble CD163,CD163,36,42,120.32,1109,0,323.31,34843000000
F5H169,26S proteasome non-ATPase regulatory subunit 9,PSMD9,2,18,14.317,128,0,2.7451,29066000
F5H1T4,Receptor protein-tyrosine kinase;Receptor tyrosine-protein kinase erbB-2,ERBB2,2,3.3,66.542,603,0,3.192,34044000
F5H2B5,Phospholipase D4,PLD4,3,7,56.339,513,0,5.6784,158430000
F5H345,Porphobilinogen deaminase,HMBS,2,5.8,35.761,330,0,3.9815,18690000
F5H5D3,Tubulin alpha-1C chain;Tubulin alpha-1B chain;Tubulin alpha-1A chain;Tubulin alpha-3C/D chain;Tubulin alpha-3E chain,TUBA1C;TUBA1B;TUBA1A;TUBA3C;TUBA3E,8,22.2,57.73,519,0,34.415,756760000
F5H5G1,Limbic system-associated membrane protein,LSAMP,11,30.2,39.704,358,0,323.31,2455100000
F5H6I0,Beta-2-microglobulin;Beta-2-microglobulin form pI 5.3,B2M,7,61.5,13.972,122,0,293.47,16511000000
F5H7G2,Repulsive guidance molecule A,RGMA,8,27.9,37.613,341,0,91.562,377100000
F5H8B0,Coagulation factor VII;Factor VII light chain;Factor VII heavy chain,F7,12,50.4,43.636,397,0,323.31,15151000000
F6SYF8,Dickkopf-related protein 3,DKK3,10,37.4,39.95,364,0,113.34,998990000
F8VSD5,Receptor-type tyrosine-protein phosphatase beta;Protein-tyrosine-phosphatase,PTPRB,17,12.8,176.62,1583,0,87.021,691810000
F8VUJ3,Polypeptide N-acetylgalactosaminyltransferase;Polypeptide N-acetylgalactosaminyltransferase 4,POC1B-GALNT4;GALNT4,9,18.4,66.237,575,0,6.5377,129970000
F8VV32,Lysozyme;Lysozyme C,LYZ,5,46.2,11.488,104,0,5.4912,93284000
F8VV59,Nucleosome assembly protein 1-like 1,NAP1L1,6,20.8,38.028,327,0,163.16,258490000
F8VVB6,Protein kinase C-binding protein NELL2,NELL2,12,18.5,85.921,768,0,59.507,901940000
F8W062,Phospholipase A(2);Phospholipase A2,PLA2G1B,5,56.3,13.223,119,0,31.942,302820000
F8W1C3,Matrix metalloproteinase-19,MMP19,3,8.9,54.605,485,0,6.7649,47782000
F8W6I7,"Heterogeneous nuclear ribonucleoprotein A1;Heterogeneous nuclear ribonucleoprotein A1, N-terminally processed;Heterogeneous nuclear ribonucleoprotein A1-like 2",HNRNPA1;HNRNPA1L2,2,8.5,33.155,307,0,7.5518,13413000
F8W6X9,Protein sidekick-1,SDK1,14,8.8,240,2193,0,179.27,348590000
F8W703,Roundabout homolog 2,ROBO2,5,4,157.35,1439,0.0023981,1.9334,42462000
F8W785,Golgi integral membrane protein 4,GOLIM4,8,13.9,78.759,668,0,26.848,227290000
F8W876,Mannan-binding lectin serine protease 1;Mannan-binding lectin serine protease 1 heavy chain;Mannan-binding lectin serine protease 1 light chain,MASP1,2,63.8,40.613,354,0,47.896,409280000
F8WCF6,Actin-related protein 2/3 complex subunit 4,ARPC4-TTLL3;ARPC4,6,36.5,21.058,181,0,29.024,794800000
F8WD68,Carboxylic ester hydrolase;Acetylcholinesterase,ACHE,2,5.2,43.283,403,0,4.242,40999000
F8WDW9,Endothelial cell-selective adhesion molecule,ESAM,3,17.1,26.7,245,0,17.709,402510000
G3V0E5,"Transferrin receptor protein 1;Transferrin receptor protein 1, serum form",TFRC,26,45.1,75.963,679,0,209.5,3926300000
G3V1A4,Cofilin-1,CFL1,8,61.7,16.811,149,0,72.55,864210000
G3V1D1,"Ferritin;Ferritin heavy chain;Ferritin heavy chain, N-terminally processed",FTH1,2,31,12.876,113,0,22.14,41540000
G3V1D3,Dipeptidyl peptidase 3,DPP3,17,33.9,84.304,756,0,179.94,566190000
G3V1E2,45 kDa calcium-binding protein,SDF4,4,12.6,27.868,254,0,12.201,263480000
G3V1Q4,Septin-7,7-Sep,4,9.4,44.842,384,0.0090192,1.2701,27517000
G3V1Y7,Myosin light polypeptide 6,MYL6,4,40,13.159,115,0,10.752,118970000
G3V2W1,Protein Z-dependent protease inhibitor,SERPINA10,35,64.7,55.113,484,0,323.31,1.3718E+11
G3V357,Ribonuclease pancreatic,RNASE1,4,47.4,13.049,116,0,215.08,6520600000
G3V4U0,Fibulin-5,FBLN5,7,16.3,50.881,453,0,41.143,1274100000
G3V511,Latent-transforming growth factor beta-binding protein 2,LTBP2,9,5,189.24,1769,0,10.75,320330000
G3V5Z7,Proteasome subunit alpha type;Proteasome subunit alpha type-6,PSMA6,10,38.1,28.147,252,0,83.901,597300000
G3XAI2,Laminin subunit beta-1,LAMB1,39,29.4,200.48,1810,0,323.31,4691600000
G3XAK1,Hepatocyte growth factor-like protein;Hepatocyte growth factor-like protein alpha chain;Hepatocyte growth factor-like protein beta chain,MST1,45,62.9,81.998,725,0,323.31,1.5665E+11
G3XAM2,Complement factor I;Complement factor I heavy chain;Complement factor I light chain,CFI,3,5.2,65.059,576,0,3.5556,73955000
G3XAP6,Cartilage oligomeric matrix protein,COMP,27,58.4,79.696,724,0,323.31,8241900000
G8JLD5,Dynamin-1-like protein,DNM1L,2,4.5,79.621,712,0,7.8081,14712000
H0YFH3,,,2,62,73.731,653,0,173,488200000
H0YIS1,Collagen alpha-2(XI) chain,COL11A2,5,5.2,159.88,1629,0,65.073,131950000
H0YM81,Aggrecan core protein;Aggrecan core protein 2,ACAN,11,6.5,257.44,2492,0,198.81,656650000
H0YMD1,Low-density lipoprotein receptor,LDLR,20,27.7,104.75,948,0,229.37,1062000000
H0YMU9,Annexin;Annexin A2;Putative annexin A2-like protein,ANXA2;ANXA2P2,2,10.4,25.569,230,0,8.3838,56510000
H0YNK6,Receptor protein-tyrosine kinase;Tyrosine-protein kinase receptor TYRO3,TYRO3,4,8.3,92.315,845,0,31.784,105280000
H0YNP1,D-glucuronyl C5-epimerase,GLCE,4,7.6,62.886,553,0,6.0267,46546000
H3BM42,Golgi apparatus protein 1,GLG1,8,10.6,79.317,698,0,21.725,233570000
H3BP20,Beta-hexosaminidase;Beta-hexosaminidase subunit alpha,HEXA,20,42.8,61.999,540,0,170.78,1612000000
H7BXU4,C-type lectin domain family 4 member M,CLEC4M,7,32.2,39.482,348,0,11.609,337970000
H7BY64,Proline-rich acidic protein 1,PRAP1,5,17.7,35.167,310,0,191.06,2426900000
H7BYC3,Butyrophilin subfamily 2 member A2;Butyrophilin subfamily 2 member A1,BTN2A1;BTN2A2,2,13.2,16.974,151,0.0040936,1.6999,24079000
H7BYY1,Tropomyosin alpha-1 chain,TPM1,3,48,28.747,248,0,12.814,111260000
H7BZT4,Small ubiquitin-related modifier 2;Small ubiquitin-related modifier 4;Small ubiquitin-related modifier 3,SUMO2;SUMO3;SUMO4,2,27.4,10.839,95,0,30.969,135850000
H7C3P4,N-acetylglucosamine-6-sulfatase,GNS,2,3.4,56.374,496,0,3.4892,54689000
I3L0K2,Thioredoxin domain-containing protein 17,TXNDC17,3,50.7,8.3713,75,0,8.64,121050000
I3L145,Sex hormone-binding globulin,SHBG,20,73.3,37.487,344,0,323.31,87201000000
I3L297,Adapter molecule crk,CRK,2,10.8,25.503,223,0,3.9418,25836000
I3L4D6,Sarcalumenin,SRL,3,4.3,49.136,486,0,4.2436,66506000
I6L8B7,"Fatty acid-binding protein, epidermal",FABP5,7,71.3,11.257,101,0,84.851,347760000
J3KN08,Matrilin-2,MATN2,7,10.1,106.95,957,0,15.21,115390000
J3KN67,,TPM3,2,54.4,33.222,285,0,5.5348,865480000
J3KNB4,Cathelicidin antimicrobial peptide;Antibacterial protein FALL-39;Antibacterial protein LL-37,CAMP,2,12.1,19.591,173,0.0085421,1.3701,99586000
J3KNP4,Semaphorin-4B,SEMA4B,20,34.4,92.765,837,0,205.98,4721600000
J3KNV4,Integrin alpha-7;Integrin alpha-7 heavy chain;Integrin alpha-7 light chain;Integrin alpha-7 70 kDa form,ITGA7,2,2.2,123.63,1131,0,5.9976,20394000
J3KPQ0,Receptor protein-tyrosine kinase;Fibroblast growth factor receptor 4,FGFR4,8,12.1,80.465,734,0,57.602,383290000
J3KQ18,D-dopachrome decarboxylase;D-dopachrome decarboxylase-like protein,DDT;DDTL,6,40.9,14.192,132,0,36.48,1198200000
J3KQ32,Obg-like ATPase 1,OLA1,2,5.8,46.937,416,0,5.1856,60449000
J3KQ45,Trans-Golgi network integral membrane protein 2,TGOLN2,15,35,47.879,454,0,92.172,3161800000
J3KQ66,Reelin,RELN,50,18.8,388.43,3460,0,232.11,2589800000
J3KTP3,Cadherin-19,CDH19,9,18.9,61.163,541,0,21.556,206540000
J3QKX5,Metalloendopeptidase;Meprin A subunit beta,MEP1B,2,3.6,79.442,700,0.0035566,1.82,14238000
J3QQU6,Secreted and transmembrane protein 1,SECTM1,3,34.9,15.921,149,0,13.819,138370000
J3QQX2,Rho GDP-dissociation inhibitor 1,ARHGDIA,4,21.3,25.831,235,0,24.795,1016300000
J3QR77,CD226 antigen,CD226,2,17.7,21.056,181,0,40.992,75512000
J3QRT5,Intercellular adhesion molecule 2,ICAM2,6,25.5,28.181,251,0,158.83,9721500000
J3QSB7,Purine nucleoside phosphorylase;S-methyl-5-thioadenosine phosphorylase,MTAP,3,18.6,26.777,242,0,8.0908,22545000
J3QTS8,Tryptase alpha/beta-1,TPSAB1,5,23.4,31.282,282,0,28.484,173310000
K4DIA0,ICOS ligand,ICOSLG,6,13.7,51.925,473,0,143.66,3925500000
K7EIK7,Echinoderm microtubule-associated protein-like 2,EML2,8,12.8,84.729,773,0,44.662,212940000
K7EKF6,Angiopoietin-related protein 6,ANGPTL6,4,13,46.991,430,0,10.017,113390000
K7ELJ7,Calpain small subunit 1,CAPNS1,4,25.9,29.44,278,0,106.99,125890000
K7ELL7,Glucosidase 2 subunit beta,PRKCSH,15,30.1,60.192,535,0,253.84,2939900000
K7ELM9,,APOC1,2,21.7,9.9763,92,0,15.2,817560000
K7EP46,Thimet oligopeptidase,THOP1,5,12.1,65.119,568,0,41.029,70739000
K7EPB7,Thioredoxin-like protein 1,TXNL1,2,42,7.4927,69,0,15.641,30326000
K7EPJ4,Cartilage intermediate layer protein 2;Cartilage intermediate layer protein 2 C1;Cartilage intermediate layer protein 2 C2,CILP2,20,22.6,126.86,1162,0,193.59,2308500000
K7EQX8,Matrix-remodeling-associated protein 7,MXRA7,2,73.3,1.9121,15,0.0018182,2.0468,35124000
K7ER74,Apolipoprotein C-II;Proapolipoprotein C-II,APOC4-APOC2;APOC2,6,34.8,20.049,178,0,59.652,679450000
K7ERG9,Complement factor D,CFD,16,63.8,27.862,260,0,323.31,40374000000
K7ES70,Microfibril-associated glycoprotein 4,MFAP4,5,18.6,31.326,280,0,241.74,2428500000
M0R1I2,Urokinase plasminogen activator surface receptor,PLAUR,2,11.9,31.638,286,0,12.433,15261000
M9MML6,Low affinity immunoglobulin gamma Fc region receptor III-B,FCGR3B,6,20.4,29.884,269,0,65.652,31299000000
O00151,PDZ and LIM domain protein 1,PDLIM1,12,42.9,36.071,329,0,139.37,1078300000
O00187,Mannan-binding lectin serine protease 2;Mannan-binding lectin serine protease 2 A chain;Mannan-binding lectin serine protease 2 B chain,MASP2,29,49.3,75.702,686,0,323.31,12457000000
O00241,Signal-regulatory protein beta-1,SIRPB1,4,18.6,43.211,398,0,26.882,226680000
O00264,Membrane-associated progesterone receptor component 1,PGRMC1,3,13.3,21.671,195,0,2.9848,77671000
O00299,Chloride intracellular channel protein 1,CLIC1,12,65.1,26.922,241,0,210.49,1077600000
O00391,Sulfhydryl oxidase 1,QSOX1,47,61,82.577,747,0,323.31,64357000000
O00451,GDNF family receptor alpha-2,GFRA2,9,23.3,51.543,464,0,27.292,308730000
O00462,Beta-mannosidase,MANBA,28,34.8,100.89,879,0,250.66,3834700000
O00468,Agrin;Agrin N-terminal 110 kDa subunit;Agrin C-terminal 110 kDa subunit;Agrin C-terminal 90 kDa fragment;Agrin C-terminal 22 kDa fragment,AGRN,24,14.7,214.84,2045,0,130.85,962100000
O00533,Neural cell adhesion molecule L1-like protein;Processed neural cell adhesion molecule L1-like protein,CHL1,38,42.2,136.7,1224,0,323.31,32548000000
O00548,Delta-like protein 1,DLL1,3,4.1,78.055,723,0,27.163,53495000
O00584,Ribonuclease T2,RNASET2,11,47.7,29.48,256,0,54.308,892930000
O00592,Podocalyxin,PODXL,4,7.8,55.385,526,0,44.421,1041000000
O00602,Ficolin-1,FCN1,5,24.5,35.078,326,0,110.36,476860000
O00748,Cocaine esterase,CES2,5,8.2,61.806,559,0,9.2105,190900000
