Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
CON__P04264;P04264	CON__P04264;P04264	1;1	1;1	1;1	Keratin, type II cytoskeletal 1	KRT1	;sp|P04264|K2C1_HUMAN Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6	2	1	1	1	1.7	1.7	1.7	66.017	644	644;644	0.0011274	7.6483	721600	3			+	10	2477	True	2510	2861	4535;4536;4537	4536		
CON__P05787;P05787;CON__H-INV:HIT000292931;CON__Q9H552;O95678;CON__Q922U2;CON__O95678;CON__Q5XQN5;CON__Q8BGZ7;CON__P19013;CON__P48668;CON__P04259;CON__Q6IFZ6;CON__Q7Z794;CON__P13647;CON__Q8VED5;CON__Q9NSB2;CON__REFSEQ:XP_092267;CON__P12035;CON__Q01546;CON__P35908v2;CON__P35908;CON__P02538;CON__Q3TTY5;CON__Q6ISB0;CON__H-INV:HIT000016045;CON__P50446;P35908;CON__Q7RTS7;CON__Q9R0H5;CON__Q32MB2;CON__Q6NXH9;Q7Z794;P48668;P02538;Q01546;CON__Q3SY84;P19013;P12035;Q3SY84;Q9NSB2;Q86Y46;Q7RTS7;P13647;P04259	CON__P05787;P05787	15;15;7;6;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	14;14;7;5;1;1;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	14;14;7;5;1;1;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	Keratin, type II cytoskeletal 8	KRT8	;sp|P05787|K2C8_HUMAN Keratin, type II cytoskeletal 8 OS=Homo sapiens OX=9606 GN=KRT8 PE=1 SV=7	45	15	14	14	30.4	29	29	53.704	483	483;483;443;499;551;580;551;601;551;594;564;564;572;578;590;531;600;213;629;638;639;645;564;707;600;99;553;639;529;524;540;539;578;564;564;638;523;520;628;523;600;540;529;590;564	0	108.97	9330900	19			+	11	76;309;734;1161;2547;2703;2891;2935;3041;3671;3917;3960;4140;4888;4942	True;True;True;False;True;True;True;True;True;True;True;True;True;True;True	77;315;749;1180;2582;2740;2931;2975;3081;3719;3967;4011;4192;4946;5000	86;364;847;1328;2945;3125;3339;3383;3506;4225;4505;4555;4780;5666;5726	129;596;1357;2100;2101;4683;4684;4966;5270;5337;5542;5543;6654;7072;7073;7146;7533;7534;9025;9157;9158	129;596;1357;2101;4683;4966;5270;5337;5542;6654;7073;7146;7534;9025;9158		
CON__P07744	CON__P07744	2	1	1				1	2	1	1	2.9	1.5	1.5	56.283	525	525	0.0028222	5.912	70918	4			+	12	310;1161	True;False	316;1180	365;1328	597;598;599;600;2100;2101	599;2101		
CON__P08727;P08727;CON__P02533;CON__Q9QWL7;CON__P19001;P02533;CON__Q04695;CON__P08779;CON__A2A4G1;CON__Q6IFX2;CON__P19012;Q04695;P19012;P08779;CON__P08730-1;CON__Q9D312;CON__P13646-1;CON__P13645;CON__Q99456;CON__Q3ZAW8;P35527;P13645;CON__Q9Z2K1;Q8N1A0;Q99456;CON__ENSEMBL:ENSP00000377550;CON__P35527;CON__P35900;CON__Q8N1A0;P13646;P35900;CON__Q61782	CON__P08727;P08727	16;15;4;4;4;4;3;3;3;3;3;3;3;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	15;14;4;4;3;4;3;3;3;3;3;3;3;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	14;13;3;3;2;3;2;2;2;3;2;2;2;2;1;1;1;0;0;1;0;0;1;1;0;1;0;1;1;1;1;1	Keratin, type I cytoskeletal 19	KRT19	;sp|P08727|K1C19_HUMAN Keratin, type I cytoskeletal 19 OS=Homo sapiens OX=9606 GN=KRT19 PE=1 SV=4	32	16	15	14	49	46.8	45	44.091	400	400;400;472;433;403;472;432;473;456;452;456;432;456;473;437;431;458;593;494;474;623;584;469;295;494;420;623;424;295;458;424;93	0	101.39	6995100	22			+	13	21;197;484;783;1240;1412;2182;2339;2495;2582;3231;3332;3699;4001;4124;4590	True;True;True;True;True;True;True;False;True;True;True;True;True;True;True;True	21;201;494;799;1261;1434;2212;2372;2529;2617;3275;3379;3747;4052;4176;4645	25;235;568;903;1422;1609;2521;2696;2889;2982;3715;3841;4256;4603;4755;5323	35;36;372;921;1438;1439;2258;2541;4036;4306;4307;4590;4730;4731;5843;6040;6688;6689;7238;7239;7240;7493;7494;8415	35;372;921;1438;2258;2541;4036;4307;4590;4731;5843;6040;6688;7239;7493;8415		
CON__P12763	CON__P12763	3	3	3				1	3	3	3	10	10	10	38.418	359	359	0	19.464	750720	3			+	14	1978;3597;4282	True;True;True	2006;3645;4334	2289;4142;4968	3668;6526;7870	3668;6526;7870		
CON__P78386;P78386	CON__P78386;P78386	1;1	1;1	1;1	Keratin, type II cuticular Hb5	KRT85	;sp|P78386|KRT85_HUMAN Keratin, type II cuticular Hb5 OS=Homo sapiens OX=9606 GN=KRT85 PE=1 SV=1	2	1	1	1	2.2	2.2	2.2	55.802	507	507;507	0.0012092	8.8718	490010	2			+	15	336	True	343	396	645;646	646		
CON__Q3KNV1;P08729;CON__P08729;CON__Q9DCV7;CON__Q14CN4-1;CON__Q6IME9;CON__Q5XKE5;Q14CN4;Q5XKE5	CON__Q3KNV1;P08729;CON__P08729	17;17;16;2;2;2;2;2;2	17;17;16;2;2;2;2;2;2	16;16;15;1;1;1;1;1;1	Keratin, type II cytoskeletal 7	KRT7	;sp|P08729|K2C7_HUMAN Keratin, type II cytoskeletal 7 OS=Homo sapiens OX=9606 GN=KRT7 PE=1 SV=5;	9	17	17	16	43.5	43.5	42	51.385	469	469;469;469;457;511;520;535;511;535	0	126.3	12886000	28			+	16	75;182;1107;1161;1736;2515;2542;2856;2890;3535;3889;3914;3952;4095;4233;4422;4896	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	76;186;1125;1180;1763;2550;2577;2896;2930;3583;3939;3964;4002;4147;4285;4474;4954	85;218;1268;1328;2005;2912;2940;3299;3338;4070;4469;4501;4544;4715;4911;5122;5674	127;128;348;2009;2100;2101;3175;3176;4636;4637;4678;5210;5211;5212;5269;6414;7005;7006;7065;7066;7130;7131;7422;7773;7774;8111;9038;9039	128;348;2009;2101;3176;4637;4678;5211;5269;6414;7006;7066;7130;7422;7773;8111;9039		
CON__Q3SX28;P07951	CON__Q3SX28;P07951	3;3	1;1	1;1	Tropomyosin beta chain	TPM2	;sp|P07951|TPM2_HUMAN Tropomyosin beta chain OS=Homo sapiens OX=9606 GN=TPM2 PE=1 SV=1	2	3	1	1	10.2	3.2	3.2	33.012	284	284;284	0.0073597	5.7037	361110	1			+	17	2271;3018;3135	False;False;True	2302;3058;3175	2621;3479;3608	4195;4196;5498;5499;5500;5696	4196;5499;5696		
E9PAV3;Q9BZK3	E9PAV3	5;1	5;1	5;1	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	NACA	sp|E9PAV3|NACAM_HUMAN Nascent polypeptide-associated complex subunit alpha, muscle-specific form OS=Homo sapiens OX=9606 GN=NACA PE=1 SV=1	2	5	5	5	3.4	3.4	3.4	205.42	2078	2078;213	0	56.926	14950000	14				18	584;2064;3346;3427;3968	True;True;True;True;True	596;2092;3393;3475;4019	681;2381;2382;3857;3858;3953;4563	1107;1108;3807;3808;3809;6060;6061;6062;6063;6064;6065;6234;7172;7173;7174	1108;3808;6064;6234;7172		
O00116	O00116	1	1	1	Alkyldihydroxyacetonephosphate synthase, peroxisomal	AGPS	sp|O00116|ADAS_HUMAN Alkyldihydroxyacetonephosphate synthase, peroxisomal OS=Homo sapiens OX=9606 GN=AGPS PE=1 SV=1	1	1	1	1	2.7	2.7	2.7	72.911	658	658	0.0012151	8.9052	224350	1				19	1533	True	1556	1744	2745	2745		
O00148	O00148	8	2	2	ATP-dependent RNA helicase DDX39A	DDX39A	sp|O00148|DX39A_HUMAN ATP-dependent RNA helicase DDX39A OS=Homo sapiens OX=9606 GN=DDX39A PE=1 SV=2	1	8	2	2	22.2	6.8	6.8	49.129	427	427	0	13.976	600160	2				20	456;546;946;1641;1758;1898;2203;2976	True;False;False;False;False;True;False;False	465;558;964;1667;1785;1925;2234;3016	535;639;1095;1895;2027;2188;2545;3428	873;1048;1760;3009;3206;3486;4075;4076;5407	873;1048;1760;3009;3206;3486;4075;5407		
O00151	O00151	3	3	3	PDZ and LIM domain protein 1	PDLIM1	sp|O00151|PDLI1_HUMAN PDZ and LIM domain protein 1 OS=Homo sapiens OX=9606 GN=PDLIM1 PE=1 SV=4	1	3	3	3	12.8	12.8	12.8	36.071	329	329	0	27.081	1422300	3				21	1475;1588;3701	True;True;True	1497;1614;3749	1679;1823;4258	2649;2883;6691;6692	2649;2883;6691		
O00159	O00159	5	5	5	Unconventional myosin-Ic	MYO1C	sp|O00159|MYO1C_HUMAN Unconventional myosin-Ic OS=Homo sapiens OX=9606 GN=MYO1C PE=1 SV=4	1	5	5	5	7.5	7.5	7.5	121.68	1063	1063	0	34.098	3075400	5				22	1612;2786;2789;3320;5037	True;True;True;True;True	1638;2824;2827;3367;5096	1851;3216;3219;3826;5831	2932;2933;5090;5094;6020;9319	2932;5090;5094;6020;9319		
O00170	O00170	1	1	1	AH receptor-interacting protein	AIP	sp|O00170|AIP_HUMAN AH receptor-interacting protein OS=Homo sapiens OX=9606 GN=AIP PE=1 SV=3	1	1	1	1	5.8	5.8	5.8	37.664	330	330	0.0090009	5.6223	775240	1				23	3050	True	3090	3518	5560	5560		
O00203	O00203	2	2	2	AP-3 complex subunit beta-1	AP3B1	sp|O00203|AP3B1_HUMAN AP-3 complex subunit beta-1 OS=Homo sapiens OX=9606 GN=AP3B1 PE=1 SV=3	1	2	2	2	2	2	2	121.32	1094	1094	0	13.489	730140	2				24	322;1010	True;True	328;1028	379;1165	621;1858	621;1858		
O00217	O00217	1	1	1	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	NDUFS8	sp|O00217|NDUS8_HUMAN NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFS8 PE=1 SV=1	1	1	1	1	4.3	4.3	4.3	23.705	210	210	0.0010846	7.1024	403990	2				25	4229	True	4281	4907	7763;7764	7764		
O00231	O00231	2	2	2	26S proteasome non-ATPase regulatory subunit 11	PSMD11	sp|O00231|PSD11_HUMAN 26S proteasome non-ATPase regulatory subunit 11 OS=Homo sapiens OX=9606 GN=PSMD11 PE=1 SV=3	1	2	2	2	7.8	7.8	7.8	47.463	422	422	0	12.748	582390	2				26	1248;4716	True;True	1269;4773	1438;5469	2279;8636	2279;8636		
O00232	O00232	4	4	4	26S proteasome non-ATPase regulatory subunit 12	PSMD12	sp|O00232|PSD12_HUMAN 26S proteasome non-ATPase regulatory subunit 12 OS=Homo sapiens OX=9606 GN=PSMD12 PE=1 SV=3	1	4	4	4	10.7	10.7	10.7	52.904	456	456	0	35.819	3213800	5				27	1117;2899;4462;4892	True;True;True;True	1135;2939;4514;4950	1278;3347;5167;5670	2022;5280;8169;9031;9032	2022;5280;8169;9032		
O00264	O00264	1	1	1	Membrane-associated progesterone receptor component 1	PGRMC1	sp|O00264|PGRC1_HUMAN Membrane-associated progesterone receptor component 1 OS=Homo sapiens OX=9606 GN=PGRMC1 PE=1 SV=3	1	1	1	1	7.2	7.2	7.2	21.671	195	195	0.0010718	7.0023	338740	1				28	1430	True	1452	1632	2582	2582		
O00299	O00299	9	9	9	Chloride intracellular channel protein 1	CLIC1	sp|O00299|CLIC1_HUMAN Chloride intracellular channel protein 1 OS=Homo sapiens OX=9606 GN=CLIC1 PE=1 SV=4	1	9	9	9	63.1	63.1	63.1	26.922	241	241	0	74.345	9066000	18				29	83;850;1271;2067;2460;2511;2652;3467;4594	True;True;True;True;True;True;True;True;True	84;867;1292;2095;2493;2546;2688;3515;4649	94;981;982;1461;2385;2386;2843;2906;3067;3068;3999;5327	144;145;1591;1592;1593;2318;2319;3812;3813;3814;3815;4511;4613;4874;4875;6305;6306;8423	144;1593;2319;3814;4511;4613;4875;6305;8423		
O00303	O00303	4	4	4	Eukaryotic translation initiation factor 3 subunit F	EIF3F	sp|O00303|EIF3F_HUMAN Eukaryotic translation initiation factor 3 subunit F OS=Homo sapiens OX=9606 GN=EIF3F PE=1 SV=1	1	4	4	4	17.4	17.4	17.4	37.563	357	357	0	29.108	2764800	4				30	1285;2264;2657;4553	True;True;True;True	1306;2295;2694;4607	1475;2613;3074;5279	2335;4180;4884;4885;8347	2335;4180;4885;8347		
O00410	O00410	19	19	19	Importin-5	IPO5	sp|O00410|IPO5_HUMAN Importin-5 OS=Homo sapiens OX=9606 GN=IPO5 PE=1 SV=4	1	19	19	19	30.1	30.1	30.1	123.63	1097	1097	0	137.17	18498000	25				31	2;167;335;1025;1279;1407;1428;1886;2099;2308;2508;3375;3584;3737;3774;4108;4184;4418;4541	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	2;170;342;1043;1300;1429;1450;1913;2128;2340;2543;3422;3632;3785;3822;4160;4236;4470;4595	2;197;395;1180;1469;1604;1630;2174;2424;2661;2903;3889;4127;4298;4339;4735;4855;5118;5265	2;315;644;1882;2328;2533;2534;2578;2579;3461;3462;3873;4259;4260;4610;6105;6106;6504;6757;6758;6818;7461;7680;8104;8328	2;315;644;1882;2328;2534;2578;3461;3873;4260;4610;6106;6504;6757;6818;7461;7680;8104;8328		
O00459	O00459	1	1	1	Phosphatidylinositol 3-kinase regulatory subunit beta	PIK3R2	sp|O00459|P85B_HUMAN Phosphatidylinositol 3-kinase regulatory subunit beta OS=Homo sapiens OX=9606 GN=PIK3R2 PE=1 SV=2	1	1	1	1	1.1	1.1	1.1	81.544	728	728	0.0028571	6.0108	161170	1				32	2228	True	2259	2572	4118	4118		
O00469	O00469	5	5	5	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	PLOD2	sp|O00469|PLOD2_HUMAN Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 OS=Homo sapiens OX=9606 GN=PLOD2 PE=1 SV=2	1	5	5	5	8.5	8.5	8.5	84.685	737	737	0	32.435	1109300	4				33	42;1525;2333;2469;3716	True;True;True;True;True	42;1548;2366;2502;3764	50;1734;2689;2853;4276	77;2731;4296;4524;6725	77;2731;4296;4524;6725		
O00571;O15523;Q9NQI0	O00571;O15523	7;6;1	6;5;1	6;5;1	ATP-dependent RNA helicase DDX3X;ATP-dependent RNA helicase DDX3Y	DDX3X;DDX3Y	sp|O00571|DDX3X_HUMAN ATP-dependent RNA helicase DDX3X OS=Homo sapiens OX=9606 GN=DDX3X PE=1 SV=3;sp|O15523|DDX3Y_HUMAN ATP-dependent RNA helicase DDX3Y OS=Homo sapiens OX=9606 GN=DDX3Y PE=1 SV=2	3	7	6	6	13.6	11.9	11.9	73.243	662	662;660;724	0	50.732	2574600	7				34	632;639;954;1987;2583;3178;3865	True;True;True;True;True;False;True	644;651;972;2015;2618;3220;3913	734;741;1105;2300;2983;3654;4440	1182;1183;1193;1778;3686;3687;4732;5763;5764;6958	1183;1193;1778;3686;4732;5764;6958		
O00764	O00764	1	1	1	Pyridoxal kinase	PDXK	sp|O00764|PDXK_HUMAN Pyridoxal kinase OS=Homo sapiens OX=9606 GN=PDXK PE=1 SV=1	1	1	1	1	9.6	9.6	9.6	35.102	312	312	0.0011086	7.5025	1165700	1				35	3059	True	3099	3527	5576	5576		
O14579	O14579	2	2	2	Coatomer subunit epsilon	COPE	sp|O14579|COPE_HUMAN Coatomer subunit epsilon OS=Homo sapiens OX=9606 GN=COPE PE=1 SV=3	1	2	2	2	13.3	13.3	13.3	34.482	308	308	0	11.281	1049900	1				36	714;2896	True;True	727;2936	822;3344	1315;5277	1315;5277		
O14672	O14672	1	1	1	Disintegrin and metalloproteinase domain-containing protein 10	ADAM10	sp|O14672|ADA10_HUMAN Disintegrin and metalloproteinase domain-containing protein 10 OS=Homo sapiens OX=9606 GN=ADAM10 PE=1 SV=1	1	1	1	1	2.9	2.9	2.9	84.141	748	748	0.0011547	7.9025	358620	1				37	1275	True	1296	1465	2323	2323		
O14737	O14737	2	2	2	Programmed cell death protein 5	PDCD5	sp|O14737|PDCD5_HUMAN Programmed cell death protein 5 OS=Homo sapiens OX=9606 GN=PDCD5 PE=1 SV=3	1	2	2	2	19.2	19.2	19.2	14.285	125	125	0	15.275	528590	2				38	3460;4725	True;True	3508;4782	3991;5480	6293;8696	6293;8696		
O14776	O14776	1	1	1	Transcription elongation regulator 1	TCERG1	sp|O14776|TCRG1_HUMAN Transcription elongation regulator 1 OS=Homo sapiens OX=9606 GN=TCERG1 PE=1 SV=2	1	1	1	1	1	1	1	123.9	1098	1098	0.0010277	6.6905	344720	1				39	2694	True	2731	3114	4951	4951		
O14818;Q8TAA3	O14818;Q8TAA3	4;3	4;3	4;3	Proteasome subunit alpha type-7;Proteasome subunit alpha type-7-like	PSMA7;PSMA8	sp|O14818|PSA7_HUMAN Proteasome subunit alpha type-7 OS=Homo sapiens OX=9606 GN=PSMA7 PE=1 SV=1;sp|Q8TAA3|PSMA8_HUMAN Proteasome subunit alpha-type 8 OS=Homo sapiens OX=9606 GN=PSMA8 PE=2 SV=3	2	4	4	4	25	25	25	27.887	248	248;256	0	45.967	5290000	7				40	175;219;2993;3511	True;True;True;True	179;223;3033;3559	208;262;3449;4046	331;332;419;5442;5443;6380;6381	331;419;5443;6380		
O14907	O14907	1	1	1	Tax1-binding protein 3	TAX1BP3	sp|O14907|TX1B3_HUMAN Tax1-binding protein 3 OS=Homo sapiens OX=9606 GN=TAX1BP3 PE=1 SV=2	1	1	1	1	14.5	14.5	14.5	13.735	124	124	0.0010204	6.6337	387480	2				41	2217	True	2248	2560	4102;4103	4103		
O14929	O14929	1	1	1	Histone acetyltransferase type B catalytic subunit	HAT1	sp|O14929|HAT1_HUMAN Histone acetyltransferase type B catalytic subunit OS=Homo sapiens OX=9606 GN=HAT1 PE=1 SV=2	1	1	1	1	2.4	2.4	2.4	49.54	419	419	0.0046468	5.7763	36626	1				42	461	True	470	540	880	880		
P19105;O14950;P24844	P19105;O14950;P24844	7;7;4	7;7;4	7;7;4	Myosin regulatory light chain 12A;Myosin regulatory light chain 12B;Myosin regulatory light polypeptide 9	MYL12A;MYL12B;MYL9	sp|P19105|ML12A_HUMAN Myosin regulatory light chain 12A OS=Homo sapiens OX=9606 GN=MYL12A PE=1 SV=2;sp|O14950|ML12B_HUMAN Myosin regulatory light chain 12B OS=Homo sapiens OX=9606 GN=MYL12B PE=1 SV=2;sp|P24844|MYL9_HUMAN Myosin regulatory light polypeptide	3	7	7	7	52	52	52	19.794	171	171;172;172	0	92.86	8314700	15				43	355;798;987;1377;1693;2830;3269	True;True;True;True;True;True;True	362;814;1005;1398;1719;2870;3315	416;417;924;1142;1573;1954;3270;3760	677;678;679;680;1499;1500;1827;1828;2491;2492;3097;3098;5171;5172;5909	678;1499;1828;2491;3097;5171;5909		
O14979	O14979	6	6	5	Heterogeneous nuclear ribonucleoprotein D-like	HNRNPDL	sp|O14979|HNRDL_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=3	1	6	6	5	18.6	18.6	16.7	46.437	420	420	0	49.637	7060700	11				44	652;1126;1529;1547;3145;4523	True;True;True;True;True;True	664;1144;1552;1571;3185;4577	755;1287;1739;1762;3618;5243	1214;2034;2035;2736;2776;2777;2778;5708;5709;8287;8288	1214;2035;2736;2777;5708;8287		
O14980	O14980	9	9	9	Exportin-1	XPO1	sp|O14980|XPO1_HUMAN Exportin-1 OS=Homo sapiens OX=9606 GN=XPO1 PE=1 SV=1	1	9	9	9	11.9	11.9	11.9	123.38	1071	1071	0	73.617	4632100	16				45	1028;1078;1294;2527;2792;3023;3092;5119;5133	True;True;True;True;True;True;True;True;True	1046;1096;1315;2562;2830;3063;3132;5180;5194	1183;1236;1484;2924;3222;3485;3561;5931;5948	1885;1886;1961;1962;2347;2348;4652;4653;5097;5098;5511;5628;9478;9479;9506;9507	1885;1961;2348;4652;5097;5511;5628;9479;9507		
O15067	O15067	6	6	6	Phosphoribosylformylglycinamidine synthase	PFAS	sp|O15067|PUR4_HUMAN Phosphoribosylformylglycinamidine synthase OS=Homo sapiens OX=9606 GN=PFAS PE=1 SV=4	1	6	6	6	7.2	7.2	7.2	144.73	1338	1338	0	39.385	2554600	9				46	252;1062;1590;1823;2937;3442	True;True;True;True;True;True	256;1080;1616;1850;2977;3490	301;1219;1825;2101;3386;3970	491;1935;1936;2885;2886;3342;5343;5344;6261	491;1935;2885;3342;5343;6261		
O15121	O15121	1	1	1	Sphingolipid delta(4)-desaturase DES1	DEGS1	sp|O15121|DEGS1_HUMAN Sphingolipid delta(4)-desaturase DES1 OS=Homo sapiens OX=9606 GN=DEGS1 PE=1 SV=1	1	1	1	1	5	5	5	37.866	323	323	0.0010417	6.8019	211790	1				47	4659	True	4715	5401	8526	8526		
