Protein IDs,Protein names,Gene names,Razor + unique peptides,Unique sequence coverage [%],Mol. weight [kDa],Sequence length,Q-value,Score,Reporter intensity 1,Reporter intensity 2,Reporter intensity 3,Reporter intensity 4,Reporter intensity 5,Reporter intensity 6,Intensity,id,Peptide IDs,Evidence IDs,Best MS/MS
A0A0G2JTJ9,RCG50655 (Transcription factor CP2),Tfcp2 rCG_50655,5,10.8,56.982,501,0.0,24.33,77283.0,76725.0,87110.0,70075.0,75053.0,108580.0,200500000.0,17,5371;11473;19101;24958;25384,27744;60374;60375;100335;100336;100337;129208;129209;131361;131362;131363,29324
A0A0G2JTT4,"RAB30, member RAS oncogene family (RAB30, member RAS oncogene family, isoform CRA_a)",Rab30 rCG_39991,7,30.0,23.058,203,0.0,25.335,89050.0,96347.0,135060.0,81294.0,121930.0,144950.0,102080000.0,18,947;9991;21607;24879;24880;40065;42043,4768;4769;4770;4771;52960;52961;52962;52963;52964;113917;128816;128817;128818;204196;215423,5053
A0A0G2JTY3,Solute carrier family 37 member 4,Slc37a4,5,12.1,48.893,455,0.0,45.298,1023900.0,987280.0,943100.0,956070.0,931120.0,1086100.0,7129599999.999999,20,1554;14499;30407;37832;43613,8039;8040;8041;8042;8043;8044;8045;75815;75816;75817;75818;75819;75820;75821;75822;75823;75824;75825;75826;75827;75828;75829;75830;75831;75832;75833;75834;75835;75836;157228;157229;157230;157231;157232;157233;157234;157235;157236;157237;157238;192341;192342;192343;192344;192345;192346;192347;192348;192349;192350;192351;223448;223449;223450,8498
A0A0G2JU49,Metaxin 1,Mtx1,14,31.5,51.925,463,0.0,97.023,518970.0,515590.0,534090.0,504660.0,535810.0,633650.0,3290999999.9999995,22,2894;5132;5133;8669;10330;10963;14318;21258;24690;24691;26283;27146;32482;42035,15241;15242;15243;15244;26559;26560;26561;26562;26563;45904;45905;45906;45907;45908;54595;54596;57745;57746;74908;112112;112113;112114;112115;127905;127906;127907;127908;127909;127910;127911;127912;127913;127914;135870;135871;135872;135873;140062;140063;140064;140065;167366;167367;167368;215354;215355;215356;215357;215358;215359;215360,16089
A0A0G2JUA5,AHNAK nucleoprotein,Ahnak,19,21.4,581.12,5450,0.0,61.423,427530.0,351950.0,459970.0,388030.0,507430.0,456920.0,1460699999.9999998,23,738;996;15904;16853;20264;21246;21247;24193;29265;36826;40947;40948;40954;41054;41095;41174;41338;42865;42886,3810;3811;3812;3813;3814;5011;5012;5013;5014;5015;5016;5017;5018;83150;88262;88263;106718;106719;112065;112066;112067;112068;125450;125451;125452;151028;151029;187137;187138;187139;187140;209211;209212;209213;209214;209215;209216;209217;209218;209219;209256;209257;209762;209983;210422;210423;211348;219911;219912;219913;219973,4046
A0A0G2JUB1,"CCZ1 homolog B, vacuolar protein-trafficking and biogenesis-associated",Ccz1b,6,12.9,61.277,534,0.0,16.888,152990.0,136530.0,152030.0,144860.0,140520.0,165190.0,275130000.0,24,11;665;4197;13816;18318;24902,14;3309;3310;3311;21973;21974;21975;21976;21977;21978;21979;21980;21981;21982;72467;96327;96328;96329;128926;128927,14
A0A0G2JUC8,Ring-box 1,Rbx1,2,22.6,13.006,115,0.0,11.154,106170.0,106170.0,91820.0,103520.0,103740.0,106200.0,344860000.0,25,44;33605,167;168;169;170;171;172262;172263,174
A0A0G2JUD2,inorganic diphosphatase (EC 3.6.1.1),Ppa1,12,47.6,35.294,311,0.0,213.26,3778100.0,3816800.0,3879600.0,3581800.0,3557700.0,4362500.0,28550000000.0,26,338;1991;7096;9289;16076;25835;31209;41836;42287;42856;45424;46119,1695;1696;1697;1698;1699;1700;1701;10447;10448;10449;10450;10451;10452;10453;10454;10455;10456;10457;10458;10459;10460;10461;10462;10463;10464;10465;10466;10467;10468;37784;37785;37786;49010;49011;49012;49013;49014;49015;49016;49017;49018;49019;49020;49021;84222;84223;84224;84225;84226;84227;84228;84229;84230;84231;84232;84233;84234;84235;84236;84237;84238;84239;84240;84241;84242;84243;133615;133616;133617;133618;133619;161372;161373;161374;161375;161376;161377;161378;161379;161380;161381;214103;214104;214105;214106;214107;214108;214109;214110;214111;214112;214113;214114;214115;214116;216573;216574;216575;216576;216577;216578;216579;216580;216581;216582;216583;216584;216585;216586;216587;219862;219863;219864;219865;219866;219867;219868;219869;219870;219871;219872;219873;219874;219875;232989;232990;232991;232992;232993;232994;232995;232996;236571;236572;236573;236574;236575;236576;236577;236578;236579,1816
A0A0G2JUF2,Sorting nexin-30,Snx30,2,4.9,53.239,470,0.00023272,3.6073,4684.4,4647.6,4892.7,3874.0,3385.5,5524.7,10629000.0,27,27134;41163,139995;139996;210363,148417
A0A0G2JUH4,Polynucleotide kinase 3'-phosphatase,Pnkp,3,9.3,57.488,525,0.00028074,7.8597,14057.0,13914.0,13290.0,11136.0,14457.0,16018.0,47512000.0,29,22783;28443;31014,119255;119256;119257;146585;146586;160397;160398;160399,126516
A0A0G2JUI0,Talin 2,Tln2,34,18.4,273.54,2559,0.0,140.8,930630.0,962080.0,1053800.0,888820.0,1000800.0,1233600.0,6652299999.999999,30,649;795;2151;2559;4136;7157;7873;8646;8647;10612;10908;11400;11874;12142;12373;13272;13273;13344;13771;16106;16133;17011;17360;18378;19822;23827;25007;28649;30880;31288;31964;31993;32281;33576;35608;35670;38431;38893;38896;40351;40560;40732;41700;42286;42669;42868;43302,3231;3232;4118;11237;11238;11239;13263;13264;13265;13266;21712;21713;38113;38114;38115;38116;38117;38118;38119;38120;41501;45816;45817;56004;56005;56006;56007;57485;57486;59991;59992;59993;59994;62103;62104;62105;62106;62107;62108;62109;62110;63574;63575;63576;63577;63578;63579;63580;65009;65010;65011;65012;65013;65014;65015;69822;69823;69824;69825;69826;70232;72242;84419;84420;84421;84626;84627;84628;89099;89100;89101;90811;90812;96615;96616;96617;104239;123639;123640;129421;129422;129423;129424;129425;129426;147548;159709;161767;161768;164933;165076;165077;165078;166453;172058;181394;181395;181396;181397;181398;181399;181400;181658;181659;181660;195667;198294;198308;198309;198310;198311;198312;205903;205904;205905;207033;208037;208038;213421;216572;218954;218955;218956;218957;218958;219924;219925;221924;221925,3437
A0A0G2JUJ9,"SEC63 homolog, protein translocation regulator",Sec63,24,38.3,87.716,760,0.0,176.7,1059400.0,1032000.0,1149200.0,989820.0,1062800.0,1381100.0,3648600000.0,31,3023;4272;5146;5265;7592;11495;12661;20864;21394;22622;22870;24743;25641;27605;29882;33414;33548;34914;35753;36514;36735;38001;42393;45944,15899;15900;22325;22326;22327;22328;22329;22330;26654;26655;26656;26657;26658;27244;27245;40091;60470;60471;60472;60473;60474;66600;66601;66602;66603;66604;66605;66606;66607;110065;110066;110067;110068;110069;110070;112867;112868;112869;118552;118553;119559;119560;119561;128190;128191;128192;128193;132609;132610;142134;142135;142136;142137;142138;154789;171354;171355;171356;171357;171358;171905;171906;171907;171908;177841;177842;177843;182071;182072;182073;182074;182075;185669;186721;186722;186723;193302;193303;193304;217259;217260;217261;217262;235614;235615,16786
A0A0G2JUK2,LSM14A mRNA-processing body assembly factor,Lsm14a,3,8.2,52.21,477,0.0,9.7392,33590.0,27190.0,40460.0,29867.0,39497.0,44832.0,69906000.0,32,9277;35215;44962,48925;48926;179299;179300;230406;230407,51723
A0A0G2JUT7,Beta 3-glucosyltransferase,B3glct,2,3.5,55.304,485,0.00023234,3.5801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,34831;42392,177457;217257;217258,187986
A0A0G2JUV4,Mitochondrial ribosomal protein L1,Mrpl1,4,17.0,36.627,324,0.0,15.079,163740.0,166770.0,164110.0,147410.0,176460.0,201810.0,301670000.0,34,18981;37009;37598;40748,99546;99547;187997;187998;187999;191086;191087;191088;191089;191090;208124;208125,105563
A0A0G2JUX4,Ubiquitin carboxyl-terminal hydrolase 47 (EC 3.4.19.12) (Deubiquitinating enzyme 47) (Ubiquitin thioesterase 47) (Ubiquitin-specific-processing protease 47),Usp47,23,20.8,159.61,1395,0.0,95.745,472820.0,427960.0,457730.0,413570.0,436540.0,506810.0,1028400000.0,35,792;1177;1824;9126;9727;10476;10507;11359;13729;21440;21785;24255;24778;24982;26563;27441;33509;36205;37084;37240;41820;44121;44836,4112;5999;6000;6001;9548;9549;9550;9551;48190;51528;51529;55325;55326;55327;55434;55435;55436;55437;59785;59786;59787;59788;72076;113122;114773;114774;114775;114776;125683;125684;125685;125686;125687;128373;128374;129321;129322;137250;141396;141397;141398;141399;141400;141401;141402;171768;171769;184239;184240;188363;188364;189128;189129;189130;189131;189132;214045;214046;214047;214048;226245;226246;229804;229805;229806,4367
A0A0G2JUZ5,Glycine cleavage system P protein (EC 1.4.4.2),Gldc,33,44.2,114.09,1029,0.0,276.13,2807800.0,2833500.0,2955100.0,2608300.0,2886100.0,3325800.0,13556000000.0,36,1513;4579;6421;7932;7933;8560;9285;11022;12879;13410;14542;16403;17631;17961;18326;19233;21084;24458;24784;26678;26813;27021;30502;31666;32319;34622;38263;40178;41106;41795;43014;43248;45208,7864;7865;7866;7867;7868;7869;7870;7871;23913;23914;34009;34010;34011;34012;41886;41887;41888;41889;41890;41891;41892;45275;45276;45277;45278;45279;45280;45281;45282;45283;48981;48982;48983;48984;48985;48986;48987;48988;48989;48990;48991;48992;48993;58011;58012;58013;58014;58015;58016;58017;58018;58019;58020;58021;67782;67783;67784;70525;70526;70527;70528;76052;85869;85870;85871;92358;92359;92360;92361;92362;94411;94412;94413;94414;96367;100949;100950;100951;100952;100953;100954;100955;100956;100957;100958;100959;100960;111160;111161;111162;111163;111164;111165;111166;126778;126779;128408;137839;137840;137841;137842;137843;137844;137845;138448;138449;138450;138451;138452;138453;138454;139456;157651;163633;163634;166577;166578;166579;166580;176452;176453;176454;176455;176456;176457;176458;176459;176460;176461;176462;176463;194657;194658;194659;194660;194661;194662;194663;204939;204940;204941;210071;210072;210073;210074;210075;210076;210077;210078;213915;213916;213917;220627;220628;220629;221684;221685;221686;221687;221688;231846;231847;231848;231849;231850;231851;231852,8323
A0A0G2JV24,Thrombospondin 1,Thbs1,4,4.8,129.81,1171,0.0,15.926,29865.0,31212.0,33249.0,26582.0,31003.0,39847.0,36380000.0,37,1633;5242;6914;33350,8527;8528;27127;36789;171071;171072,9012
A0A0G2JV76,DNA ligase (EC 6.5.1.1),Lig3 rCG_33581,7,7.1,113.39,1015,0.0,12.189,52439.0,53721.0,48180.0,45741.0,48667.0,64545.0,203400000.0,39,521;12919;21826;34672;39572;39770;42326,2547;67987;114993;114994;114995;114996;114997;114998;114999;176647;201591;202622;216902;216903,2720
A0A0G2JVC2,SCY1-like pseudokinase 2,Scyl2,2,2.5,103.77,934,0.00024925,4.935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,25631;29535,132558;132559;152870;152871,140587
A0A0G2JVI4,Fucose kinase,Fcsk Fuk,2,1.9,119.55,1090,0.00067797,3.1655,26941.0,25310.0,25888.0,25441.0,24400.0,28389.0,38314000.0,41,30509;40437,157675;157676;206348;206349;206350,166986
A0A0G2JVL5,Similar to expressed sequence AW549877,Rimoc1 RGD1305938,2,4.8,33.592,294,0.0052203,2.1825,7705.9,7795.0,9535.0,8916.7,8575.5,10359.0,39135000.0,42,71;10647,56209;56210;56211;56212;56213;56214,59444
A0A0G2JVM2,MIA SH3 domain ER export factor 3,Mia3,62,35.5,213.01,1920,0.0,303.95,2011400.0,1987600.0,2161500.0,1904500.0,2160000.0,2604500.0,4787700000.0,43,1529;1693;2205;3348;3728;4726;5269;5335;5350;7386;7459;7528;8941;9815;9960;10484;11167;11452;11666;13396;14266;15032;15694;18595;18716;22279;22808;23098;23174;23534;23701;24415;25052;26871;27139;27596;27726;29773;30936;30937;30962;31226;31227;32804;34102;35007;35143;35151;35210;35539;35560;36824;36905;38457;39632;41210;41946;42225;42837;43792;44477;46047,7935;7936;7937;7938;7939;7940;7941;8842;8843;8844;8845;11497;11498;11499;11500;11501;17608;17609;17610;19513;19514;19515;19516;24601;24602;24603;24604;27265;27266;27267;27611;27612;27613;27668;39140;39141;39414;39734;39735;39736;39737;47174;52029;52030;52785;52786;55354;55355;55356;55357;55358;55359;55360;55361;58803;58804;58805;58806;58807;58808;60281;60282;60283;61076;61077;70465;70466;70467;70468;70469;70470;70471;74573;78565;82175;82176;82177;82178;82179;97633;97634;98286;98287;116897;119328;120574;120575;120576;120577;120578;120579;120858;122248;122249;122250;122251;123046;123047;126556;126557;129638;129639;129640;129641;129642;129643;138795;140029;140030;140031;140032;142101;142102;142103;142655;154267;159977;159978;159979;159980;159981;159982;160106;160107;160108;160109;160110;161462;161463;161464;161465;168925;174351;178378;178379;178380;178996;179034;179035;179283;179284;180986;181079;181080;181081;181082;187134;187135;187500;187501;187502;195785;195786;195787;195788;195789;195790;201888;201889;201890;201891;210592;210593;210594;214797;214798;214799;216258;216259;216260;219755;219756;219757;219758;224617;224618;224619;224620;224621;227914;236225;236226;236227,8391
A0A0G2JVP5,Poly(A)-binding protein-interacting protein 1,Paip1,5,16.5,58.626,526,0.0,17.252,151280.0,149680.0,159860.0,146260.0,163060.0,186800.0,327260000.0,44,722;8578;10693;19529;27842,3649;3650;45388;56429;56430;56431;102707;143257;143258;143259;143260;143261,3880
A0A0G2JVY2,CD163 molecule,Cd163,13,14.2,124.11,1151,0.0,120.71,285690.0,291760.0,313890.0,257000.0,300020.0,355910.0,597480000.0,46,5130;7373;7934;8696;17294;17554;18551;28148;28245;32901;32902;37912;44313,26546;26547;39058;39059;41893;46014;46015;46016;46017;46018;90467;90468;90469;90470;91982;97421;97422;144921;144922;144923;145485;169372;169373;169374;169375;169376;169377;169378;192808;192809;227139;227140,28065
A0A0G2JW02,UDP-glucuronosyltransferase (EC 2.4.1.17),Ugt2a3,12,19.7,60.988,534,0.0,33.395,619710.0,570320.0,604210.0,577030.0,558920.0,692780.0,1857700000.0,47,1033;2824;4020;14244;15831;20535;22930;31585;31953;38735;40606;41772;42600;45800,5199;14878;14879;21059;21060;21061;21062;21063;21064;21065;21066;21067;21068;21069;74450;82841;82842;82843;82844;108149;108150;108151;119782;119783;163303;164876;164877;197460;197461;197462;197463;197464;197465;207255;207256;207257;207258;213799;213800;213801;213802;213803;218360;218361;218362;234915;234916;234917,5499
A0A0G2JW29,"alpha-1,2-Mannosidase (EC 3.2.1.-)",Man1a1,12,18.1,82.312,747,0.0,24.201,506730.0,521650.0,531590.0,489320.0,580700.0,582410.0,936830000.0,49,3941;6279;11231;12185;12972;14443;15706;18708;29510;40684;40911;44765,20699;33312;33313;33314;59101;63873;68277;68278;75470;82219;82220;82221;98235;152718;152719;152720;152721;152722;207788;207789;207790;209000;209001;209002;209003;209004;209005;209006;209007;229416;229417;229418,21834
A0A0G2JWA3,Exportin 7,Xpo7,19,18.4,123.87,1088,0.0,56.553,820800.0,821070.0,786320.0,767150.0,768760.0,905430.0,1210000000.0,50,706;1814;2625;13791;14372;15911;20610;21780;23581;23829;27081;28526;31087;33077;36005;36415;39134;39324;41265,9478;9479;9480;13637;13638;13639;13640;13641;72353;72354;72355;75114;83182;83183;83184;108577;108578;108579;114756;114757;114758;122429;122430;122431;123648;123649;123650;123651;139747;139748;139749;146926;146927;146928;146929;160723;170055;183272;183273;183274;185221;185222;185223;185224;185225;185226;199403;200396;210892,10025
A0A0G2JWT6,Peroxisomal membrane protein PEX16,Pex16 rCG_27216,4,16.4,38.601,336,0.0,38.785,68651.0,66522.0,64020.0,64171.0,67675.0,66731.0,220120000.0,52,12026;18892;22776;38477,62926;62927;62928;62929;62930;62931;99100;119232;119233;195881;195882;195883;195884;195885,66544
A0A0G2JX01,Tetratricopeptide repeat domain 7A,Ttc7a,4,5.7,96.297,860,0.0,14.264,18890.0,16980.0,20703.0,15557.0,19179.0,21542.0,94536000.0,53,3566;5252;10837;13557,18650;27189;27190;27191;27192;57082;71252;71253,19682
A0A0G2JX93,Signal transducer and activator of transcription 1,Stat1 Stat4,20,20.7,139.0,1205,0.0,77.447,1245100.0,1234300.0,1610400.0,1117700.0,1185000.0,1566100.0,3609400000.0,56,7263;7291;9468;10842;13425;13923;14396;16438;22688;26122;27055;27263;32254;32369;33817;36698;38959;42621;43246;45632,38584;38585;38586;38587;38734;38735;50032;50033;50034;57100;57101;57102;57103;57104;57105;57106;57107;57108;57109;57110;57111;57112;70629;73019;73020;73021;75184;75185;75186;75187;86072;118849;118850;118851;118852;118853;135021;135022;135023;135024;135025;135026;135027;139615;139616;139617;139618;139619;140533;166306;166307;166308;166803;166804;173221;173222;173223;186572;186573;198590;198591;198592;198593;198594;198595;198596;198597;198598;198599;218486;218487;218488;218489;218490;221680;221681;221682;234037;234038;234039;234040;234041;234042;234043,40786
A0A0G2JXI6,"CYFIP-related Rac1 interactor B (Similar to 0910001A06Rik protein (Predicted), isoform CRA_b)",Cyrib RGD1307697_predicted rCG_59591,6,22.8,36.848,324,0.0,14.813,78227.0,71836.0,78508.0,73299.0,72413.0,88120.0,255570000.0,58,4988;7257;8381;18487;20777;39148,25694;25695;25696;25697;38565;38566;38567;44319;97094;97095;109603;109604;109605;199486;199487;199488;199489,27159
G3V9C7,Histone H2B,H2bc12 Hist1h2bg Hist1h2bk Hist1h2bp_predicted Hist1h2bq LOC100365043 rCG_45129 rCG_45162 rCG_45199 rCG_45211 rCG_45227,10,5.6,13.906,126,0.0,94.775,6202500.0,6468400.0,7099800.0,5742100.0,6472000.0,8432900.0,206430000000.0,59,2723;10128;11850;18028;19019;22171;23731;26226;33660;36758,14118;14119;14120;14121;14122;14123;14124;14125;14126;14127;14128;14129;14130;14131;14132;14133;14134;14135;14136;14137;14138;14139;14140;14141;14142;14143;14144;14145;14146;14147;14148;14149;14150;14151;14152;14153;14154;14155;14156;14157;14158;14159;14160;14161;14162;14163;14164;14165;14166;14167;14168;14169;14170;14171;14172;14173;14174;14175;14176;14177;14178;14179;14180;14181;14182;14183;14184;14185;14186;14187;14188;14189;14190;14191;14192;53687;53688;53689;53690;53691;53692;53693;53694;53695;53696;53697;53698;61961;61962;61963;61964;61965;61966;61967;61968;61969;61970;61971;61972;61973;61974;61975;61976;61977;61978;61979;61980;61981;61982;61983;61984;61985;61986;61987;61988;94728;94729;94730;94731;94732;94733;94734;94735;94736;94737;94738;94739;94740;94741;94742;94743;94744;94745;94746;94747;94748;94749;94750;94751;94752;94753;94754;94755;94756;99731;99732;99733;99734;99735;99736;99737;99738;99739;99740;99741;116429;116430;116431;116432;116433;116434;116435;116436;116437;116438;116439;116440;123166;123167;123168;123169;123170;123171;123172;123173;123174;135566;135567;135568;135569;135570;135571;135572;135573;135574;135575;135576;135577;135578;135579;135580;172550;172551;172552;172553;172554;172555;172556;186838,14981
A0A0G2JXK2,B-cell receptor-associated protein (BCR-associated protein),Bcap31,13,38.0,31.689,279,0.0,48.5,2073000.0,2029900.0,1983100.0,1969400.0,2069800.0,2267800.0,15791000000.0,60,1093;23469;23500;24332;25752;26011;28367;32020;33389;42761;44830;45642;45643,5509;5510;5511;5512;5513;5514;5515;5516;5517;5518;5519;5520;5521;5522;5523;5524;5525;5526;5527;5528;5529;5530;5531;5532;121977;121978;121979;121980;121981;121982;121983;122134;122135;122136;122137;126084;126085;126086;126087;126088;126089;133232;133233;133234;133235;133236;133237;133238;133239;133240;134523;134524;134525;134526;134527;134528;134529;146230;146231;146232;146233;165182;165183;165184;165185;165186;165187;165188;165189;165190;171246;171247;219388;219389;219390;219391;219392;219393;219394;219395;219396;219397;219398;219399;219400;219401;219402;219403;219404;229774;229775;229776;229777;229778;234128;234129;234130;234131;234132;234133,5815
A0A0G2JXM1,Catenin delta 1,Ctnnd1,35,41.1,108.15,967,0.0,217.89,1551500.0,1604200.0,1718100.0,1486700.0,1761200.0,2065600.0,5065600000.0,61,43;2554;10103;11293;11369;12031;12286;13444;14442;16056;16606;17180;17863;18001;18910;21783;22184;23022;23148;28119;28749;29668;30382;30605;32253;33184;34830;35933;36292;36719;37531;38558;39375;40193;41604,161;162;163;164;165;166;13231;13232;13233;13234;13235;13236;13237;13238;53598;59493;59494;59495;59496;59497;59830;62948;62949;62950;62951;64474;64475;64476;64477;70727;70728;70729;70730;70731;75467;75468;75469;84116;86934;89867;89868;89869;93789;93790;93791;93792;93793;93794;93795;93796;93797;93798;93799;94593;99175;114764;114765;114766;114767;116485;116486;116487;120268;120269;120270;120271;120272;120273;120754;120755;120756;144763;144764;144765;144766;153621;157099;157100;157101;157102;158173;158174;158175;166303;166304;166305;170503;177453;177454;177455;177456;182899;182900;182901;184660;184661;186646;190694;190695;196413;196414;196415;196416;200708;200709;200710;200711;205002;205003;205004;205005;205006;212828,172
