Gene names,Reporter intensity 3 set1,Reporter intensity 2 set1,Reporter intensity 2 ,Protein names,Reporter intensity 1 set1,Intensity,Reporter intensity 1 set2,Reporter intensity 3 set2,Reporter intensity 4 set3,Reporter intensity 1 ,Reporter intensity 4 ,Reporter intensity 2 set3,Reporter intensity 2 set2,Reporter intensity 3 set3,Best MS/MS,Reporter intensity 3 ,Sequence coverage [%],Reporter intensity 1 set3,Evidence IDs,Reporter intensity 4 set2,Q-value,Mol. weight [kDa],Peptide IDs,Protein IDs,Razor + unique peptides,Score,Reporter intensity 4 set1,Sequence length
CNOT1 CDC39 KIAA1007 NOT1 AD-005,22283.0,20598.0,0.0,CCR4-NOT transcription complex subunit 1 (CCR4-associated factor 1) (Negative regulator of transcription subunit 1 homolog) (NOT1H) (hNOT1),16232.0,22283000.0,3027.6,2661.3,3419.4,0.0,0.0,3711.5,2825.1,4529.3,11562,0.0,5.4,3806.9,11099;11100;11101;39957;39958;39959;44028;44029;44030;48647;57805;73208;73209;73210;73246;73304;75515;75516;107673,2357.5,0.0,266.94,3168;11435;12543;13738;16462;21037;21052;21069;21698;30962,A5YKK6,10,27.436,20493.0,2376
C2orf72,8146.4,5505.5,13163.0,Uncharacterized protein C2orf72,6082.6,33294000.0,0.0,0.0,3992.6,12507.0,13783.0,4254.6,0.0,5274.0,408,14839.0,31.2,4381.6,393;394;1221;1222;1223;1224;3393;3394;3395;74417;74418;86428,0.0,0.0,30.48,129;358;982;21392;25114,A6NCS6,5,44.968,9122.2,295
PGP,24251.0,21368.0,32185.0,Glycerol-3-phosphate phosphatase (G3PP) (EC 3.1.3.21) (Aspartate-based ubiquitous Mg(2+)-dependent phosphatase) (AUM) (EC 3.1.3.48) (Phosphoglycolate phosphatase) (PGP),22717.0,40443000.0,21241.0,23053.0,13797.0,34142.0,28624.0,14076.0,21504.0,15515.0,32133,35329.0,29.3,13202.0,30928;30977;30978;35466;35467;35468;57824;60864;60865;60866;60867;74011;74012;74013;76109;76110;107856;107857,21722.0,0.0,34.006,8848;8867;10169;16468;17371;21277;21879;31023,A6NDG6,8,23.604,19395.0,321
SMCHD1 KIAA0650,9692.3,9790.0,10256.0,Structural maintenance of chromosomes flexible hinge domain-containing protein 1 (SMC hinge domain-containing protein 1) (EC 3.6.1.-),12113.0,42463000.0,15312.0,17026.0,7843.3,7149.6,13901.0,11170.0,15314.0,10352.0,4399,12978.0,14.2,16439.0,4218;15311;23419;23420;23784;31092;32592;32593;32594;35246;35247;35248;39634;40402;40403;47459;48449;62449;63375;63788;84505;92359;101479,15251.0,0.0,226.37,1231;4376;6610;6711;8905;9356;10102;11337;11560;13443;13682;17814;18089;18218;24516;26786;29216,A6NHR9,17,76.551,8057.4,2005
SNRPG PBSCG,30848.0,25223.0,2049.2,Small nuclear ribonucleoprotein G (snRNP-G) (Sm protein G) (Sm-G) (SmG),24495.0,21891000.0,9245.7,9997.2,3210.4,1735.8,1645.0,3388.2,8828.0,4472.9,4334,2197.5,27.6,4105.9,4154;4155;39081;39082;39083;39084;39085;39086;39087;39088,9471.0,0.0,8.496,1214;11168;11169,P62308,3,8.5341,28722.0,76
ESPN DFNB36 LP2654,26229.0,21390.0,37111.0,Espin (Autosomal recessive deafness type 36 protein) (Ectoplasmic specialization protein),18514.0,66429000.0,9365.3,11079.0,2642.2,35283.0,40828.0,3283.1,8868.4,4070.8,25966,41359.0,15.3,3093.3,24949;38711;38712;38713;38714;38715;71005;80075;80076;82756;82757;84722;84723;84724;86963;91801,8635.1,0.0,91.732,7059;11071;20385;23171;24011;24574;25254;26619,B1AK53,8,34.564,24887.0,854
MCRIP1 FAM195B GRAN2,0.0,0.0,0.0,Mapk-regulated corepressor-interacting protein 1 (Granulin-2) (Protein FAM195B),0.0,12757000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89813,0.0,30.9,0.0,85802;85803;85804;85805;85806;90038,0.0,0.0,10.92,24902;26140,C9JLW8,2,12.689,0.0,97
NACA,2264.4,1774.2,0.0,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form (Alpha-NAC, muscle-specific form) (skNAC)",2206.2,417440000.0,1867.6,1528.0,7111.1,0.0,0.0,7385.5,1292.9,8204.8,7038,0.0,5.2,7088.7,6747;13460;13461;13462;13463;13464;45854;45855;45856;45857;45858;45859;45860;45861;45862;45863;56642;72947;72948;72949;72950;72951;72952;72953;72954;74048;85548;85549;85550;85551;85552;85553;85554;85555;85556;85557;85558;85559,1797.9,0.0,205.42,1923;3841;13042;16092;20958;21288;24822,E9PAV3,7,43.509,2240.2,2078
GOLGA8R,0.0,0.0,64285.0,Golgin subfamily A member 8R,0.0,5232500.0,3311.5,2133.1,0.0,58702.0,80065.0,0.0,1986.1,0.0,1923,69674.0,3.8,0.0,1839;1840;79263,1510.9,0.0076649,71.489,521;22883,I6L899,2,2.1661,0.0,631
AGPS AAG5,0.0,0.0,0.0,"Alkyldihydroxyacetonephosphate synthase, peroxisomal (Alkyl-DHAP synthase) (EC 2.5.1.26) (Aging-associated gene 5 protein) (Alkylglycerone-phosphate synthase)",0.0,16119000.0,1915.0,3432.3,0.0,0.0,0.0,0.0,2652.3,0.0,889,0.0,16.7,0.0,860;861;8272;35624;37459;37460;49823;49824;108238,4798.5,0.0,72.911,267;2357;10213;10712;14054;31144,O00116,6,56.621,0.0,658
DDX39A DDX39,18594.0,17375.0,24470.0,ATP-dependent RNA helicase DDX39A (EC 3.6.4.13) (DEAD box protein 39) (Nuclear RNA helicase URH49),21422.0,25261000.0,20635.0,19840.0,3632.0,24146.0,24963.0,3519.5,17698.0,4769.1,5055,23437.0,43.6,5011.4,4844;4845;4846;4847;4848;11940;12256;12257;12258;12259;12260;12261;12262;12263;13807;24105;24106;24107;24108;24109;24110;24111;24112;31791;37867;37868;37869;37870;37871;37872;37873;37874;37875;37876;37877;37878;37879;49219;49220;53234;53235;67400;67401;67402;67403;67404;67405;71975;71976;71977;71978;71979;79775;79776;101249;101250,15359.0,0.0,49.129,817;1385;3402;3491;3948;6815;9121;10836;13915;14998;19377;20661;23060;29160,O00148,5,16.097,15421.0,427
PDLIM1 CLIM1 CLP36,73329.0,66678.0,89564.0,PDZ and LIM domain protein 1 (C-terminal LIM domain protein 1) (Elfin) (LIM domain protein CLP-36),63914.0,459990000.0,32315.0,42422.0,28375.0,90769.0,82635.0,28878.0,36954.0,33589.0,597,99564.0,85.7,28883.0,575;576;10526;10527;12160;12161;12162;26608;34404;34405;36883;36884;36885;36886;36887;36888;43681;43682;43683;43684;68084;68085;70869;70870;70871;70872;70873;70874;70875;76786;76787;76788;76789;76790;76791;78970;78971;78972;78973;80984;80985;80986;80987;88405;88406;88407;88408;88409;88410;88411;88412;93948;93949;93950;93951;93952;93953;93954;93955;95300;95301;95302;95303;95304;95305;95306;95307;95308;95309;99522;99523;99524;99525;99526;99527;99528;99529;103277;103278;103279;103280;103281;103282;103283;104455;104456;104457;104458;104459;104460;104461,35202.0,0.0,36.071,178;2998;3459;7606;9875;10559;12450;19566;20334;22085;22786;22787;23519;25669;25670;27304;27638;28681;29732;30042;30043,O00151,21,264.75,60515.0,329
ACOT7 BACH,0.0,0.0,15987.0,Cytosolic acyl coenzyme A thioester hydrolase (EC 3.1.2.2) (Acyl-CoA thioesterase 7) (Brain acyl-CoA hydrolase) (BACH) (hBACH) (CTE-IIa) (CTE-II) (Long chain acyl-CoA thioester hydrolase),0.0,69506000.0,0.0,0.0,0.0,16948.0,16775.0,0.0,0.0,0.0,897,18432.0,23.7,0.0,868;869;870;871;49509;49510;49511;64150;64151;76856;84890;84891;84892;84893;84894;84895;84896;84897;84898;92361;92362;92363,0.0,0.0,41.796,269;13963;18356;22103;24625;24626;24627;26788,O00154,8,45.245,0.0,380
MYO1C,0.0,0.0,0.0,Unconventional myosin-Ic (Myosin I beta) (MMI-beta) (MMIb),0.0,21111000.0,3701.9,4404.5,0.0,0.0,0.0,0.0,4281.3,0.0,13565,0.0,8.6,0.0,13045;13046;34085;34086;35059;63880;63881;63882;63883;74287;100516;100517;100518,3302.3,0.0,121.68,3717;9789;10060;18251;21355;28964,O00159,6,28.187,0.0,1063
SNAP23,0.0,0.0,0.0,Synaptosomal-associated protein 23 (SNAP-23) (Vesicle-membrane fusion protein SNAP-23),0.0,9901800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53718,0.0,25.6,0.0,51436;51437;94088;94089;94090,0.0,0.0,23.354,14528;19999;27344,O00161,3,11.848,0.0,211
AIP XAP2,31376.0,17704.0,47272.0,AH receptor-interacting protein (AIP) (Aryl-hydrocarbon receptor-interacting protein) (HBV X-associated protein 2) (XAP-2) (Immunophilin homolog ARA9),17206.0,36174000.0,4532.2,6205.1,6442.0,49889.0,48598.0,1774.7,5293.4,6967.2,4241,56907.0,33.6,1682.7,4071;9854;21911;37824;37825;42459;44432;72739;91829;91830;100074;100075;100076;100077;100078,5263.6,0.0,37.664,1186;2802;6192;10818;12068;12668;20903;26625;28825,O00170,9,32.498,26078.0,330
GTPBP1,1730.3,1395.9,0.0,GTP-binding protein 1 (G-protein 1) (GP-1) (GP1),2025.5,2773500.0,0.0,0.0,1336.2,0.0,0.0,1645.8,0.0,1814.1,57404,0.0,6.9,1750.8,54834;68290;92603;92604;96110,0.0,0.0,72.453,15499;19626;26861;27835,O00178,4,13.234,1285.7,669
STXBP3,2358.9,0.0,0.0,Syntaxin-binding protein 3 (Platelet Sec1 protein) (PSP) (Protein unc-18 homolog 3) (Unc18-3) (Protein unc-18 homolog C) (Unc-18C),0.0,3142000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91654,0.0,4.6,0.0,87586;89745,0.0,0.0,67.764,25439;26060,O00186,2,5.4765,2626.7,592
SMAP C11orf58,6312.5,5519.1,10695.0,Small acidic protein,10889.0,98192000.0,18524.0,22593.0,9945.8,9070.9,9832.5,10734.0,20897.0,11500.0,27857,10902.0,33.9,11549.0,26791;26792;26793;49598;49599;49600;49601;49602;49603;49604;49605;68158;68159;68160;68161;68162;68163;81111;81112;81113;90336;90337;90338,15507.0,0.0,20.332,7672;7673;13986;19594;23552;26208;26209,O00193,7,78.334,4683.2,183
AP3B1 ADTB3A,39991.0,35277.0,9085.5,AP-3 complex subunit beta-1 (Adaptor protein complex AP-3 subunit beta-1) (Adaptor-related protein complex 3 subunit beta-1) (Beta-3A-adaptin) (Clathrin assembly protein complex 3 beta-1 large chain),32377.0,61730000.0,20169.0,25382.0,16986.0,8309.1,10002.0,15874.0,22903.0,18409.0,9306,11386.0,20.7,14961.0,8931;8932;8933;11695;20034;22481;46574;46575;46576;46577;54709;59683;59684;63085;63086;64031;65778;65779;65780;65781;69190;69191;69192;71847;75328;75329;75330;81961;81962;82790;82791;104072;104073;104074;105467;105468,21315.0,0.0,121.32,2539;3322;5634;6340;13225;15459;17029;18003;18307;18859;19871;20624;21648;23779;24024;29931;30381,O00203,17,73.135,35894.0,1094
LGALS8,2877.4,2649.2,0.0,Galectin-8 (Gal-8) (Po66 carbohydrate-binding protein) (Po66-CBP) (Prostate carcinoma tumor antigen 1) (PCTA-1),2809.9,932350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2122,0.0,5.7,0.0,2036;35508,0.0,0.0071389,35.808,584;10180,O00214,2,2.2323,2163.3,317
NDUFS8,24979.0,24477.0,0.0,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial (EC 7.1.1.2) (Complex I-23kD) (CI-23kD) (NADH-ubiquinone oxidoreductase 23 kDa subunit) (TYKY subunit)",26050.0,44496000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26842,0.0,17.1,0.0,25802;25803;25804;58505;58506;58507;105913,0.0,0.0,23.705,7342;16653;30505,O00217,3,14.972,22707.0,210
PSMD11,37702.0,32360.0,57990.0,26S proteasome non-ATPase regulatory subunit 11 (26S proteasome regulatory subunit RPN6) (26S proteasome regulatory subunit S9) (26S proteasome regulatory subunit p44.5),31317.0,165600000.0,14756.0,16461.0,14299.0,53060.0,59736.0,14769.0,14629.0,16550.0,59,64676.0,39.8,16078.0,56;57;2710;2711;2712;2713;7754;13786;13787;13788;13789;20060;20061;20062;20063;20064;20065;20066;20067;26405;26406;26407;26408;26409;26410;49370;49371;49372;68641;68642;68643;90511;90512;90513;90514;93618;93619;93620;93621;95072;95073;95130;95131;102183;108350;108351;108352;108353;108354,14125.0,0.0,47.463,23;769;2201;3938;5642;7531;13950;19702;26270;27212;27575;27590;29399;31178,O00231,14,46.524,36176.0,422
PSMD12,39533.0,35575.0,86997.0,26S proteasome non-ATPase regulatory subunit 12 (26S proteasome regulatory subunit RPN5) (26S proteasome regulatory subunit p55),31955.0,145920000.0,13015.0,15580.0,13142.0,71632.0,78690.0,10437.0,14131.0,11551.0,5076,95020.0,34.9,8392.3,4869;4870;4871;4872;4873;4874;16396;16397;16398;16399;16400;19107;19108;19109;19110;30362;30363;30364;30365;40354;40355;40356;40357;40358;40359;54407;54408;54409;54410;54411;54412;57861;57862;64712;64713;64714;64715;64716;65663;71482;71483;71484;88726;93787;93788;93789;97166,16629.0,0.0,52.904,1392;1393;4627;5392;8688;11548;15372;16481;18496;18825;20523;25763;27255;28119,O00232,14,151.13,42002.0,456
PSMD9,18179.0,16261.0,55072.0,26S proteasome non-ATPase regulatory subunit 9 (26S proteasome regulatory subunit p27),16880.0,22173000.0,3628.3,4576.4,7109.0,58805.0,97139.0,6430.8,3418.7,7575.1,16331,60458.0,19.7,5943.3,15706;15707;37214;55329;55330;55331;81885;81886,4198.4,0.0,24.682,4462;10648;15662;23760,O00233,4,8.8243,16926.0,223
PGRMC1 HPR6.6 PGRMC,22399.0,20370.0,12158.0,Membrane-associated progesterone receptor component 1 (mPR) (Dap1) (IZA),22859.0,21501000.0,5584.0,6951.4,5586.7,15240.0,10473.0,5810.3,5646.1,6452.8,12940,14449.0,41.0,5654.8,12440;21895;33550;34747;34748;34749;37916;79876;79877;79878,6202.0,0.0,21.671,3548;6189;9625;9974;10848;23090,O00264,5,51.281,25967.0,195
SUPT5H SPT5 SPT5H,3984.1,3186.5,21005.0,Transcription elongation factor SPT5 (hSPT5) (DRB sensitivity-inducing factor 160 kDa subunit) (DSIF p160) (DRB sensitivity-inducing factor large subunit) (DSIF large subunit) (Tat-cotransactivator 1 protein) (Tat-CT1 protein),3015.9,24315000.0,15276.0,14910.0,3515.2,19321.0,33587.0,3304.9,13931.0,3623.5,17417,28654.0,15.1,3880.1,16728;27949;29558;37702;37703;84560;84561;87036;92503;92672;98939;98940;98941;98942;104177;104178,14396.0,0.0,121.0,4727;8005;8457;10770;24532;25281;26833;26881;28557;29967,O00267,10,44.173,3257.4,1087
TAF4 TAF2C TAF2C1 TAF4A TAFII130 TAFII135,0.0,0.0,0.0,Transcription initiation factor TFIID subunit 4 (RNA polymerase II TBP-associated factor subunit C) (TBP-associated factor 4) (Transcription initiation factor TFIID 130 kDa subunit) (TAF(II)130) (TAFII-130) (TAFII130) (Transcription initiation factor TFIID 135 kDa subunit) (TAF(II)135) (TAFII-135) (TAFII135),0.0,36470000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92525,0.0,4.3,0.0,88413;94637,0.0,0.0031206,110.11,25671;27482,O00268,2,2.7731,0.0,1085
DFFA DFF1 DFF45 H13,0.0,0.0,13267.0,DNA fragmentation factor subunit alpha (DNA fragmentation factor 45 kDa subunit) (DFF-45) (Inhibitor of CAD) (ICAD),0.0,11215000.0,0.0,0.0,2124.7,13750.0,13297.0,1838.5,0.0,2455.4,386,14361.0,22.7,0.0,372;26183;27752;56764;76277,0.0,0.0,36.521,122;7470;7948;16132;21934,O00273,5,26.308,0.0,331
CLIC1 G6 NCC27,71680.0,59352.0,132630.0,Chloride intracellular channel protein 1 (Chloride channel ABP) (Nuclear chloride ion channel 27) (NCC27) (Regulatory nuclear chloride ion channel protein) (hRNCC),50788.0,1504799999.9999998,37703.0,54543.0,43676.0,142160.0,158190.0,44676.0,46355.0,52773.0,2440,153510.0,70.5,46174.0,2337;2338;2339;2340;2341;2342;2343;2344;2345;2346;2347;2348;2349;2350;2351;21039;21040;21041;21042;21043;21044;21045;21046;21047;21048;21049;21050;21051;31359;31360;31361;31362;31363;31364;31365;31366;31367;31368;31369;41763;41764;41765;41766;41767;41768;41769;41770;41771;47096;53936;53937;53938;53939;53940;53941;53942;53943;53944;53945;53946;57569;57570;57571;57572;57573;57574;57575;57576;57577;57578;57579;57580;57581;57582;57583;57584;57585;58551;58552;58553;58554;58555;61654;61655;61656;61657;61658;61659;74851;74852;74853;74854;74855;74856;74857;74858;74859;74860;74861;74862;74863;99948;99949;99950;99951;99952;99953;99954;99955;99956;99957;99958;99959;99960;99961;99962;99963;99964;107885,52018.0,0.0,26.922,666;5923;8989;11901;11902;13359;15235;16386;16670;17581;21510;28795;28796;31031,O00299,14,223.56,73235.0,241
EIF3F EIF3S5,14743.0,4496.6,4171.8,Eukaryotic translation initiation factor 3 subunit F (eIF3f) (Deubiquitinating enzyme eIF3f) (EC 3.4.19.12) (Eukaryotic translation initiation factor 3 subunit 5) (eIF-3-epsilon) (eIF3 p47),4098.9,78004000.0,17355.0,34730.0,25137.0,3695.6,22039.0,19991.0,23895.0,28623.0,32774,22912.0,23.0,15824.0,31541;31542;31543;31544;31545;31546;31547;61714;61715;73893;92250;92251;99082;99083;99084;99085;99086;99087;99088;99089;99090;99091;99129;99130;99131;99132;99133;99134;102389,33691.0,0.0,37.563,9043;17601;21245;26750;28592;28599;29469,O00303,7,26.431,13168.0,357
PDHX PDX1,21806.0,20471.0,49723.0,"Pyruvate dehydrogenase protein X component, mitochondrial (Dihydrolipoamide dehydrogenase-binding protein of pyruvate dehydrogenase complex) (E3-binding protein) (E3BP) (Lipoyl-containing pyruvate dehydrogenase complex component X) (proX)",22935.0,40129000.0,9918.1,9121.0,17095.0,60248.0,47171.0,18237.0,8264.0,19962.0,38906,54055.0,17.4,17977.0,37428;37429;37430;37431;38430;44052;44053;44054;48965;67138;87557;103626;103627,8790.2,0.0,54.122,10703;10991;12548;13836;19295;25426;29816,O00330,7,22.846,20576.0,501
SLC33A1 ACATN AT1,0.0,0.0,3134.1,Acetyl-coenzyme A transporter 1 (AT-1) (Acetyl-CoA transporter 1) (Solute carrier family 33 member 1),0.0,2609400.0,0.0,0.0,0.0,3417.9,2682.4,0.0,0.0,0.0,21240,3513.0,4.4,0.0,20427;108810,0.0,0.00029691,60.908,5753;31311,O00400,2,3.6167,0.0,549
WASL,0.0,0.0,0.0,Actin nucleation-promoting factor WASL (Neural Wiskott-Aldrich syndrome protein) (N-WASP),0.0,1065900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34874,0.0,8.3,0.0,33551;87576,0.0,0.0,54.826,9626;25434,O00401,2,13.577,0.0,505
IPO5 KPNB3 RANBP5,48314.0,21495.0,99584.0,Importin-5 (Imp5) (Importin subunit beta-3) (Karyopherin beta-3) (Ran-binding protein 5) (RanBP5),18451.0,530340000.0,15052.0,30086.0,54514.0,90023.0,101010.0,38585.0,18282.0,64154.0,4713,116340.0,44.3,34272.0,4520;4521;4522;4523;4524;4525;4526;8553;8554;8555;8556;8557;8558;21628;21629;21630;21631;21632;21633;21634;21635;21941;21942;21943;21944;21945;21946;22804;22805;22806;22807;31435;31436;31437;31438;31439;31784;33358;33359;33360;33361;42710;42711;43173;43174;43175;46653;46654;56193;56194;56195;56196;56197;56940;58523;58524;63963;63964;68249;68250;70755;73490;73491;73492;73493;75171;76059;76060;76061;76062;76143;76144;76145;76146;80483;80484;80485;80486;84761;90978;90979;90980;90981;90982;90983;91429;91430;91431;91432;91433;91434;91435;95235;95236;95237;95238;95239;96158;96159;96160;98876;98877;98878;98879;98880;98881;99463;99464;101953;101954;101955;101956;101957;101958;101959;101960;101961;101962;102420;105396;105397;105398;105399,24822.0,0.0,123.63,1305;2438;6105;6207;6425;9008;9119;9575;12147;12287;13255;15943;16188;16660;18284;19615;20302;21123;21603;21866;21887;23338;24587;26384;26508;27620;27847;28540;28658;29344;29481;30361,O00410,32,273.83,44300.0,1097
POLRMT,0.0,0.0,0.0,"DNA-directed RNA polymerase, mitochondrial (MtRPOL) (EC 2.7.7.6)",0.0,5483300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11451,0.0,3.3,0.0,10992;75583;75584,0.0,0.0,138.62,3152;21712,O00411,2,28.885,0.0,1230
EEF2K,0.0,0.0,13261.0,Eukaryotic elongation factor 2 kinase (eEF-2 kinase) (eEF-2K) (EC 2.7.11.20) (Calcium/calmodulin-dependent eukaryotic elongation factor 2 kinase),0.0,4405000.0,0.0,0.0,0.0,12458.0,11059.0,0.0,0.0,0.0,83707,13518.0,3.6,0.0,79953;108032,0.0,0.0,82.143,23125;31082,O00418,2,6.849,0.0,725
SAP18 GIG38,11058.0,10210.0,101120.0,Histone deacetylase complex subunit SAP18 (18 kDa Sin3-associated polypeptide) (2HOR0202) (Cell growth-inhibiting gene 38 protein) (Sin3-associated polypeptide p18),11741.0,131410000.0,15554.0,17161.0,34414.0,100590.0,103280.0,34472.0,15205.0,39631.0,24159,121950.0,52.3,34655.0,23210;25211;25212;25213;25214;32332;39144;40736;40737;53721;54425;54426;54427;54428;54429;54430;54431;54432;54433;103326,13821.0,0.0,17.561,6547;7138;9279;11193;11641;15160;15378;29739,O00422,8,63.582,9042.9,153
