Protein IDs,Protein names,Gene names,Razor + unique peptides,Unique sequence coverage [%],Mol. weight [kDa],Sequence length,Q-value,Score,Reporter intensity 1 1st,Reporter intensity 1 2nd,Reporter intensity 1 3rd,Reporter intensity 2 1st,Reporter intensity 2 2nd,Reporter intensity 2 3rd,Reporter intensity 3 1st,Reporter intensity 3 2nd,Reporter intensity 3 3rd,Intensity,id,Peptide IDs,Evidence IDs,Best MS/MS
A5YKK6,CCR4-NOT transcription complex subunit 1 (CCR4-associated factor 1) (Negative regulator of transcription subunit 1 homolog) (NOT1H) (hNOT1),CNOT1 CDC39 KIAA1007 NOT1 AD-005,12,8.5,266.94,2376,0.0,49.347,131320.0,133540.0,83412.0,122600.0,124330.0,78602.0,100750.0,98044.0,60301.0,488720000.0,13,862;1401;2012;2351;4889;5652;6358;7059;7141;8932;9138;18585,3759;3760;6454;9437;9438;9439;9440;10998;10999;11000;11001;11002;11003;11004;11005;23329;23330;23331;27002;30313;33679;34134;34135;34136;43281;43282;43283;43284;43285;43286;44257;88403,3873
A6NDG6,Glycerol-3-phosphate phosphatase (G3PP) (EC 3.1.3.21) (Aspartate-based ubiquitous Mg(2+)-dependent phosphatase) (AUM) (EC 3.1.3.48) (Phosphoglycolate phosphatase) (PGP),PGP,2,9.0,34.006,321,0.0,14.151,126840.0,26879.0,68785.0,92015.0,16827.0,49632.0,81512.0,14523.0,37555.0,409330000.0,14,6691;7579,32003;32004;36371;36372;36373;36374;36375,32993
A6NDU8,RAB7A-interacting MON1-CCZ1 complex subunit 1 (UPF0600 protein C5orf51),RIMOC1 C5orf51,2,7.8,33.62,294,0.0,5.5,19792.0,4211.3,16414.0,14794.0,3717.3,12817.0,13719.0,3313.2,12593.0,31550000.0,15,54;5286,207;208;25289;25290;25291,210
A6NHR9,Structural maintenance of chromosomes flexible hinge domain-containing protein 1 (SMC hinge domain-containing protein 1) (EC 3.6.1.-),SMCHD1 KIAA0650,11,9.2,226.37,2005,0.0,100.22,102290.0,152540.0,112560.0,175790.0,148080.0,106360.0,110160.0,112050.0,92144.0,301750000.0,17,27;3230;3689;4839;5829;9083;9401;10277;11518;13399;13956,106;15250;15251;17581;23094;27820;27821;43911;45610;50214;50215;50216;50217;55918;64630;64631;64632;64633;64634;64635;64636;67426,107
A8MVU1,Putative neutrophil cytosol factor 1C (NCF-1C) (Putative SH3 and PX domain-containing protein 1C),NCF1C SH3PXD1C,3,17.5,41.85,366,0.0,14.019,6409.7,476.1,34620.0,7362.7,645.92,41205.0,6806.0,674.46,33106.0,40317000.0,18,2186;9507;13042,10236;10237;10238;46319;46320;63166,10629
B0I1T2,Unconventional myosin-Ig [Cleaved into: Minor histocompatibility antigen HA-2 (mHag HA-2)],MYO1G HA2,4,8.1,116.44,1018,0.0,44.56,33285.0,16894.0,31405.0,34592.0,17177.0,31929.0,29640.0,15465.0,30502.0,173850000.0,19,2087;4724;8141;12406,9759;9760;9761;9762;9763;22621;22622;22623;22624;39369;39370;39371;39372;60188,10122
Q13765,Nascent polypeptide-associated complex subunit alpha (NAC-alpha) (Alpha-NAC) (allergen Hom s 2),NACA HSD48,4,26.5,23.384,215,0.0,96.181,433370.0,584800.0,398160.0,415310.0,516880.0,333980.0,276680.0,352880.0,222280.0,3987900000.0,104,2840;10018;14364;16148,13390;13391;13392;13393;13394;13395;13396;13397;13398;13399;13400;13401;13402;13403;13404;13405;13406;13407;13408;48967;48968;48969;48970;48971;48972;48973;48974;48975;69372;69373;69374;69375;69376;69377;69378;69379;77045;77046;77047;77048;77049;77050;77051;77052;77053;77054;77055;77056;77057;77058;77059;77060,13915
L0R6Q1,SLC35A4 upstream open reading frame protein,SLC35A4,2,29.1,11.133,103,0.00029343,2.4543,28728.0,20401.0,13044.0,41409.0,26006.0,18214.0,23319.0,17478.0,12244.0,97839000.0,105,4005;15345,19188;19189;19190;73463,19857
O00116,"Alkyldihydroxyacetonephosphate synthase, peroxisomal (Alkyl-DHAP synthase) (EC 2.5.1.26) (Aging-associated gene 5 protein) (Alkylglycerone-phosphate synthase)",AGPS AAG5,18,46.0,72.911,658,0.0,192.75,233330.0,280690.0,242710.0,255210.0,249920.0,256090.0,201850.0,203820.0,209570.0,1638399999.9999998,107,201;1742;1743;3049;5895;6087;6400;6469;7632;7633;8200;10533;10646;14080;14277;19270;19382;19433,857;858;859;860;861;8143;8144;8145;8146;14477;14478;14479;28068;29003;30549;30550;30551;30552;30553;30939;36655;36656;36657;36658;36659;36660;36661;36662;36663;36664;39667;39668;39669;39670;39671;39672;39673;39674;39675;39676;39677;39678;39679;39680;39681;39682;51498;52001;52002;52003;52004;52005;68120;68959;91406;91407;91946;91947;92205;92206;92207;92208,875
O00139,Kinesin-like protein KIF2A (Kinesin-2) (hK2),KIF2A KIF2 KNS2,2,7.5,79.954,706,0.0,9.9079,65226.0,24749.0,24871.0,53081.0,18612.0,16780.0,49161.0,17508.0,14076.0,360330000.0,108,4894;9055,23346;23347;43807;43808;43809;43810;43811,24133
O00148,ATP-dependent RNA helicase DDX39A (EC 3.6.4.13) (DEAD box protein 39) (Nuclear RNA helicase URH49),DDX39A DDX39,3,11.7,49.129,427,0.0,28.0,34610.0,36712.0,84659.0,32040.0,37323.0,82724.0,28487.0,29513.0,69350.0,732240000.0,109,575;576;977;2568;3901;5145;8297;13463;18354,2497;2498;2499;2500;2501;2502;2503;4359;4360;4361;4362;4363;4364;4365;4366;4367;4368;4369;4370;4371;4372;4373;12120;12121;12122;12123;12124;12125;12126;12127;18610;18611;18612;18613;18614;18615;18616;18617;24529;24530;24531;24532;24533;24534;40163;40164;40165;40166;40167;40168;40169;40170;40171;40172;40173;40174;64865;64866;64867;64868;64869;64870;64871;87302;87303;87304;87305;87306,2566
O00151,PDZ and LIM domain protein 1 (C-terminal LIM domain protein 1) (Elfin) (LIM domain protein CLP-36),PDLIM1 CLIM1 CLP36,3,18.8,36.071,329,0.0,13.315,14129.0,19662.0,10224.0,17937.0,17857.0,9528.4,13680.0,14772.0,8978.4,65607000.0,110,137;9748;17377,591;47653;47654;47655;82565;82566,603
O00154,Cytosolic acyl coenzyme A thioester hydrolase (EC 3.1.2.2) (Acyl-CoA thioesterase 7) (Brain acyl-CoA hydrolase) (BACH) (hBACH) (CTE-IIa) (CTE-II) (Long chain acyl-CoA thioester hydrolase),ACOT7 BACH,2,8.4,41.796,380,0.00030989,3.0976,9610.9,15552.0,0.0,8272.0,16307.0,0.0,8100.3,14465.0,0.0,16766000.0,111,203;17121,878;81505,896
O00160,Unconventional myosin-If (Myosin-Ie),MYO1F,8,11.8,124.84,1098,0.0,49.175,173770.0,146580.0,127690.0,185240.0,140480.0,132560.0,147020.0,110360.0,96136.0,719390000.0,113,578;2871;4896;7661;8782;12298;14235;15101,2505;2506;2507;13576;13577;13578;13579;13580;13581;13582;13583;13584;13585;13586;23351;36866;36867;36868;36869;36870;42495;42496;42497;59784;68778;68779;72388;72389,2576
O00161,Synaptosomal-associated protein 23 (SNAP-23) (Vesicle-membrane fusion protein SNAP-23),SNAP23,3,25.6,23.354,211,0.0,16.245,56848.0,33195.0,48134.0,62241.0,25559.0,53775.0,46385.0,22358.0,42980.0,82974000.0,114,10986;13801;17385,53578;66597;66598;66599;82609;82610;82611,55360
O00170,AH receptor-interacting protein (AIP) (Aryl-hydrocarbon receptor-interacting protein) (HBV X-associated protein 2) (XAP-2) (Immunophilin homolog ARA9),AIP XAP2,4,17.0,37.664,330,0.0,13.692,26559.0,14702.0,40225.0,23565.0,13115.0,38051.0,19656.0,13427.0,32125.0,115580000.0,116,7542;13088;13661;18169,36155;63382;65989;65990;86472;86473;86474;86475,37312
O00178,GTP-binding protein 1 (G-protein 1) (GP-1) (GP1),GTPBP1,4,7.9,72.453,669,0.0,10.447,71381.0,35931.0,32004.0,71737.0,41773.0,39830.0,56897.0,34750.0,33593.0,133120000.0,117,10755;13600;13764;17907,52472;52473;52474;65612;65613;66454;85227,54208
O00182,Galectin-9 (Gal-9) (Ecalectin) (Tumor antigen HOM-HD-21),LGALS9,7,26.2,39.518,355,0.0,102.09,135160.0,146990.0,99078.0,95979.0,79628.0,70095.0,80591.0,65795.0,51037.0,954860000.0,118,6532;6576;8563;8939;12080;14502;17595,31207;31208;31451;41405;43312;58473;58474;58475;58476;58477;58478;58479;69908;69909;69910;69911;69912;83634,32175
O00186,Syntaxin-binding protein 3 (Platelet Sec1 protein) (PSP) (Protein unc-18 homolog 3) (Unc18-3) (Protein unc-18 homolog C) (Unc-18C),STXBP3,2,5.1,67.764,592,0.0,4.5888,14585.0,10564.0,14512.0,16452.0,10111.0,13014.0,13082.0,9089.8,11830.0,38101000.0,119,4145;14085,19846;19847;19848;19849;19850;68168,20535
O00193,Small acidic protein,SMAP C11orf58,2,21.3,20.332,183,0.0,107.97,13382.0,42420.0,39504.0,19359.0,53795.0,40029.0,13501.0,32586.0,29828.0,231680000.0,120,10579;15434,51722;73779;73780;73781;73782;73783,53437
O00203,AP-3 complex subunit beta-1 (Adaptor protein complex AP-3 subunit beta-1) (Adaptor-related protein complex 3 subunit beta-1) (Beta-3A-adaptin) (Clathrin assembly protein complex 3 beta-1 large chain),AP3B1 ADTB3A,10,19.2,121.32,1094,0.0,47.969,93341.0,132470.0,80997.0,89460.0,109340.0,78196.0,74442.0,89563.0,68572.0,569470000.0,121,1872;2447;4785;5737;12026;12667;16415;18453;18889;19116,8782;8783;8784;8785;8786;11474;22898;22899;27397;27398;27399;27400;27401;27402;58268;58269;58270;58271;58272;61312;78187;87775;89669;89670;89671;89672;90727;90728;90729,9121
O00217,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial (EC 7.1.1.2) (Complex I-23kD) (CI-23kD) (NADH-ubiquinone oxidoreductase 23 kDa subunit) (TYKY subunit)",NDUFS8,2,13.8,23.705,210,0.0,5.9189,55848.0,27418.0,35376.0,60306.0,29588.0,41398.0,42008.0,20327.0,27554.0,128600000.0,122,5617;11786,26833;26834;26835;26836;57116;57117,27700
O00231,26S proteasome non-ATPase regulatory subunit 11 (26S proteasome regulatory subunit RPN6) (26S proteasome regulatory subunit S9) (26S proteasome regulatory subunit p44.5),PSMD11,8,26.1,47.463,422,0.0,28.212,152130.0,217790.0,150600.0,127760.0,187490.0,115150.0,102540.0,137440.0,90531.0,2023300000.0,124,24;537;4256;5792;10555;13112;16920;18593,97;98;99;100;101;102;2357;2358;2359;2360;2361;2362;2363;20333;20334;20335;27683;27684;27685;27686;27687;51590;51591;51592;51593;63479;63480;63481;80559;80560;80561;88424;88425;88426,101
O00232,26S proteasome non-ATPase regulatory subunit 12 (26S proteasome regulatory subunit RPN5) (26S proteasome regulatory subunit p55),PSMD12,12,35.7,52.904,456,0.0,157.38,342090.0,357840.0,314980.0,365010.0,347490.0,329130.0,271600.0,259030.0,261960.0,1728999999.9999998,125,983;3480;4059;5849;6396;6622;9056;11307;12797;13755;13903;14134,4389;4390;4391;4392;4393;4394;16659;16660;16661;16662;16663;16664;16665;19460;19461;19462;19463;19464;19465;19466;19467;27896;30517;30518;30519;30520;30521;30522;30523;30524;30525;30526;31650;31651;43812;43813;43814;43815;43816;43817;43818;43819;54991;54992;54993;61915;61916;61917;66393;66394;66395;66396;66397;66398;66399;66400;66401;66402;66403;66404;66405;67179;68330;68331;68332,4534
O00267,Transcription elongation factor SPT5 (hSPT5) (DRB sensitivity-inducing factor 160 kDa subunit) (DSIF p160) (DRB sensitivity-inducing factor large subunit) (DSIF large subunit) (Tat-cotransactivator 1 protein) (Tat-CT1 protein),SUPT5H SPT5 SPT5H,6,8.3,121.0,1087,0.0,60.476,66695.0,86777.0,56627.0,71093.0,83926.0,63184.0,55282.0,60844.0,50085.0,235540000.0,129,3478;4274;4846;15986;18059;18903,16657;20398;20399;20400;20401;20402;20403;23105;23106;76304;76305;85980;89757;89758;89759,17267
O00273,DNA fragmentation factor subunit alpha (DNA fragmentation factor 45 kDa subunit) (DFF-45) (Inhibitor of CAD) (ICAD),DFFA DFF1 DFF45 H13,4,23.9,36.521,331,0.0,13.856,15332.0,41874.0,863.66,14294.0,37325.0,986.98,12655.0,31451.0,654.34,71988000.0,130,104;6120;13907;16053,432;29115;29116;67196;76609;76610;76611,441
O00299,Chloride intracellular channel protein 1 (Chloride channel ABP) (Nuclear chloride ion channel 27) (NCC27) (Regulatory nuclear chloride ion channel protein) (hRNCC),CLIC1 G6 NCC27,13,72.2,26.922,241,0.0,293.99,1254000.0,1046500.0,1228900.0,1049000.0,851540.0,972390.0,837110.0,646670.0,708920.0,37939000000.0,132,492;4460;6725;7751;9458;10027;11268;11648;11794;12304;14474;18153;18154,2129;2130;2131;2132;2133;2134;2135;2136;2137;2138;2139;2140;2141;2142;2143;2144;2145;2146;2147;2148;2149;2150;2151;2152;2153;2154;21425;21426;21427;21428;21429;21430;21431;21432;21433;21434;21435;21436;21437;21438;21439;21440;21441;21442;21443;32154;32155;32156;32157;32158;32159;32160;32161;32162;32163;32164;32165;32166;32167;32168;32169;32170;32171;32172;32173;32174;32175;32176;37511;37512;37513;45943;45944;45945;45946;45947;45948;45949;45950;45951;45952;49031;49032;49033;49034;49035;49036;49037;49038;49039;49040;54848;54849;54850;54851;54852;54853;54854;54855;54856;54857;54858;54859;54860;54861;54862;54863;54864;54865;54866;54867;54868;56440;56441;56442;56443;56444;56445;56446;56447;56448;56449;56450;56451;56452;56453;56454;56455;56456;56457;56458;56459;56460;56461;56462;56463;56464;56465;57136;57137;57138;57139;57140;57141;57142;59802;59803;59804;59805;59806;59807;69823;69824;69825;69826;69827;69828;69829;69830;69831;86390;86391;86392;86393;86394;86395;86396;86397;86398;86399;86400;86401;86402;86403;86404;86405;86406;86407;86408;86409;86410;86411;86412;86413;86414;86415;86416;86417;86418;86419;86420,2182
O00303,Eukaryotic translation initiation factor 3 subunit F (eIF3f) (Deubiquitinating enzyme eIF3f) (EC 3.4.19.12) (Eukaryotic translation initiation factor 3 subunit 5) (eIF-3-epsilon) (eIF3 p47),EIF3F EIF3S5,7,31.1,37.563,357,0.0,45.659,85167.0,80342.0,87529.0,72166.0,72542.0,79923.0,53849.0,56652.0,53384.0,604640000.0,133,4231;9808;10254;11616;12311;18047;18684,20233;20234;20235;20236;20237;20238;47992;50050;50051;50052;50053;56319;59836;59837;85860;85861;88749;88750,20929
O00329,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform (PI3-kinase subunit delta) (PI3K-delta) (PI3Kdelta) (PtdIns-3-kinase subunit delta) (EC 2.7.1.137) (EC 2.7.1.153) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit delta) (PtdIns-3-kinase subunit p110-delta) (p110delta)",PIK3CD,4,6.4,119.48,1044,0.0,16.159,55374.0,80186.0,40632.0,57687.0,81201.0,39367.0,41944.0,67026.0,30955.0,131180000.0,134,2366;4516;5892;8391,11083;11084;11085;21643;28062;40658;40659;40660;40661,11518
O00410,Importin-5 (Imp5) (Importin subunit beta-3) (Karyopherin beta-3) (Ran-binding protein 5) (RanBP5),IPO5 KPNB3 RANBP5,14,23.4,123.63,1097,0.0,96.322,244080.0,177620.0,150500.0,247270.0,165440.0,142640.0,200760.0,132720.0,113740.0,909200000.0,137,932;1799;4616;4683;9664;11548;12691;13592;15210;15338;16967;17496;18014;18561,4073;4074;4075;4076;4077;4078;4079;4080;4081;4082;4083;8405;8406;8407;8408;22080;22081;22371;22372;22373;22374;22375;47226;47227;47228;47229;47230;56059;56060;61459;61460;61461;61462;61463;61464;61465;65573;65574;65575;65576;65577;65578;65579;65580;72884;72885;73445;73446;73447;73448;80768;83195;85704;85705;85706;85707;85708;85709;85710;88309,4215
O00411,"DNA-directed RNA polymerase, mitochondrial (MtRPOL) (EC 2.7.7.6)",POLRMT,2,2.9,138.62,1230,0.0,4.5914,953.76,4512.3,0.0,777.04,6969.1,0.0,701.91,5463.3,0.0,6300600.0,138,13106;13985,63470;67590,65774
O00422,Histone deacetylase complex subunit SAP18 (18 kDa Sin3-associated polypeptide) (2HOR0202) (Cell growth-inhibiting gene 38 protein) (Sin3-associated polypeptide p18),SAP18 GIG38,4,28.8,17.561,153,0.0,7.6652,73740.0,83442.0,104200.0,81610.0,95848.0,152520.0,60437.0,71218.0,123010.0,338300000.0,139,4938;5447;6891;9166,23568;23569;23570;26070;26071;32892;32893;32894;44384;44385;44386;44387,24359
O00429,Dynamin-1-like protein (EC 3.6.5.5) (Dnm1p/Vps1p-like protein) (DVLP) (Dynamin family member proline-rich carboxyl-terminal domain less) (Dymple) (Dynamin-like protein) (Dynamin-like protein 4) (Dynamin-like protein IV) (HdynIV) (Dynamin-related protein 1),DNM1L DLP1 DRP1,8,17.8,81.876,736,0.0,44.531,74630.0,78365.0,34245.0,79042.0,73476.0,36166.0,69213.0,66997.0,32992.0,442540000.0,141,3740;6706;8006;9452;10153;13826;16406;17044,17870;17871;17872;32075;32076;32077;32078;32079;38646;38647;45932;49564;49565;49566;66864;66865;66866;66867;66868;66869;66870;66871;78159;78160;81099;81100;81101,18510
O00442,RNA 3'-terminal phosphate cyclase (RNA cyclase) (RNA-3'-phosphate cyclase) (EC 6.5.1.4) (RNA terminal phosphate cyclase domain-containing protein 1) (RTC domain-containing protein 1),RTCA RPC RPC1 RTC1 RTCD1,3,7.9,39.336,366,0.0,5.8978,23671.0,9372.2,8021.0,25663.0,9210.3,8409.6,20312.0,8241.9,7257.8,553650000.0,142,7867;9422;17935,38045;45750;45751;45752;85376;85377;85378,39269
O00487,26S proteasome non-ATPase regulatory subunit 14 (EC 3.4.19.-) (26S proteasome regulatory subunit RPN11) (26S proteasome-associated PAD1 homolog 1),PSMD14 POH1,6,43.2,34.577,310,0.0,48.625,157180.0,175790.0,101940.0,163770.0,191020.0,120920.0,127720.0,144490.0,91668.0,1481199999.9999998,145,834;1978;2005;12201;15142;18026,3675;3676;3677;3678;3679;9272;9273;9274;9275;9417;9418;9419;59257;59258;59259;59260;59261;59262;59263;59264;59265;59266;59267;59268;59269;59270;59271;59272;59273;59274;59275;72531;72532;72533;72534;72535;85763;85764;85765;85766;85767;85768;85769;85770;85771;85772;85773;85774;85775;85776;85777,3788
O00505,Importin subunit alpha-4 (Importin alpha Q2) (Qip2) (Karyopherin subunit alpha-3) (SRP1-gamma),KPNA3 QIP2,8,28.0,57.81,521,0.0,98.663,115080.0,130080.0,42964.0,131670.0,130930.0,48951.0,102030.0,109260.0,40570.0,603000000.0,146,1606;2051;3572;3675;4065;10105;11227;15736;16191,7543;7544;7545;7546;7547;7548;7549;7550;7551;7552;7553;7554;7555;9627;9628;17063;17064;17530;17531;17532;17533;17534;17535;17536;19481;19482;19483;19484;19485;19486;19487;19488;49386;49387;54658;54659;54660;75084;77237;77238;77239;77240;77241;77242,7851
O00541,Pescadillo homolog,PES1,5,12.6,68.002,588,0.0,33.165,44087.0,21715.0,13668.0,32666.0,19967.0,14771.0,27957.0,18418.0,11607.0,173040000.0,147,3067;4160;5850;12010;18921,14560;14561;19917;27897;58196;58197;89817;89818;89819;89820;89821,15079
O00560,Syntenin-1 (Melanoma differentiation-associated protein 9) (MDA-9) (Pro-TGF-alpha cytoplasmic domain-interacting protein 18) (TACIP18) (Scaffold protein Pbp1) (Syndecan-binding protein 1),SDCBP MDA9 SYCL,6,38.6,32.444,298,0.0,77.811,143740.0,140830.0,159180.0,146770.0,125970.0,150450.0,114520.0,103230.0,124240.0,2390600000.0,148,1329;3691;13722;15837;16070;18082,6075;6076;6077;6078;6079;6080;6081;6082;6083;17583;17584;17585;17586;17587;17588;66228;66229;66230;66231;66232;66233;66234;66235;66236;66237;66238;66239;66240;75557;75558;75559;75560;75561;75562;75563;75564;76675;76676;86090;86091;86092;86093;86094;86095,6296
O00566,U3 small nucleolar ribonucleoprotein protein MPP10 (M phase phosphoprotein 10),MPHOSPH10 MPP10,4,10.3,78.863,681,0.0,20.273,36931.0,62178.0,46460.0,42064.0,65386.0,37907.0,32572.0,47156.0,25873.0,180280000.0,149,11541;11814;15292;18752,56040;56041;56042;57370;73261;73262;73263;89042,57906
O00567,Nucleolar protein 56 (Nucleolar protein 5A),NOP56 NOL5A,11,33.2,66.049,594,0.0,91.818,272180.0,151570.0,214790.0,320860.0,191300.0,229160.0,247470.0,127900.0,182150.0,1223100000.0,150,4207;4524;6195;6417;9940;10168;12321;13535;14076;16410;19395,20138;20139;20140;21673;21674;29593;29594;29595;29596;29597;29598;29599;29600;30654;48607;49674;49675;49676;49677;49678;59872;65262;65263;65264;65265;65266;65267;65268;65269;65270;65271;68100;68101;68102;68103;68104;68105;68106;68107;78167;78168;78169;92009;92010;92011;92012;92013;92014;92015;92016;92017;92018;92019;92020;92021;92022,20830
O00571,"ATP-dependent RNA helicase DDX3X (EC 3.6.4.13) (CAP-Rf) (DEAD box protein 3, X-chromosomal) (DEAD box, X isoform) (DBX) (Helicase-like protein 2) (HLP2)",DDX3X DBX DDX3,18,8.9,73.243,662,0.0,108.03,362600.0,386090.0,286270.0,298610.0,311940.0,244080.0,234310.0,222690.0,177110.0,2096300000.0,151,2561;3183;3215;3580;3655;5172;7116;7687;9831;11054;11275;12057;15671;16196;16708;17953;17966;18633,12074;12075;12076;12077;12078;12079;15047;15048;15049;15050;15051;15052;15053;15054;15055;15056;15057;15058;15059;15179;15180;17092;17093;17438;24700;24701;24702;24703;33949;33950;33951;37113;48140;48141;48142;48143;48144;48145;53882;54893;54894;58371;58372;58373;74773;74774;74775;74776;74777;77252;77253;77254;77255;77256;77257;79586;79587;79588;79589;79590;85485;85517;85518;85519;85520;85521;85522;85523;85524;88559;88560,12539
O00584,Ribonuclease T2 (EC 4.6.1.19) (Ribonuclease 6),RNASET2 RNASE6PL,5,28.1,29.48,256,0.0,14.475,224540.0,136430.0,227590.0,212800.0,112540.0,211090.0,197070.0,112720.0,180420.0,723280000.0,152,5179;9684;12221;12383;16660,24742;24743;24744;24745;24746;24747;24748;24749;24750;24751;24752;24753;24754;24755;24756;24757;24758;47306;59366;59367;60107;79310;79311;79312;79313;79314;79315,25585
O00625,"Pirin (EC 1.13.11.24) (Probable quercetin 2,3-dioxygenase PIR) (Probable quercetinase)",PIR,2,12.4,32.113,290,0.0,15.542,24175.0,0.0,2295.9,23368.0,0.0,937.85,21144.0,0.0,980.16,34079000.0,153,8152;14299,39464;69029;69030,40763
O00629,Importin subunit alpha-3 (Importin alpha Q1) (Qip1) (Karyopherin subunit alpha-4),KPNA4 QIP1,9,31.7,57.886,521,0.0,127.15,124170.0,148800.0,120610.0,130710.0,138130.0,123500.0,107870.0,113720.0,98406.0,979030000.0,154,2050;3569;4065;11226;12612;13742;14537;15735;18606,9617;9618;9619;9620;9621;9622;9623;9624;9625;9626;17042;17043;17044;17045;17046;17047;17048;19481;19482;19483;19484;19485;19486;19487;19488;54657;61089;61090;61091;61092;66351;70063;70064;75079;75080;75081;75082;75083;88459;88460;88461;88462;88463;88464;88465;88466,9977
