Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	MS/MS count	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
P00562	P00562	9	9	9	Bifunctional aspartokinase/homoserine dehydrogenase 2;Aspartokinase;Homoserine dehydrogenase	metL	sp|P00562|AK2H_ECOLI Bifunctional aspartokinase/homoserine dehydrogenase 2 OS=Escherichia coli (strain K12) OX=83333 GN=metL PE=1 SV=3	1	9	9	9	14.6	14.6	14.6	88.887	810	810	0.0	15.633	10501000	8	25	112;1457;2162;2250;2344;5237;7305;7595;8273	True;True;True;True;True;True;True;True;True	122;1604;2358;2453;2557;5669;7880;8188;9035	187;2196;3157;3271;3401;7432;10302;10695;11890	237;2783;4004;4165;4330;9518;13132;13643;15247	237;2783;4004;4165;4330;9518;13132;13643;15247		
P00579	P00579	10	10	9	RNA polymerase sigma factor RpoD	rpoD	sp|P00579|RPOD_ECOLI RNA polymerase sigma factor RpoD OS=Escherichia coli (strain K12) OX=83333 GN=rpoD PE=1 SV=2	1	10	10	9	22.8	22.8	21.2	70.263	613	613	0.0	45.962	115840000	15	26	125;2462;2821;2889;3329;3577;5552;7268;8688;9211	True;True;True;True;True;True;True;True;True;True	135;2681;3060;3061;3145;3600;3601;3870;6014;7841;9483;10041	207;3559;4038;4039;4170;4724;4725;5053;7894;7895;10246;10247;12438;13135	260;4539;4540;5144;5145;5306;5996;5997;6442;10122;10123;13060;13061;15901;16746	260;4539;5145;5306;5997;6442;10123;13060;15901;16746	43;44;45	105;456;567
P00582	P00582	27	27	27	DNA polymerase I	polA	sp|P00582|DPO1_ECOLI DNA polymerase I OS=Escherichia coli (strain K12) OX=83333 GN=polA PE=1 SV=1	1	27	27	27	41.3	41.3	41.3	103.12	928	928	0.0	108.27	141140000	30	27	479;517;711;1135;1356;2917;2918;4141;4261;4793;4979;5859;6130;6479;7382;7637;7935;8331;8460;8864;10119;10262;10402;10572;11617;12294;12331	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	517;559;774;1250;1494;3176;3177;4481;4612;5187;5390;6341;6632;6999;7962;8230;8655;9096;9237;9667;11023;11179;11326;11511;12651;13376;13421	736;792;1085;1086;1715;1716;2057;4208;4209;5851;6016;6776;7056;8310;8729;9176;9177;10402;10746;11374;11962;12142;12651;14412;14601;14784;15026;15027;16595;17502;17567	939;1008;1371;1372;2161;2162;2624;5352;5353;7446;7661;8660;9032;10641;11143;11685;11686;13257;13706;14526;15329;15545;16157;18364;18626;18869;19194;19195;21296;22468;22542	939;1008;1372;2161;2624;5352;5353;7446;7661;8660;9032;10641;11143;11685;13257;13706;14526;15329;15545;16157;18364;18626;18869;19195;21296;22468;22542		
P00722	P00722	5	5	5	Beta-galactosidase	lacZ	sp|P00722|BGAL_ECOLI Beta-galactosidase OS=Escherichia coli (strain K12) OX=83333 GN=lacZ PE=1 SV=2	1	5	5	5	6.0	6.0	6.0	116.48	1024	1024	0.0	12.537	9298700	5	28	2160;3467;5084;5234;10976	True;True;True;True;True	2356;3752;5501;5666;11947	3155;4912;7205;7429;15618	4002;6249;9221;9515;20033	4002;6249;9221;9515;20033		
P00803	P00803	8	8	8	Signal peptidase I	lepB	sp|P00803|LEP_ECOLI Signal peptidase I OS=Escherichia coli (strain K12) OX=83333 GN=lepB PE=1 SV=2	1	8	8	8	33.0	33.0	33.0	35.96	324	324	0.0	14.956	25626000	8	29	1257;1258;2795;3209;8084;8668;9175;12326	True;True;True;True;True;True;True;True	1388;1389;3030;3477;8820;9461;10003;13415	1925;1926;3998;3999;4574;11598;12413;13078;17561	2459;2460;5093;5094;5789;14824;15872;16680;22536	2459;2460;5093;5789;14824;15872;16680;22536		
P00805	P00805	14	14	14	L-asparaginase 2	ansB	sp|P00805|ASPG2_ECOLI L-asparaginase 2 OS=Escherichia coli (strain K12) OX=83333 GN=ansB PE=1 SV=2	1	14	14	14	62.4	62.4	62.4	36.85	348	348	0.0	63.584	206940000	22	30	853;2012;3921;4574;5510;5996;8548;9982;10009;10550;11145;11387;11585;12168	True;True;True;True;True;True;True;True;True;True;True;True;True;True	933;2193;4245;4952;5971;6488;9332;9333;10874;10906;11487;12133;12389;12617;13242	1296;1297;2943;5550;6462;7844;8524;12256;12257;12258;12259;14210;14252;14253;14994;15880;16235;16550;17335	1640;1641;1642;3743;7081;8238;10064;10902;15690;15691;15692;15693;18089;18139;18140;18141;19157;20371;20831;20832;21244;22263	1641;3743;7081;8238;10064;10902;15693;18089;18140;19157;20371;20831;21244;22263	46	143
P00864	P00864	39	39	39	Phosphoenolpyruvate carboxylase	ppc	sp|P00864|CAPP_ECOLI Phosphoenolpyruvate carboxylase OS=Escherichia coli (strain K12) OX=83333 GN=ppc PE=1 SV=1	1	39	39	39	49.7	49.7	49.7	99.061	883	883	0.0	156.69	523950000	70	31	205;366;430;618;867;1403;1484;1501;1649;1761;2187;2768;2846;3864;4000;4893;4918;5465;6703;7050;7067;7220;7826;7922;8190;8241;8334;8435;8677;8814;8830;8987;9399;9400;10599;11059;11354;11737;12250	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	219;391;461;670;947;1544;1633;1650;1808;1926;2385;3003;3099;4185;4330;5298;5325;5917;5918;7234;7596;7622;7623;7791;8498;8499;8635;8636;8932;8988;9099;9211;9470;9616;9632;9798;10248;10249;11540;12039;12354;12781;13326	332;333;557;558;665;666;940;941;1313;2120;2233;2234;2256;2257;2460;2611;3190;3965;4111;5480;5655;6933;6934;6968;7773;7774;9452;9916;9917;9964;9965;9966;9967;10190;11149;11150;11346;11347;11348;11743;11809;11965;11966;12109;12422;12423;12593;12611;12612;12815;13403;13404;15060;15061;15732;15733;16190;16191;16751;17441	416;417;418;695;696;858;859;1189;1190;1661;1662;2695;2830;2831;2862;2863;3131;3318;4048;4049;5052;5236;6997;7217;8858;8859;8860;8905;8906;9969;9970;12036;12646;12647;12706;12707;12708;12709;12710;12980;12981;12982;14227;14228;14487;14488;14489;14490;15019;15104;15333;15334;15501;15502;15503;15882;15883;15884;16085;16107;16108;16109;16346;17058;17059;19235;19236;20169;20170;20778;20779;21484;22392	417;695;859;1189;1662;2695;2831;2862;3131;3318;4048;5052;5236;6997;7217;8859;8905;9970;12036;12646;12710;12981;14227;14489;15019;15104;15334;15501;15884;16085;16108;16346;17058;17059;19236;20170;20778;21484;22392	47;48;49;50;51	1;151;324;657;727
P00887	P00887	4	4	4	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive	aroH	sp|P00887|AROH_ECOLI Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive OS=Escherichia coli (strain K12) OX=83333 GN=aroH PE=1 SV=4	1	4	4	4	16.4	16.4	16.4	38.735	348	348	0.0	7.503	13791000	4	32	4251;5154;8108;12351	True;True;True;True	4602;5575;8845;13441	6005;7305;11628;17589	7649;9338;14855;22571	7649;9338;14855;22571		
P00895	P00895	2	2	2	Anthranilate synthase component 1	trpE	sp|P00895|TRPE_ECOLI Anthranilate synthase component 1 OS=Escherichia coli (strain K12) OX=83333 GN=trpE PE=1 SV=2	1	2	2	2	4.0	4.0	4.0	57.494	520	520	0.0	4.1687	1986700	2	33	6380;9712	True;True	6896;10582	9059;13836	11548;17616	11548;17616		
P00909	P00909	3	3	3	Tryptophan biosynthesis protein TrpCF;Indole-3-glycerol phosphate synthase;N-(5-phospho-ribosyl)anthranilate isomerase	trpC	sp|P00909|TRPC_ECOLI Tryptophan biosynthesis protein TrpCF OS=Escherichia coli (strain K12) OX=83333 GN=trpC PE=1 SV=4	1	3	3	3	6.4	6.4	6.4	49.492	453	453	0.0	4.6481	7640300	3	34	649;833;2279	True;True;True	704;911;2485	982;1267;3309	1244;1604;4211	1244;1604;4211		
P00914	P00914	3	3	3	Deoxyribodipyrimidine photo-lyase	phrB	sp|P00914|PHR_ECOLI Deoxyribodipyrimidine photo-lyase OS=Escherichia coli (strain K12) OX=83333 GN=phrB PE=1 SV=1	1	3	3	3	7.4	7.4	7.4	53.666	472	472	0.0	2.3166	3517000	2	35	503;3230;11640	True;True;True	543;3500;12677	774;4601;16627	986;5822;21333	986;5822;21333		
P00926	P00926	4	4	4	D-serine dehydratase	dsdA	sp|P00926|SDHD_ECOLI D-serine dehydratase OS=Escherichia coli (strain K12) OX=83333 GN=dsdA PE=1 SV=3	1	4	4	4	14.5	14.5	14.5	47.9	442	442	0.0	6.7242	10396000	4	36	3037;3144;3197;7839	True;True;True;True	3298;3410;3465;8515	4348;4486;4560;11174	5508;5676;5769;14259	5508;5676;5769;14259		
P00934	P00934	2	2	2	Threonine synthase	thrC	sp|P00934|THRC_ECOLI Threonine synthase OS=Escherichia coli (strain K12) OX=83333 GN=thrC PE=1 SV=1	1	2	2	2	8.6	8.6	8.6	47.113	428	428	0.0	2.9985	3736300	2	37	201;2037	True;True	215;2219	326;2976	409;3786	409;3786		
P00936	P00936	3	3	3	Adenylate cyclase	cyaA	sp|P00936|CYAA_ECOLI Adenylate cyclase OS=Escherichia coli (strain K12) OX=83333 GN=cyaA PE=1 SV=5	1	3	3	3	3.2	3.2	3.2	97.585	848	848	0.0	2.4604	3857400	3	38	2942;6388;11634	True;True;True	3202;6904;12669	4239;9069;16615	5387;11561;21321	5387;11561;21321		
P00944	P00944	3	3	3	Xylose isomerase	xylA	sp|P00944|XYLA_ECOLI Xylose isomerase OS=Escherichia coli (strain K12) OX=83333 GN=xylA PE=3 SV=1	1	3	3	3	12.0	12.0	12.0	49.741	440	440	0.0	3.5666	2878800	2	39	2518;4932;12152	True;True;True	2740;5341;13225	3633;6990;17317	4634;8948;22241	4634;8948;22241		
P00946	P00946	2	2	2	Mannose-6-phosphate isomerase	manA	sp|P00946|MANA_ECOLI Mannose-6-phosphate isomerase OS=Escherichia coli (strain K12) OX=83333 GN=manA PE=1 SV=1	1	2	2	2	5.4	5.4	5.4	42.849	391	391	0.0	2.7037	1650500	2	40	3317;12201	True;True	3588;13277	4708;17380	5971;22320	5971;22320		
P00954	P00954	10	10	10	Tryptophan--tRNA ligase	trpS	sp|P00954|SYW_ECOLI Tryptophan--tRNA ligase OS=Escherichia coli (strain K12) OX=83333 GN=trpS PE=1 SV=3	1	10	10	10	37.7	37.7	37.7	37.437	334	334	0.0	49.438	96223000	15	41	1303;1320;3465;3542;3936;5870;8003;10420;11484;11555	True;True;True;True;True;True;True;True;True;True	1439;1457;3750;3832;4261;4262;6354;8734;11345;12509;12585	1991;2015;4910;5007;5008;5569;5570;5571;8330;11489;14813;16407;16514	2544;2545;2576;2577;6247;6377;6378;7102;7103;7104;10666;14691;18903;21065;21202	2544;2576;6247;6377;7103;10666;14691;18903;21065;21202	52	284
P00956	P00956	34	34	34	Isoleucine--tRNA ligase	ileS	sp|P00956|SYI_ECOLI Isoleucine--tRNA ligase OS=Escherichia coli (strain K12) OX=83333 GN=ileS PE=1 SV=5	1	34	34	34	53.7	53.7	53.7	104.3	938	938	0.0	157.99	446880000	53	42	907;1180;1346;1450;1945;1966;2593;3118;3583;3604;3647;3708;4590;5265;6729;7397;7611;7612;7867;8563;9314;9373;9413;9621;9936;10248;10447;10672;10783;11066;11134;11552;12010;12174	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1004;1301;1484;1596;2115;2145;2820;3382;3876;3898;3944;4013;4970;5700;7260;7261;7977;8204;8205;8552;9349;10154;10219;10263;10483;10484;10826;10827;11165;11373;11620;11742;11743;12048;12122;12582;13071;13248	1405;1406;1786;2045;2046;2181;2182;2836;2888;3741;4449;5060;5088;5089;5152;5153;5235;6482;7473;9484;9485;10419;10715;10716;11227;12277;13278;13279;13365;13418;13419;13705;13706;13707;14152;14153;14583;14584;14849;15168;15169;15348;15349;15744;15866;16509;16510;17102;17341	1796;1797;2257;2610;2611;2766;2767;3602;3672;4772;5629;6450;6490;6491;6572;6573;6682;6683;8264;9572;12075;12076;13276;13672;13673;14322;15714;16910;16911;17017;17075;17076;17448;17449;17450;18013;18014;18594;18595;18956;19375;19376;19677;19678;19679;20185;20351;20352;21196;21197;21942;22270;22271;22272	1797;2257;2610;2767;3602;3672;4772;5629;6450;6490;6572;6682;8264;9572;12076;13276;13672;13673;14322;15714;16910;17017;17076;17450;18014;18594;18956;19375;19677;20185;20352;21197;21942;22270	53;54;55;56;57;58	17;157;474;493;617;638
P00957	P00957	38	38	38	Alanine--tRNA ligase	alaS	sp|P00957|SYA_ECOLI Alanine--tRNA ligase OS=Escherichia coli (strain K12) OX=83333 GN=alaS PE=1 SV=2	1	38	38	38	55.6	55.6	55.6	96.031	876	876	0.0	225.43	582750000	62	43	401;568;1223;1224;1234;2125;2126;3225;3738;3742;4030;4092;4206;4625;4694;4834;4954;5111;5342;7046;7324;7331;7527;7622;8238;8327;8581;8934;9210;9409;10279;10465;10975;11110;11111;11430;11687;11718	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	429;430;615;1352;1353;1363;2318;2319;3494;3495;4048;4049;4055;4362;4363;4429;4430;4554;5007;5080;5235;5365;5530;5784;7591;7900;7908;8117;8215;8985;9092;9367;9745;10040;10258;10259;11196;11392;11946;12097;12098;12438;12728;12760	617;618;619;865;1877;1878;1879;1893;1894;3108;3109;4594;4595;5284;5285;5286;5309;5701;5702;5783;5784;5785;5945;6529;6530;6631;6847;6848;7020;7021;7242;7573;9910;10326;10335;10609;10726;11806;11956;11957;12298;12299;12751;13133;13134;13413;13414;14622;14870;14871;15617;15825;15826;16305;16688;16726	785;786;787;1097;2403;2404;2405;2406;2421;2422;2423;3946;3947;5813;5814;6744;6745;6746;6794;7273;7274;7366;7367;7368;7570;7571;8323;8324;8469;8744;8745;8982;8983;8984;9259;9690;9691;12640;13167;13177;13533;13683;15100;15323;15324;15742;15743;16275;16743;16744;16745;17069;17070;17071;18656;18983;18984;18985;20032;20298;20299;20934;21402;21456	785;1097;2403;2404;2422;3946;3947;5813;6744;6794;7273;7366;7570;8324;8469;8745;8984;9259;9690;12640;13167;13177;13533;13683;15100;15323;15743;16275;16744;17071;18656;18983;20032;20298;20299;20934;21402;21456	59;60;61;62;63;64;65;66	44;300;604;631;642;658;834;849
P00959	P00959	29	29	29	Methionine--tRNA ligase	metG	sp|P00959|SYM_ECOLI Methionine--tRNA ligase OS=Escherichia coli (strain K12) OX=83333 GN=metG PE=1 SV=2	1	29	29	29	52.3	52.3	52.3	76.254	677	677	0.0	112.93	210400000	41	44	1;237;1523;1786;1787;2084;2599;3841;4082;4309;4898;5049;5901;6090;7440;7865;8866;9054;9164;9177;9407;10027;10267;10401;10885;11391;11491;11868;12449	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1;254;1676;1951;1952;2270;2826;4159;4418;4419;4665;4666;5303;5463;6387;6589;8026;8550;9669;9872;9991;10005;10256;10924;11184;11325;11850;12395;12518;12922;13547	1;374;2298;2299;2641;2642;3045;3747;3748;5443;5766;5767;5768;6089;6090;6091;6939;7156;7157;8376;8665;8666;10494;11224;11225;12653;12908;13065;13080;13411;14274;14608;14609;14783;15488;16244;16420;16924;17723	1;463;2921;2922;3356;3357;3870;4778;4779;6950;7349;7350;7351;7753;7754;7755;8865;8866;9163;9164;10716;11069;11070;13381;14317;14318;16159;16463;16665;16682;17067;18167;18636;18637;18638;18639;18868;19854;20845;21089;21731;21732;21733;22725	1;463;2921;3356;3357;3870;4778;6950;7350;7755;8865;9163;10716;11069;13381;14317;16159;16463;16665;16682;17067;18167;18637;18868;19854;20845;21089;21731;22725	67;68;69;70;71	60;135;185;446;633
