Peptide IDs,Mol. weight [kDa],Evidence IDs,Protein names,Gene names,Sequence coverage [%],Q-value,Reporter intensity 3,Reporter intensity 6,Reporter intensity 8,Score,Sequence length,Reporter intensity 4,Best MS/MS,Razor + unique peptides,Reporter intensity 5,Reporter intensity 9,Reporter intensity 1,Protein IDs,Intensity,Reporter intensity 0,Reporter intensity 7,Reporter intensity 2
8154;12148;14223,19.961,37748;54780;54781;64042,Nudix hydrolase 5,NUDT5,22.2,0.0,2840.7,3481.9,2958.4,12.533,180,3671.4,51463,3,2668.5,4063.7,3091.9,A6NCQ0,43123000,2783.3,3273.5,3797.7
973;9009,96.792,4840;40684,Collagen type XVI alpha 1 chain,COL16A1,3.4,0.001816,767.53,841.5,897.03,2.0362,966,776.87,6672,2,872.88,1035.9,752.43,A6NCT7,21675000,831.5,779.32,1015.5
7469;13750;15274,31.707,35217;62277;69777,"3'(2'),5'-bisphosphate nucleotidase 1 (EC 3.1.3.57) (3'-phosphoadenosine 5'-phosphate phosphatase) (Bisphosphate 3'-nucleotidase 1) (Inositol-polyphosphate 1-phosphatase)",BPNT1,10.0,0.0,2938.9,3701.3,3262.6,4.995,291,3950.2,48134,3,3381.2,3527.7,2961.5,A6NF51,18306000,3348.3,3424.9,3399.3
1788;4818,27.852,7728;22262,Leukocyte immunoglobulin-like receptor subfamily A member 5 (CD85 antigen-like family member F) (Immunoglobulin-like transcript 11) (ILT-11) (Leukocyte immunoglobulin-like receptor 9) (LIR-9) (CD antigen CD85f),LILRA5 ILT11 LILRB7 LIR9,8.3,0.0,1370.8,1796.6,1924.9,2.7181,299,1988.9,10506,2,1472.7,1732.7,1744.1,A6NI73-4,32325000,1823.4,2321.7,2219.6
1867;16748,51.086,7950;76550,Ubiquitin carboxyl-terminal hydrolase (EC 3.4.19.12),USP14,4.0,0.0052053,4159.5,5464.9,4469.3,1.5897,448,4813.6,10783,2,3154.2,5050.7,4178.5,A6NJA2,26428000,4124.8,4564.8,4939.1
4822;10553,28.282,22270;47891,FAM3 metabolism regulating signaling molecule B,FAM3B,6.6,0.0057438,3357.9,3987.6,3632.1,1.4897,258,4290.8,30912,2,4131.5,4380.1,4043.6,A8MTF8,24921000,4293.5,4079.4,4335.1
586;587;1784;1953;3543;8395;8445;11402;13638;13710,55.466,2621;2622;2623;2624;2625;2626;7721;7722;8158;16283;38389;38390;38531;38532;51426;51427;61801;62100,deleted,,21.2,0.0,8537.8,11136.0,9819.1,82.366,,9849.5,3701,5,8516.2,9924.0,9341.6,C9JPH8,713140000,10239.0,10111.0,10416.0
1500;13425;14552,78.345,7070;60745;60746;65929,Integrin beta,ITGB2 hCG_401305,3.8,0.0029744,2991.3,4305.0,3352.1,1.842,712,3877.1,9701,3,3485.5,3268.8,2937.8,A8MYE6,36845000,3278.8,3609.9,3595.5
1787;1936;3548;6239;6598;8396;12708,49.982,7727;8110;8111;16293;16294;16295;29482;29483;29484;31315;38391;38392;38393;56930;56931,Leukocyte immunoglobulin like receptor A2,LILRA2,26.9,0.0,5622.7,8294.9,7123.0,131.02,454,7671.6,10505,7,7175.1,7577.4,6875.7,A8MZH0,1774900000,7263.7,8068.1,8337.1
4264;9153;9422;10248;12541;14582,79.64,19822;41287;42376;45541;56228;56229;66488;66489,Seizure related 6 homolog like,SEZ6L,11.5,0.0,3527.9,4506.8,4244.1,31.974,720,4541.8,27441,6,3927.0,4308.9,3918.3,B0QYH4,194530000,4494.3,4448.8,4347.3
2010;6600,12.815,8428;8429;8430;8431;31374;31375,Apolipoprotein C-III (Apolipoprotein C3),APOC3,23.1,0.0,8491.7,10344.0,9239.9,50.212,117,9508.1,11378,2,9467.3,10131.0,8904.7,B0YIW2,828390000,9130.3,9536.8,10472.0
4509;4528;4560;6451;7574;7820;9347;10915;11592;11980;12079;12115;15030,49.653,21069;21070;21369;21453;30462;35472;35473;35474;35475;36404;42031;49477;52181;54105;54495;54496;54707;54708;54709;69038,Vimentin,VIM,28.8,0.0,41675.0,53300.0,48141.0,43.234,431,52337.0,29269,13,39672.0,56634.0,41844.0,B0YJC4,320300000,44341.0,52333.0,51944.0
2350;5788;13760;16433,37.306,9580;26814;62299;62300;75092,"Signal peptide, CUB domain and EGF like domain containing 1",SCUBE1,13.5,0.0,5367.8,6805.0,5923.9,8.4135,347,6461.3,12828,4,5499.0,7049.2,5806.1,B1AH90,92980000,5678.6,6977.9,6621.2
8297;10621;10923;13488;13574,29.295,38000;48171;49492;49493;61012;61621,F-actin-capping protein subunit beta,CAPZB,25.0,0.0,5313.2,6559.2,6062.4,12.094,244,5902.8,51744,5,5300.3,7028.7,6246.0,B1AK87,196420000,5741.1,6824.4,6755.5
2072;2890;4259;14581,53.252,8602;12902;19812;19813;66487,EPH receptor B2 (EPHB2 protein),EPHB2,11.8,0.0,2867.0,3818.6,3887.6,15.499,482,3740.0,11584,4,3166.7,4361.9,3547.5,Q6NVW1,51357000,3507.2,3882.8,4183.5
5;2796;3577;3749;3899;5123;5413;5627;5972;5973;6333;6334;7255;7434;7453;7485;7831;7832;8323;8529;9471;9512;10706;12100;13028;13741;14594;14857;15199;15283;15362;15517,90.142,9;10;11;12517;12518;12519;12520;16404;16405;17115;18008;18009;18010;18011;18012;24077;24078;24079;25372;25373;25374;25375;26105;26106;26107;26108;28277;28278;28279;28280;29843;29844;29845;29846;29847;34446;34447;35094;35095;35096;35097;35098;35099;35149;35150;35245;35246;36460;36461;36462;36463;38097;38746;42605;42695;42696;48429;48430;54667;54668;58547;62240;62241;62242;62243;66519;66520;66521;66522;66523;68417;68418;68419;69582;69583;69584;69585;69586;69789;70129;70130;70684;70685;70686;70687;70688;70689;70690;70691;70692,Periostin (PN) (Osteoblast-specific factor 2) (OSF-2),POSTN OSF2,48.0,0.0018237,2448.2,2905.3,2711.9,2.1007,836,3098.9,12,2,2285.7,2938.2,2750.6,B1ALD9,237220000,2842.9,2625.3,3039.8
628;629;4641;9522;13601;13840,155.55,2784;2785;21725;42715;61685;62658,Adhesion G protein-coupled receptor L2,ADGRL2,6.6,0.0,3413.3,4245.7,3861.9,31.248,1384,4114.1,3904,6,3991.4,5024.2,3891.0,B1ALU1,235360000,4369.4,4049.6,4466.2
12381;13060;13587,49.303,55677;58789;61653,Septin,SEPTIN6 SEPT6 hCG_23191,9.3,0.0,2313.7,2790.3,2364.9,11.092,431,2825.6,74892,3,2398.9,2848.3,2584.9,B1AMS2,39077000,2858.3,2626.4,2906.5
2491;6011;6012;10322;14795,27.018,10626;28414;28415;45948;45949;68175;68176,"CD58 antigen, (Lymphocyte function-associated antigen 3), isoform CRA_c (CD58 molecule)",CD58 hCG_37075,15.0,0.0,11475.0,15047.0,12316.0,11.241,240,13788.0,14304,5,11393.0,14329.0,12881.0,B1AMW1,735390000,12645.0,13455.0,15445.0
1529;2937;3770;3771;5690;9934;11930;12028;12225;12591;12604;14493;16358,49.338,7129;13429;13430;17227;17228;17229;17230;17231;26377;26378;44183;44184;44185;53921;53922;53923;54344;54345;54346;54347;55154;55155;56456;56491;65638;65639;65640;65641;65642;65643;65644;74526,CD55 molecule (Cromer blood group),CD55,34.7,0.0,36110.0,46416.0,40163.0,138.63,444,41556.0,9765,13,31246.0,44319.0,40200.0,B1AP13,3096100000,40032.0,42537.0,45135.0
2254;2692;3703;3732;5423;6309;6837;8345;9091;11212;11567;12683;13141,58.353,9261;12154;16859;16860;16961;16962;25415;25416;25417;25418;25419;29755;32209;38143;38144;41005;41006;41007;41008;50713;50714;52050;52051;52052;56818;56819;59674,deleted,,27.0,0.0,36490.0,45568.0,39747.0,44.567,,41572.0,12423,13,30852.0,42145.0,37133.0,C9JIZ6,1413700000,39010.0,43859.0,43157.0
1948;5399;6112;8392;8409;8687;10104;10413;10597;10690;10986;11690;12520;12882;15681;16066;16067;16478,116.28,8142;8143;25331;25332;28771;38383;38384;38385;38421;38422;39250;39251;44909;44910;46890;46891;46892;46893;48125;48126;48370;48371;48372;49821;49822;49823;52884;52885;52886;52887;56154;56155;56156;58034;58035;58036;71458;71459;72957;72958;72959;72960;75269;75270;75271,ADAMTS like 2,ADAMTSL2,23.3,0.0,40932.0,51837.0,44930.0,216.4,1060,47278.0,11018,18,38840.0,49158.0,44762.0,B1B0D4,7025500000,45078.0,49356.0,48844.0
4881;5622;7354;8260;8490;11635;13626;15050;15552;16027;16255,53.166,22576;22577;26072;26073;34882;37929;38679;52530;61771;69102;70790;72868;74085;74086,"Thioredoxin reductase 1, cytoplasmic (EC 1.11.1.2) (EC 1.8.1.9) (Peroxidase TXNRD1) (Thioredoxin reductase TR1)",TXNRD1,27.2,0.0,12163.0,13731.0,11411.0,49.267,482,13489.0,31310,11,13142.0,13478.0,12179.0,E9PIR7,349990000,12838.0,13251.0,13773.0
5261;5262;5888;8750;11194;16450,38.028,24711;24712;24713;27198;39467;39468;39469;39470;50660;50661;75141;75142;75143;75144,Nucleosome assembly protein 1 like 1,NAP1L1,20.8,0.0,12322.0,15002.0,13016.0,163.16,327,13941.0,34095,6,12978.0,15461.0,12680.0,F8VV59,258490000,12690.0,14336.0,13981.0
2767;10185,27.443,12389;45128,Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha (EC 2.5.1.58) (EC 2.5.1.59) (CAAX farnesyltransferase subunit alpha) (FTase-alpha) (Ras proteins prenyltransferase subunit alpha) (Type I protein geranyl-geranyltransferase subunit alpha),FNTA hCG_1993221,14.0,0.0,323.52,349.02,355.87,7.3392,228,462.99,16606,2,308.33,217.6,233.48,B3KVN2,10289000,178.15,245.78,286.84
3667;10250;11486,17.114,16737;16738;16739;45543;45544;51728;51729,"Microfibril associated protein 5 (cDNA FLJ42377 fis, clone UTERU2035469, highly similar to Microfibrillar-associated protein 5)",MFAP5,21.6,0.0,4194.0,5744.7,4964.6,8.7366,148,5915.2,22725,3,4729.8,5149.7,5348.8,B3KW70,249280000,4475.4,5438.7,5971.9
7333;12205,43.878,34789;55114,"Histidine--tRNA ligase, cytoplasmic (EC 6.1.1.21) (Histidyl-tRNA synthetase)",HARS1,4.3,0.0041008,3721.8,4233.3,4079.6,1.7222,395,4173.5,47603,2,3627.2,4624.1,4003.4,B4E1C5,39052000,3672.0,4001.5,4054.0
6055;9737;14716,32.616,28561;43449;67001;67002,Calponin,CNN2,12.1,0.0,6461.2,8285.2,6992.3,5.3797,298,7717.2,39065,3,6910.0,8553.0,7593.0,B4DDF4,56436000,7337.4,8113.8,8586.2
6463;7559;9952;9995;12605,101.76,30478;35432;44311;44487;44488;44489;56492,receptor protein-tyrosine kinase (EC 2.7.10.1),ERBB3,7.1,0.0,7484.2,9584.4,8983.7,9.9957,921,9209.5,41860,5,7561.1,9284.9,8219.2,B4DGQ7,93261000,8408.7,10117.0,9510.4
3529;16341,57.48,16002;16003;74369,cDNA FLJ59324,,3.0,0.0,1672.2,1999.3,1600.6,3.8769,537,1783.0,21545,2,1495.8,1913.5,1968.2,B4DHB2,87265000,1626.5,1799.2,1984.0
345;1153;2691;7013;10652;15120,83.573,1240;5703;12152;12153;32782;48281;69260,Endothelin-converting enzyme 1 (EC 3.4.24.71),ECE1,11.1,0.0,6218.0,7634.0,6573.9,19.715,738,7509.7,1663,6,7075.9,8337.1,6602.2,B4DKB2,72576000,5724.4,8103.8,7516.4
2958;3807;6588;7094;7721;9342;9343;11669;13363;15536,55.253,13504;13505;17300;17301;31283;31284;33717;35980;35981;35982;35983;42024;42025;52640;52641;60509;70736,Lipolysis stimulated lipoprotein receptor,LSR,25.4,0.0,13629.0,15918.0,13919.0,50.337,601,14983.0,18173,10,13078.0,15104.0,14604.0,S4R3V8,602240000,13277.0,15914.0,16235.0
435;1268;2878;3632;9139;9453;14414;14674;16061,55.994,1950;6184;12872;16647;16648;41229;41230;42523;65323;66907;66908;72948;72949,N-acyl-aliphatic-L-amino acid amidohydrolase (EC 3.5.1.14) (N-acyl-L-amino-acid amidohydrolase),,24.1,0.0,10349.0,11636.0,10371.0,45.574,498,10866.0,2715,9,10137.0,11438.0,10162.0,B4DNW0,229870000,10205.0,11942.0,10990.0
1216;3638,19.756,6031;16668,Putative protein-lysine deacylase ABHD14B (Alpha/beta hydrolase domain-containing protein 14B),ABHD14B,14.4,0.0,2564.8,3226.7,3114.3,2.9111,188,3058.6,8356,2,3289.5,3701.2,3469.0,B4DQI4,9727700,2977.5,3607.9,3469.1
6232;14909,66.542,29464;68562,receptor protein-tyrosine kinase (EC 2.7.10.1),ERBB2,3.3,0.0,2864.3,4535.0,2985.9,3.192,603,3838.8,40366,2,3605.4,4296.4,3200.0,F5H1T4,34044000,3115.7,4017.0,3660.7
4394;7369;14714,26.777,20292;20293;34939;66999,Purine nucleoside phosphorylase (PNP) (EC 2.4.2.1),MTAP,18.6,0.0,3670.9,4675.1,3829.3,8.0908,242,4248.4,28060,3,5012.9,5043.1,4118.1,J3QSB7,22545000,4081.2,4904.9,4557.7
3599;4222;7727;9214;14148;14270,17.215,16471;19724;36002;36003;36004;41644;63674;63675;63676;63677;64276;64277,Ubiquitin B,UBB,77.1,0.0,14214.0,17469.0,15537.0,95.805,153,17315.0,22384,6,14315.0,16431.0,15950.0,B4DV12,1096600000,16589.0,16164.0,18801.0
2583;7007;9938;10428,32.357,11061;32766;44287;44288;46970,mitogen-activated protein kinase (EC 2.7.11.24),MAPK14,19.8,0.0,1942.7,2320.9,1934.3,13.57,283,2324.0,14838,4,2446.4,2631.1,1931.1,B4E0K5,23815000,2249.6,2277.9,2113.7
726;747;1275;1276;1845;1846;2023;2161;2280;2346;3222;3327;3450;3736;3904;3905;4453;4734;5347;5348;6676;6679;8791;8792;9382;9940;10356;10473;10631;10632;11055;11361;11844;11931;11932;12027;12379;12380;12416;12417;13358;13401;13742;13743;14310;14418;15608,140.94,3048;3049;3126;3127;3128;3129;3130;3131;3132;3133;3134;3135;3136;3137;3138;3139;3140;3141;3142;3143;3144;3145;3146;3147;3148;3149;3150;3151;3152;3153;3154;3155;3156;3157;3158;3159;3160;3161;3162;3163;3164;3165;3166;3167;3168;3169;3170;3171;3172;3173;3174;3175;3176;3177;3178;3179;3180;3181;3182;3183;3184;3185;3186;3187;3188;3189;3190;3191;3192;3193;3194;3195;3196;3197;3198;3199;3200;3201;3202;3203;3204;3205;3206;3207;3208;3209;3210;3211;3212;3213;3214;3215;3216;3217;3218;3219;3220;3221;6204;6205;6206;6207;6208;6209;6210;6211;6212;6213;6214;6215;6216;6217;6218;6219;6220;6221;6222;6223;6224;6225;6226;6227;6228;6229;6230;6231;6232;6233;6234;6235;6236;6237;6238;6239;6240;6241;6242;6243;6244;6245;6246;6247;6248;6249;7862;7863;7864;7865;7866;7867;7868;7869;7870;7871;7872;7873;7874;7875;7876;7877;7878;7879;7880;7881;7882;7883;7884;7885;7886;8479;8480;8833;9315;9316;9317;9318;9319;9320;9321;9322;9323;9324;9325;9326;9327;9328;9329;9330;9331;9332;9333;9334;9537;9538;9539;9540;9541;9542;9543;9544;9545;9546;9547;9548;9549;9550;9551;9552;9553;9554;9555;9556;9557;9558;9559;9560;9561;9562;9563;9564;9565;9566;9567;9568;9569;9570;9571;14776;15125;15126;15127;15128;15129;15130;15131;15132;15133;15528;16967;16968;16969;16970;16971;16972;16973;16974;16975;16976;16977;16978;16979;16980;16981;16982;16983;16984;16985;18123;18124;18125;18126;18127;18128;18129;18130;18131;18132;18133;18134;18135;18136;20849;20850;20851;20852;20853;20854;20855;20856;22035;22036;24934;24935;24936;24937;24938;24939;24940;24941;24942;24943;24944;24945;24946;24947;24948;24949;24950;24951;24952;24953;24954;24955;24956;24957;24958;24959;24960;24961;24962;24963;24964;24965;24966;24967;24968;24969;24970;24971;24972;24973;24974;24975;24976;24977;24978;24979;24980;24981;24982;24983;24984;24985;24986;24987;24988;24989;24990;24991;24992;24993;24994;24995;24996;24997;24998;24999;25000;25001;25002;25003;25004;25005;25006;25007;25008;25009;25010;25011;25012;25013;25014;25015;25016;25017;25018;25019;25020;25021;25022;25023;25024;25025;25026;25027;25028;25029;31695;31696;31697;31698;31699;31700;31701;31702;31703;31704;31705;31706;31707;31708;31709;31710;31711;31712;31713;31714;31715;31716;31717;31718;31719;31720;31721;31722;31723;31726;31727;31728;31729;31730;31731;31732;31733;31734;31735;31736;31737;31738;31739;31740;31741;31742;31743;31744;31745;31746;31747;31748;31749;31750;31751;31752;31753;31754;31755;31756;31757;31758;31759;31760;31761;31762;31763;31764;31765;31766;31767;31768;31769;31770;31771;31772;31773;31774;31775;31776;31777;31778;31779;39752;39753;39754;39755;42131;42132;42133;42134;42135;42136;42137;42138;42139;42140;42141;42142;42143;42144;42145;42146;42147;42148;42149;42150;42151;42152;42153;42154;42155;42156;42157;42158;42159;42160;42161;42162;42163;42164;42165;42166;42167;42168;42169;42170;42171;42172;42173;42174;42175;42176;42177;42178;42179;42180;42181;42182;42183;42184;42185;42186;42187;42188;42189;42190;42191;42192;42193;42194;42195;42196;42197;42198;42199;42200;42201;42202;42203;42204;42205;42206;42207;42208;42209;42210;42211;42212;44290;46419;46420;46421;46422;46423;46424;46425;46426;46427;46428;46429;46430;46431;46432;46433;46434;46435;46436;46437;46438;46439;46440;46441;46442;46443;46444;46445;46446;46447;46448;46449;46450;46451;46452;46453;46454;46455;46456;46457;46458;46459;46460;46461;46462;46463;46464;46465;46466;46467;46468;46469;46470;46471;46472;46473;46474;46475;46476;46477;46478;46479;46480;46481;46482;46483;46484;46485;46486;46487;46488;46489;46490;46491;46492;46493;46494;46495;46496;46497;46498;46499;46500;46501;46502;46503;46504;46505;46506;46507;46508;46509;46510;46511;47281;47282;47283;47284;47285;47286;47287;47288;47289;47290;47291;47292;48195;48196;48197;48198;48199;48200;48201;48202;48203;48204;48205;48206;48207;48208;48209;48210;48211;48212;48213;48214;48215;48216;48217;48218;48219;48220;48221;48222;48223;48224;50032;50033;50034;50035;50036;50037;50038;50039;50040;50041;50042;50043;50044;50045;50046;50047;50048;50049;50050;50051;50052;50053;50054;50055;50056;50057;50058;50059;50060;50061;50062;50063;50064;50065;50066;50067;50068;50069;50070;50071;50072;50073;50074;50075;50076;50077;50078;50079;50080;50081;50082;50083;50084;50085;50086;50087;50088;50089;50090;50091;50092;50093;50094;50095;50096;50097;50098;50099;50100;50101;50102;50103;50104;50105;50106;50107;50108;50109;50110;50111;50112;50113;50114;50115;50116;50117;50118;50119;50120;50121;50122;50123;50124;50125;50126;50127;50128;50129;50130;50131;50132;50133;50134;50135;50136;50137;50138;50139;50140;50141;50142;50143;50144;50145;50146;50147;50148;50149;50150;50151;50152;50153;50154;50155;50156;51225;51226;51227;51228;51229;51230;51231;51232;51233;51234;51235;51236;51237;51238;51239;51240;51241;51242;51243;51244;51245;51246;51247;51248;51249;51250;51251;51252;51253;51254;51255;51256;51257;51258;51259;51260;51261;51262;51263;51264;51265;51266;51267;53578;53924;53925;53926;53927;53928;53929;53930;53931;53932;53933;53934;53935;53936;53937;53938;53939;53940;54342;54343;55620;55621;55622;55623;55624;55625;55626;55627;55628;55629;55630;55631;55632;55633;55634;55635;55636;55637;55638;55639;55640;55641;55642;55643;55644;55645;55646;55647;55648;55649;55650;55651;55652;55653;55654;55655;55656;55657;55658;55659;55660;55661;55662;55663;55664;55665;55666;55667;55668;55669;55670;55671;55672;55673;55674;55675;55676;55790;55791;55792;55793;55794;55795;55796;55797;55798;55799;55800;55801;55802;55803;55804;55805;55806;55807;55808;55809;60499;60647;60648;60649;60650;60651;60652;60653;60654;60655;60656;60657;60658;60659;60660;60661;60662;60663;62244;62245;62246;62247;62248;62249;62250;62251;62252;62253;62254;62255;62256;62257;62258;62259;62260;62261;62262;62263;62264;64464;64465;65331;71122;71123,Complement C2 (EC 3.4.21.43) (C3/C5 convertase),,34.8,0.0,7078.2,9517.9,8534.5,27.991,1266,8660.9,4265,6,6919.6,8586.5,8777.0,B4E1Z4,154740000,8622.5,8564.0,9869.9
10208;13087;15460,29.984,45191;59346;70376,"cDNA FLJ57169, highly similar to Signaling lymphocytic activation molecule",,10.8,0.0,3475.1,3822.1,4438.3,3.2515,269,3582.2,61091,3,2848.4,3824.2,3928.7,B4E2E4,25095000,5219.6,4031.8,3782.2
2420;3010;3249;4540;4793;5199;5294;6068;7366;7497;9661;11155;11785;13025;13210;13352;14759;16279;16280;16947,54.36,10294;10295;10296;10297;13828;13829;13830;14920;14921;14922;14923;21412;21413;21414;22196;22197;22198;24520;24521;24522;24523;24838;24839;24840;24841;28590;28591;28592;28593;28594;28595;28596;28597;28598;28599;28600;28601;28602;34933;34934;35266;35267;35268;43200;43201;43202;50547;53441;53442;58541;58542;59873;59874;60488;60489;60490;67234;67235;67236;67237;74145;74146;74147;74148;77274;77275;77276;77277,adenosine deaminase (EC 3.5.4.4),ADA2,42.4,0.0,78577.0,99079.0,84761.0,323.31,469,93124.0,13875,20,79586.0,96402.0,87892.0,B4E3Q4,7833900000,86008.0,96293.0,99352.0
2235;2762;3383;3539;5317;9100;9860;9897;12002;13227;14677;14744;16240;16241,47.142,9066;12376;12377;15321;15322;16059;24883;24884;41103;41104;41105;43851;43992;54232;60015;66912;67154;67155;67156;67157;67158;67159;74048;74049;74050;74051,Transcobalamin-2 (Transcobalamin II),TCN2,32.9,0.0,34047.0,40342.0,34648.0,26.962,423,40070.0,12192,14,37637.0,40442.0,35327.0,B5MBX2,904830000,37524.0,40665.0,41006.0
582;1635;3825;7256,31.357,2615;2616;7384;7385;17510;34448,Protein phosphatase 1 regulatory subunit 7,PPP1R7,18.6,0.0,5919.3,7577.9,6633.5,31.376,274,7020.3,3694,4,6651.6,7167.3,6397.1,B5MBZ8,174170000,6187.5,6777.2,7185.0
1067;7529;10236;13487;14122,36.94,5213;35359;45515;61011;63588,Septin-2,SEPTIN2,23.4,0.0,2841.5,4071.9,3871.5,31.163,321,4265.6,7161,5,4318.3,4144.0,3449.9,B5MCX3,56850000,3581.7,3898.0,3567.6
3547;3574;3627;3628;6619;6628;16848,50.884,16291;16292;16391;16392;16640;16641;31409;31410;31424;31425;76916;76917,Leukocyte immunoglobulin like receptor A6,LILRA6,15.3,0.0,4125.8,5780.4,4381.7,10.068,464,5115.8,22159,6,5575.3,5197.6,4623.1,B5ME96,371930000,4659.5,5452.0,4715.1
