Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
A2RRP1	A2RRP1	1	1	1	Neuroblastoma-amplified sequence	NBAS	sp|A2RRP1|NBAS_HUMAN NBAS subunit of NRZ tethering complex OS=Homo sapiens OX=9606 GN=NBAS PE=1 SV=2	1	1	1	1	0.8	0.8	0.8	268.57	2371	2371	0.00092937	8.2472	9206500	0				10	6189	True	6270	7341	8586	8586	1	1036
Q3MJ40;Q8IYA2;A2RUR9	Q3MJ40;Q8IYA2;A2RUR9	1;1;1	1;1;1	1;1;1	Coiled-coil domain-containing protein 144B;Putative coiled-coil domain-containing protein 144C;Coiled-coil domain-containing protein 144A	CCDC144B;CCDC144CP;CCDC144A	sp|Q3MJ40|C144B_HUMAN Coiled-coil domain-containing protein 144B OS=Homo sapiens OX=9606 GN=CCDC144B PE=2 SV=1;sp|Q8IYA2|C144C_HUMAN Putative coiled-coil domain-containing protein 144C OS=Homo sapiens OX=9606 GN=CCDC144CP PE=5 SV=3;sp|A2RUR9|C144A_HUMAN Co	3	1	1	1	1.5	1.5	1.5	82.95	725	725;1237;1427	0.0041857	6.0671	2689700	1				11	2254	True	2288	2650	3064	3064		
A3KN83	A3KN83	2	2	2	Protein strawberry notch homolog 1	SBNO1	sp|A3KN83|SBNO1_HUMAN Protein strawberry notch homolog 1 OS=Homo sapiens OX=9606 GN=SBNO1 PE=1 SV=1	1	2	2	2	2.3	2.3	2.3	154.31	1393	1393	0	18.501	10307000	3				12	6073;9082	True;True	6153;9200	7212;10695;10696	8443;12414;12415	8443;12415		
A5YKK6	A5YKK6	7	7	7	CCR4-NOT transcription complex subunit 1	CNOT1	sp|A5YKK6|CNOT1_HUMAN CCR4-NOT transcription complex subunit 1 OS=Homo sapiens OX=9606 GN=CNOT1 PE=1 SV=2	1	7	7	7	3.8	3.8	3.8	266.94	2376	2376	0	43.022	37032000	7				13	4105;5166;8650;8932;8985;9165;11378	True;True;True;True;True;True;True	4162;5234;8760;9048;9101;9286;11527	4822;6113;10188;10518;10581;10793;13452	5615;7169;11831;12215;12287;12531;15672	5615;7169;11831;12215;12287;12531;15672	2;3	387;2172
A6NDU8	A6NDU8	2	2	2	UPF0600 protein C5orf51	C5orf51	sp|A6NDU8|RIMC1_HUMAN RAB7A-interacting MON1-CCZ1 complex subunit 1 OS=Homo sapiens OX=9606 GN=RIMOC1 PE=1 SV=1	1	2	2	2	10.2	10.2	10.2	33.62	294	294	0	16.378	9546100	2				14	2641;4551	True;True	2681;4612	3119;5338	3623;6224	3623;6224		
A6NHL2	A6NHL2	2	1	1	Tubulin alpha chain-like 3	TUBAL3	sp|A6NHL2|TBAL3_HUMAN Tubulin alpha chain-like 3 OS=Homo sapiens OX=9606 GN=TUBAL3 PE=1 SV=2	1	2	1	1	5.8	3.8	3.8	49.908	446	446	0.00086843	7.0876	20559000	1				15	8763;11351	True;False	8874;11500	10312;13421	11969;15640	11969;15640	4;5	161;320
A6NHQ2	A6NHQ2	3	1	1	rRNA/tRNA 2-O-methyltransferase fibrillarin-like protein 1	FBLL1	sp|A6NHQ2|FBLL1_HUMAN rRNA/tRNA 2-O-methyltransferase fibrillarin-like protein 1 OS=Homo sapiens OX=9606 GN=FBLL1 PE=3 SV=2	1	3	1	1	11.1	3.3	3.3	34.803	334	334	0.0023669	6.307	8521900	1				16	5460;5726;9755	False;False;True	5535;5805;9883	6468;6798;11565	7577;7959;13489	7577;7959;13489		
A6NHR9	A6NHR9	7	7	7	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	SMCHD1	sp|A6NHR9|SMHD1_HUMAN Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SMCHD1 PE=1 SV=2	1	7	7	7	4.7	4.7	4.7	226.37	2005	2005	0	43.159	24452000	7				17	1644;1650;1904;3497;4339;4839;6752	True;True;True;True;True;True;True	1671;1677;1936;3545;4397;4902;6836	1928;1935;2236;4098;5085;5725;7990	2219;2228;2581;4758;5919;6708;9340	2219;2228;2581;4758;5919;6708;9340		
A6NIZ1;P61224;P62834	A6NIZ1;P61224;P62834	3;3;2	3;3;2	3;3;2	Ras-related protein Rap-1b-like protein;Ras-related protein Rap-1b;Ras-related protein Rap-1A	RAP1B;RAP1A	sp|A6NIZ1|RP1BL_HUMAN Ras-related protein Rap-1b-like protein OS=Homo sapiens OX=9606 PE=2 SV=1;sp|P61224|RAP1B_HUMAN Ras-related protein Rap-1b OS=Homo sapiens OX=9606 GN=RAP1B PE=1 SV=1;sp|P62834|RAP1A_HUMAN Ras-related protein Rap-1A OS=Homo sapiens OX=	3	3	3	3	20.1	20.1	20.1	20.925	184	184;184;184	0	20.651	178670000	6				18	5224;10470;11186	True;True;True	5292;10609;11335	6179;6180;6181;12390;13239	7247;7248;7249;7250;7251;14464;15422	7247;14464;15422	6	111
A8MPP1;Q92771;Q96FC9	A8MPP1;Q92771;Q96FC9	1;1;1	1;1;1	1;1;1	Putative ATP-dependent RNA helicase DDX11-like protein 8;Putative ATP-dependent RNA helicase DDX12;Probable ATP-dependent RNA helicase DDX11	DDX11L8;DDX12P;DDX11	sp|A8MPP1|D11L8_HUMAN Putative ATP-dependent RNA helicase DDX11-like protein 8 OS=Homo sapiens OX=9606 GN=DDX11L8 PE=1 SV=1;sp|Q92771|DDX12_HUMAN Putative ATP-dependent RNA helicase DDX12 OS=Homo sapiens OX=9606 GN=DDX12P PE=5 SV=3;sp|Q96FC9|DDX11_HUMAN AT	3	1	1	1	1.3	1.3	1.3	101.81	907	907;950;970	0.0079681	5.8096	152420000	0				19	5004	True	5071	5918	6925	6925		
P62308;A8MWD9	P62308;A8MWD9	1;1	1;1	1;1	Small nuclear ribonucleoprotein G;Putative small nuclear ribonucleoprotein G-like protein 15	SNRPG;SNRPGP15	sp|P62308|RUXG_HUMAN Small nuclear ribonucleoprotein G OS=Homo sapiens OX=9606 GN=SNRPG PE=1 SV=1;sp|A8MWD9|RUXGL_HUMAN Putative small nuclear ribonucleoprotein G-like protein 15 OS=Homo sapiens OX=9606 GN=SNRPGP15 PE=5 SV=2	2	1	1	1	15.8	15.8	15.8	8.496	76	76;76	0.0020259	6.4766	135050000	2				20	4191	True	4248	4920;4921	5732;5733	5733	7	69
A8MXV4	A8MXV4	3	3	3	Nucleoside diphosphate-linked moiety X motif 19, mitochondrial	NUDT19	sp|A8MXV4|NUD19_HUMAN Acyl-coenzyme A diphosphatase NUDT19 OS=Homo sapiens OX=9606 GN=NUDT19 PE=1 SV=1	1	3	3	3	10.1	10.1	10.1	42.233	375	375	0	19.313	8441000	3				21	2124;4645;5789	True;True;True	2157;4707;5868	2509;5482;6873	2906;6407;8048	2906;6407;8048		
B3KNS4	B3KNS4	1	1	1		hCG_2043597	tr|B3KNS4|B3KNS4_HUMAN Endogenous retrovirus group K3 member 1 OS=Homo sapiens OX=9606 GN=ERVK3-1 PE=1 SV=1	1	1	1	1	12.8	12.8	12.8	11.601	109	109	0.0048726	5.9841	6743300	0				22	1806	True	1836	2124	2454	2454		
Q99613;B5ME19	Q99613;B5ME19	9;9	9;9	9;9	Eukaryotic translation initiation factor 3 subunit C;Eukaryotic translation initiation factor 3 subunit C-like protein	EIF3C;EIF3CL	sp|Q99613|EIF3C_HUMAN Eukaryotic translation initiation factor 3 subunit C OS=Homo sapiens OX=9606 GN=EIF3C PE=1 SV=1;sp|B5ME19|EIFCL_HUMAN Eukaryotic translation initiation factor 3 subunit C-like protein OS=Homo sapiens OX=9606 GN=EIF3CL PE=1 SV=1	2	9	9	9	13.7	13.7	13.7	105.34	913	913;914	0	71.906	132040000	9				23	1174;2653;3210;5093;7276;8359;9516;9749;10975	True;True;True;True;True;True;True;True;True	1188;2693;3254;5161;7365;8463;9641;9877;11121	1366;1367;3132;3763;6024;8581;9842;11201;11558;13002	1573;1574;3637;4360;7062;9992;11443;13023;13482;15154	1574;3637;4360;7062;9992;11443;13023;13482;15154	8;9;10;11	613;825;832;844
CON__Q3MHN5;CON__ENSEMBL:ENSBTAP00000018229	CON__Q3MHN5;CON__ENSEMBL:ENSBTAP00000018229	1;1	1;1	1;1			;	2	1	1	1	4.6	4.6	4.6	53.341	474	474;475	0.00087108	7.114	4320600	1			+	24	10741	True	10884	12708	14827	14827		
CON__ENSEMBL:ENSP00000377550;CON__P08730-1;CON__P13646-1;P13646;CON__Q2M2I5;CON__P02535-1;CON__P13645;Q2M2I5;P13645	CON__ENSEMBL:ENSP00000377550;CON__P08730-1;CON__P13646-1;P13646;CON__Q2M2I5;CON__P02535-1;CON__P13645;Q2M2I5;P13645	2;2;2;2;1;1;1;1;1	1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1	Keratin, type I cytoskeletal 13;Keratin, type I cytoskeletal 24;Keratin, type I cytoskeletal 10	KRT13;KRT24;KRT10	;;;sp|P13646|K1C13_HUMAN Keratin, type I cytoskeletal 13 OS=Homo sapiens OX=9606 GN=KRT13 PE=1 SV=4;;;;sp|Q2M2I5|K1C24_HUMAN Keratin, type I cytoskeletal 24 OS=Homo sapiens OX=9606 GN=KRT24 PE=1 SV=1;sp|P13645|K1C10_HUMAN Keratin, type I cytoskeletal 10 OS	9	2	1	1	6.4	2.6	2.6	45.771	420	420;437;458;458;525;570;593;525;584	0.0020483	6.5669	8867200	1			+	25	8401;9713	True;False	8506;9841	9888;11515	11495;13425	11495;13425	12	341
CON__O43790;CON__Q6NT21;CON__P78385;CON__Q14533;O43790;P78385;Q14533;CON__P78386;CON__Q9NSB4;CON__Q9NSB2;CON__Q6ISB0;A6NCN2;P78386;Q9NSB4;Q9NSB2	CON__O43790;CON__Q6NT21;CON__P78385;CON__Q14533;O43790;P78385;Q14533;CON__P78386;CON__Q9NSB4;CON__Q9NSB2;CON__Q6ISB0;A6NCN2;P78386;Q9NSB4;Q9NSB2	2;2;2;2;2;2;2;1;1;1;1;1;1;1;1	2;2;2;2;2;2;2;1;1;1;1;1;1;1;1	2;2;2;2;2;2;2;1;1;1;1;1;1;1;1	Keratin, type II cuticular Hb6;Keratin, type II cuticular Hb3;Keratin, type II cuticular Hb1;Putative keratin-87 protein;Keratin, type II cuticular Hb5;Keratin, type II cuticular Hb2;Keratin, type II cuticular Hb4	KRT86;KRT83;KRT81;KRT87P;KRT85;KRT82;KRT84	;;;;sp|O43790|KRT86_HUMAN Keratin, type II cuticular Hb6 OS=Homo sapiens OX=9606 GN=KRT86 PE=1 SV=1;sp|P78385|KRT83_HUMAN Keratin, type II cuticular Hb3 OS=Homo sapiens OX=9606 GN=KRT83 PE=1 SV=2;sp|Q14533|KRT81_HUMAN Keratin, type II cuticular Hb1 OS=Homo	15	2	2	2	6.4	6.4	6.4	53.5	486	486;493;493;505;486;493;505;507;513;600;600;255;507;513;600	0	14.321	14946000	3			+	26	5924;6155	True;True	6004;6236	7034;7035;7304	8240;8241;8546	8240;8546		
CON__P00761	CON__P00761	2	2	2				1	2	2	2	17.3	17.3	17.3	24.409	231	231	0	34.088	534340000	3			+	27	5076;6129	True;True	5143;5144;6209	6000;6001;7272;7273	7034;7035;8509;8510	7035;8510	13	94
CON__P02768-1;P02768	CON__P02768-1;P02768	3;3	1;1	1;1	Serum albumin	ALB	;sp|P02768|ALBU_HUMAN Albumin OS=Homo sapiens OX=9606 GN=ALB PE=1 SV=2	2	3	1	1	4.6	2.1	2.1	69.366	609	609;609	0.003443	6.0935	0	1			+	28	1985;5719;10734	True;False;False	2018;5798;10877	2333;6790;12701	2694;7951;14820	2694;7951;14820	14	353
CON__P02769	CON__P02769	18	18	16				1	18	18	16	34.9	34.9	32.5	69.293	607	607	0	128.25	404350000	21			+	29	1159;1176;1242;4154;4642;4674;4693;5719;6094;6135;7037;7341;8501;8502;8508;8972;9996;10734	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1172;1190;1259;4211;4704;4736;4755;5798;6174;6215;7122;7433;7434;8606;8607;8613;9088;10128;10877	1347;1369;1459;4881;5476;5518;5539;5540;6790;7234;7280;8302;8655;8656;8657;10005;10006;10013;10568;11839;11840;12701	1549;1550;1551;1576;1684;5685;6398;6452;6475;6476;6477;7951;8466;8518;9682;10070;10071;10072;11623;11624;11632;11633;12274;13804;13805;14820	1551;1576;1684;5685;6398;6452;6475;7951;8466;8518;9682;10070;11623;11624;11633;12274;13804;14820	15;16	469;571
CON__P04264;P04264;CON__ENSEMBL:ENSBTAP00000038253;CON__Q9R0H5;CON__Q6NXH9;CON__Q6IFZ6;CON__Q7Z794;CON__P35908v2;CON__P35908;P04259;Q7Z794;P35908	CON__P04264;P04264	7;7;2;1;1;1;1;1;1;1;1;1	7;7;2;1;1;1;1;1;1;1;1;1	7;7;2;1;1;1;1;1;1;1;1;1	Keratin, type II cytoskeletal 1	KRT1	;sp|P04264|K2C1_HUMAN Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6	12	7	7	7	13.7	13.7	13.7	66.017	644	644;644;606;524;539;572;578;639;645;564;578;639	0	73.649	102790000	10			+	30	3351;5773;6525;8276;9005;9600;11203	True;True;True;True;True;True;True	3398;5852;6606;8380;9121;9726;11352	3931;6854;6855;7726;9746;10603;11369;13257	4564;8024;8025;9029;11332;12313;13246;13247;15440;15441	4564;8024;9029;11332;12313;13247;15440		
P05787;CON__P05787;CON__H-INV:HIT000292931	P05787;CON__P05787;CON__H-INV:HIT000292931	6;6;4	6;6;4	6;6;4	Keratin, type II cytoskeletal 8	KRT8	sp|P05787|K2C8_HUMAN Keratin, type II cytoskeletal 8 OS=Homo sapiens OX=9606 GN=KRT8 PE=1 SV=7;;	3	6	6	6	22.4	22.4	22.4	53.704	483	483;483;443	0	63.296	316800000	6			+	31	865;5927;5974;8933;9075;9955	True;True;True;True;True;True	874;6007;6054;9049;9193;10086	1017;7038;7094;10519;10520;10688;11789	1172;8245;8309;12216;12217;12406;13743	1172;8245;8309;12216;12406;13743	17;18;19;20	136;139;168;256
CON__P08727;P08727;CON__P19001;CON__Q9QWL7;CON__Q6IFX2;CON__A2A4G1;CON__P02533;CON__P08779;P02533;P08779	CON__P08727;P08727	12;11;1;1;1;1;1;1;1;1	12;11;1;1;1;1;1;1;1;1	11;10;0;1;1;0;1;1;1;1	Keratin, type I cytoskeletal 19	KRT19	;sp|P08727|K1C19_HUMAN Keratin, type I cytoskeletal 19 OS=Homo sapiens OX=9606 GN=KRT19 PE=1 SV=4	10	12	12	11	47	47	43	44.091	400	400;400;403;433;452;456;472;473;472;473	0	135.32	384000000	15			+	32	71;1152;2091;3269;3596;4302;7373;8395;8984;9469;9470;9713	True;True;True;True;True;True;True;True;True;True;True;True	72;1164;2124;3313;3645;4360;7469;8500;9100;9593;9594;9841	83;1338;2460;3834;4218;5046;8694;9881;10580;11147;11148;11515	101;102;103;1540;2842;2843;4450;4902;5872;5873;10114;11488;12286;12956;12957;13425	102;1540;2843;4450;4902;5873;10114;11488;12286;12956;12957;13425	12;21;22	177;202;316
CON__Q3KNV1;CON__P08729;P08729;CON__Q14CN4-1;Q14CN4	CON__Q3KNV1;CON__P08729;P08729	9;9;9;1;1	9;9;9;1;1	8;8;8;0;0	Keratin, type II cytoskeletal 7	KRT7	;;sp|P08729|K2C7_HUMAN Keratin, type II cytoskeletal 7 OS=Homo sapiens OX=9606 GN=KRT7 PE=1 SV=5	5	9	9	8	22.2	22.2	19.8	51.385	469	469;469;469;511;511	0	323.31	823370000	12			+	33	480;3064;6597;8021;8022;8866;8928;9397;10129	True;True;True;True;True;True;True;True;True	485;3108;6680;8123;8124;8981;9044;9521;10261	556;3588;3589;7812;7813;9454;9455;10439;10513;11061;11991	651;4147;4148;9135;9136;9137;11002;11003;12112;12208;12209;12852;13986	651;4147;9137;11002;11003;12112;12208;12852;13986		
CON__P12763	CON__P12763	2	2	2				1	2	2	2	10.3	10.3	10.3	38.418	359	359	0	14.852	103350000	3			+	34	2781;9802	True;True	2822;9930	3270;3271;11619	3786;3787;13549	3786;13549		
CON__P35527;P35527	CON__P35527;P35527	2;2	2;2	2;2	Keratin, type I cytoskeletal 9	KRT9	;sp|P35527|K1C9_HUMAN Keratin, type I cytoskeletal 9 OS=Homo sapiens OX=9606 GN=KRT9 PE=1 SV=3	2	2	2	2	7.7	7.7	7.7	62.129	623	623;623	0	15.205	15342000	3			+	35	2497;7965	True;True	2536;8067	2942;9391	3412;10925;10926	3412;10926		
CON__Q29443;CON__Q0IIK2	CON__Q29443;CON__Q0IIK2	6;6	6;6	6;6			;	2	6	6	6	13.7	13.7	13.7	75.829	685	685;704	0	41.038	45390000	7			+	36	1843;2265;3167;3766;4716;10033	True;True;True;True;True;True	1874;2299;3211;3816;4778;10165	2167;2662;2663;3701;4420;5575;11885	2503;3077;3078;4279;5141;6529;13858	2503;3078;4279;5141;6529;13858	23	392
CON__Q2YDI2;O43929	CON__Q2YDI2;O43929	1;1	1;1	1;1	Origin recognition complex subunit 4	ORC4	;sp|O43929|ORC4_HUMAN Origin recognition complex subunit 4 OS=Homo sapiens OX=9606 GN=ORC4 PE=1 SV=2	2	1	1	1	2.1	2.1	2.1	50.327	436	436;436	0.0034615	6.1162	2606800	1			+	37	5873	True	5953	6978	8175	8175		
CON__Q3SZV7	CON__Q3SZV7	1	1	1				1	1	1	1	3.5	3.5	3.5	52.295	460	460	0.00090253	7.6189	2527000	1			+	38	3437	True	3485	4025	4673	4673		
CON__Q3ZBD7	CON__Q3ZBD7	6	1	1				1	6	1	1	18.9	4.7	4.7	62.87	557	557	0.00091075	7.768	22320000	1			+	39	2377;3122;4927;5140;9568;10307	False;False;True;False;False;False	2415;3166;4992;5208;9693;10442	2800;3650;5830;6077;6078;11263;12198	3238;4217;6829;7130;7131;7132;13104;13105;14231;14232;14233	3238;4217;6829;7131;13105;14231	24;25;26	263;357;437
E9PAV3;Q9BZK3	E9PAV3	5;1	5;1	5;1	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	NACA	sp|E9PAV3|NACAM_HUMAN Nascent polypeptide-associated complex subunit alpha, muscle-specific form OS=Homo sapiens OX=9606 GN=NACA PE=1 SV=1	2	5	5	5	3.4	3.4	3.4	205.42	2078	2078;213	0	170.8	618360000	15				40	1449;4883;7596;7737;9098	True;True;True;True;True	1473;1474;4948;7696;7838;9216	1705;1706;5776;5777;8961;8962;9129;9130;10715;10716	1970;1971;6766;6767;10428;10429;10430;10431;10432;10622;10623;10624;10625;12442;12443;12444	1970;6766;10429;10623;12442	27;28;29	2048;2074;2078
E9PRG8	E9PRG8	1	1	1	Uncharacterized protein C11orf98	C11orf98	sp|E9PRG8|CK098_HUMAN Uncharacterized protein C11orf98 OS=Homo sapiens OX=9606 GN=C11orf98 PE=4 SV=2	1	1	1	1	10.6	10.6	10.6	14.234	123	123	0.0023678	6.3191	4767300	1				41	10922	True	11067	12936	15079	15079		
O00116	O00116	5	5	5	Alkyldihydroxyacetonephosphate synthase, peroxisomal	AGPS	sp|O00116|ADAS_HUMAN Alkyldihydroxyacetonephosphate synthase, peroxisomal OS=Homo sapiens OX=9606 GN=AGPS PE=1 SV=1	1	5	5	5	12	12	12	72.911	658	658	0	37.938	54189000	4				42	106;2909;3842;7616;11403	True;True;True;True;True	107;2951;3892;7716;11555	121;3409;4501;4502;8982;13487	143;3942;5232;5233;10452;15714	143;3942;5233;10452;15714	30;31	123;638
O00148	O00148	7	7	4	ATP-dependent RNA helicase DDX39A	DDX39A	sp|O00148|DX39A_HUMAN ATP-dependent RNA helicase DDX39A OS=Homo sapiens OX=9606 GN=DDX39A PE=1 SV=2	1	7	7	4	28.8	28.8	15.7	49.129	427	427	0	62.437	152730000	7				43	469;3237;3400;4060;5170;10654;10830	True;True;True;True;True;True;True	474;3281;3447;4117;5238;10793;10973	544;3796;3797;3983;4772;6118;12596;12822	636;637;4399;4400;4621;5562;7177;7178;14702;14951	637;4400;4621;5562;7178;14702;14951	32;33;34	242;246;363
O00151	O00151	9	9	9	PDZ and LIM domain protein 1	PDLIM1	sp|O00151|PDLI1_HUMAN PDZ and LIM domain protein 1 OS=Homo sapiens OX=9606 GN=PDLIM1 PE=1 SV=4	1	9	9	9	47.7	47.7	47.7	36.071	329	329	0	173.3	189300000	11				44	70;3709;3952;4670;8055;8398;8399;9951;10464	True;True;True;True;True;True;True;True;True	71;3759;4008;4732;8157;8503;8504;10082;10603	82;4356;4632;5512;9492;9884;9885;9886;11784;12384	100;5071;5393;6445;11047;11491;11492;11493;13735;14455;14456;14457	100;5071;5393;6445;11047;11491;11492;13735;14456	35	61
O00154	O00154	5	5	5	Cytosolic acyl coenzyme A thioester hydrolase	ACOT7	sp|O00154|BACH_HUMAN Cytosolic acyl coenzyme A thioester hydrolase OS=Homo sapiens OX=9606 GN=ACOT7 PE=1 SV=3	1	5	5	5	21.8	21.8	21.8	41.796	380	380	0	42.771	59678000	6				45	108;5192;7275;9048;9757	True;True;True;True;True	109;5260;7364;9165;9885	123;6142;8580;10658;11567;11568	145;7207;9991;12374;13491;13492;13493	145;7207;9991;12374;13492	36;37;38	60;79;304
