Protein IDs	Peptide counts (razor+unique)	Protein names	Gene names	Number of proteins	Razor + unique peptides	Unique sequence coverage [%]	Sequence lengths	Score	Intensity	MS/MS count	id	Best MS/MS
P00935	1	Cystathionine gamma-synthase	metB	1	1	2.8	386	1.5428	584930	1	47	4
P00936	4	Adenylate cyclase	cyaA	1	4	5.1	848	6.0353	1166600	4	48	2143
P00944	5	Xylose isomerase	xylA	1	5	16.6	440	8.8314	2670600	6	49	12721
P00946	5	Mannose-6-phosphate isomerase	manA	1	5	19.7	391	12.428	5574200	6	50	16655
P00954	13	Tryptophan--tRNA ligase	trpS	1	13	56.9	334	83.867	102310000	21	51	1287
P00956	40	Isoleucine--tRNA ligase	ileS	1	40	65.8	938	259.37	355730000	70	52	1608
P00957	43	Alanine--tRNA ligase	alaS	1	43	62.7	876	227.79	354480000	80	53	1033
P00959	28	Methionine--tRNA ligase	metG	1	28	49.5	677	173.65	150170000	44	54	610
P00960	7	Glycine--tRNA ligase alpha subunit	glyQ	1	7	35.0	303	31.559	61686000	18	55	173
P00961	44	Glycine--tRNA ligase beta subunit	glyS	1	44	65.3	689	216.71	423110000	88	56	3414
P00962	21	Glutamine--tRNA ligase	glnS	1	21	52.2	554	117.38	129420000	36	57	2156
P00963	3	Aspartate--ammonia ligase	asnA	1	3	12.7	330	8.7528	4656900	4	58	1987
P00968	17	Carbamoyl-phosphate synthase large chain	carB	1	17	22.9	1073	50.271	17291000	21	59	1754
P02358	5	30S ribosomal protein S6;30S ribosomal protein S6, fully modified isoform;30S ribosomal protein S6, non-modified isoform	rpsF	1	5	44.4	135	32.628	44336000	5	60	1379
P02359	17	30S ribosomal protein S7	rpsG	1	17	60.9	179	156.08	1571700000	66	61	8063
P02413	6	50S ribosomal protein L15	rplO	1	6	50.7	144	30.105	311490000	37	62	181
P02916	5	Maltose transport system permease protein MalF	malF	1	5	15.6	514	7.8844	5847000	5	63	2514
P02918	6	Penicillin-binding protein 1A;Penicillin-insensitive transglycosylase;Penicillin-sensitive transpeptidase	mrcA	1	6	10.8	850	22.149	3985800	7	64	332
P02919	11	Penicillin-binding protein 1B;Penicillin-insensitive transglycosylase;Penicillin-sensitive transpeptidase	mrcB	1	11	16.6	844	30.073	16223000	13	65	2269
P02924	7	L-arabinose-binding periplasmic protein	araF	1	7	31.6	329	21.833	7792600	8	66	25
P02925	16	D-ribose-binding periplasmic protein	rbsB	1	16	69.6	296	132.97	296980000	51	67	5467
P02930	17	Outer membrane protein TolC	tolC	1	17	58.2	493	139.2	118130000	27	68	2649
P02931	3	Outer membrane protein F	ompF	1	3	11.3	362	4.9366	1534800	3	69	3214
P02943	6	Maltoporin	lamB	1	6	24.0	446	58.952	12921000	6	70	4279
P03004	11	Chromosomal replication initiator protein DnaA	dnaA	1	11	30.6	467	32.133	16040000	14	71	1625
P03007	1	DNA polymerase III subunit epsilon	dnaQ	1	1	3.7	243	1.688	504510	1	72	29005
P03018	11	DNA helicase II	uvrD	1	11	19.3	720	23.338	7994300	11	73	1191
P03023	4	Lactose operon repressor	lacI	1	4	12.2	360	9.0695	2664000	4	74	10488
P03024	1	HTH-type transcriptional regulator GalR	galR	1	1	5.0	343	1.5333	557160	1	75	11865
P03813	3	Uncharacterized protein YgeA	ygeA	1	3	20.4	230	6.4853	2833300	3	76	3626
P03819	3	Glutathione-regulated potassium-efflux system protein KefC	kefC	1	3	5.3	620	4.982	1405500	3	77	6129
P03841	4	Maltose operon periplasmic protein	malM	1	4	26.5	306	7.6444	5288100	4	78	4711
P04079	28	GMP synthase [glutamine-hydrolyzing]	guaA	1	28	59.4	525	178.08	232060000	51	79	447
P04335	15	Esterase FrsA	frsA	1	15	42.8	414	37.319	30405000	20	80	425
P04395	3	DNA-3-methyladenine glycosylase 2	alkA	1	3	12.8	282	3.7565	14590000	4	81	3319
P04425	10	Glutathione synthetase	gshB	1	10	43.4	316	42.575	33351000	20	82	5084
P04693	11	Aromatic-amino-acid aminotransferase	tyrB	1	11	36.8	397	30.681	14330000	10	83	1422
P04805	18	Glutamate--tRNA ligase	gltX	1	18	51.0	471	102.52	193490000	32	84	1744
P04825	33	Aminopeptidase N	pepN	1	33	54.5	870	233.4	342720000	65	85	2411
P04846	6	Lipoprotein 28	nlpA	1	6	29.4	272	18.204	11006000	8	86	93
P04951	9	3-deoxy-manno-octulosonate cytidylyltransferase	kdsB	1	9	53.2	248	21.949	19592000	11	87	3155
P04968	8	L-threonine dehydratase biosynthetic IlvA	ilvA	1	8	24.3	514	22.849	4533600	7	88	576
P04983	28	Ribose import ATP-binding protein RbsA	rbsA	1	28	72.1	501	147.09	161910000	52	89	488
P04993	2	RecBCD enzyme subunit RecD	recD	1	2	4.3	608	1.783	933810	2	90	24279
P04994	7	Exodeoxyribonuclease 7 large subunit	xseA	1	7	22.6	456	11.222	5647700	8	91	2459
P04995	3	Exodeoxyribonuclease I	sbcB	1	3	10.1	475	5.1561	1565800	3	92	443
P05020	4	Dihydroorotase	pyrC	1	4	18.7	348	12.28	3943900	4	93	9588
P05041	4	Aminodeoxychorismate synthase component 1	pabB	1	4	11.5	453	9.3404	2017000	4	94	2421
P05042	6	Fumarate hydratase class II	fumC	1	6	17.1	467	19.745	7556100	7	95	11311
P05055	31	Polyribonucleotide nucleotidyltransferase	pnp	1	31	57.8	711	205.98	366690000	85	96	360
P05194	4	3-dehydroquinate dehydratase	aroD	1	4	24.2	252	13.333	3415200	6	97	2682
P05458	17	Protease 3	ptrA	1	17	27.1	962	45.792	18793000	19	98	23
P05459	17	Erythronate-4-phosphate dehydrogenase	pdxB	1	17	56.6	378	72.622	69447000	27	99	508
P05523	2	Formamidopyrimidine-DNA glycosylase	mutM	1	2	7.8	269	3.1446	1330400	2	100	17795
P05637	3	Bis(5-nucleosyl)-tetraphosphatase [symmetrical]	apaH	1	3	11.4	280	9.506	3406200	4	101	5013
P05707	3	Sorbitol-6-phosphate 2-dehydrogenase	srlD	1	3	13.1	259	3.6978	3267400	3	102	102
P05791	7	Dihydroxy-acid dehydratase	ilvD	1	7	13.3	616	26.929	10340000	7	103	426
P05793	10	Ketol-acid reductoisomerase	ilvC	1	10	27.3	491	41.182	26525000	12	104	1269
P05804	18	Beta-glucuronidase	uidA	1	18	49.9	603	164.93	97947000	32	105	1430
P05852	5	tRNA N6-adenosine threonylcarbamoyltransferase	tsaD	1	5	19.6	337	12.081	8368800	6	106	838
P06129	4	Vitamin B12 transporter BtuB	btuB	1	4	13.5	614	15.967	3824800	5	107	10881
P06149	25	D-lactate dehydrogenase	dld	1	25	56.2	571	121.4	71572000	38	108	870
P06282	4	CDP-diacylglycerol pyrophosphatase	cdh	1	4	27.1	251	7.5356	3713800	5	109	2677
P06610	3	Vitamin B12 transport periplasmic protein BtuE	btuE	1	3	26.2	183	17.667	10146000	5	110	2444
P06612	28	DNA topoisomerase 1	topA	1	28	45.4	865	132.18	113660000	34	111	497
P06616	2	GTPase Era	era	1	2	8.3	301	7.4351	3038400	2	112	2468
P06709	4	Bifunctional ligase/repressor BirA	birA	1	4	17.1	321	7.1462	3285600	3	113	11209
P06710	11	DNA polymerase III subunit tau	dnaX	1	11	18.2	643	16.008	8425200	12	114	2032
P06715	15	Glutathione reductase	gor	1	15	48.4	450	93.307	91972000	21	115	4076
P06720	20	Alpha-galactosidase	melA	1	20	58.8	451	211.69	269430000	49	116	3504
P06721	3	Cystathionine beta-lyase MetC	metC	1	3	9.9	395	8.839	3715900	3	117	2330
P06846	4	HTH-type transcriptional regulator EbgR	ebgR	1	4	15.9	327	13.096	3828200	4	118	1999
P06959	34	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex	aceF	1	34	62.7	630	306.55	768590000	118	119	603
P06961	12	Multifunctional CCA protein;CCA-adding enzyme;2-nucleotidase;2,3-cyclic phosphodiesterase;Phosphatase	cca	1	12	33.7	412	29.243	10415000	15	120	3348
P06966	3	HTH-type transcriptional regulator DicA	dicA	1	3	31.1	135	6.5642	3824600	3	121	6532
P06986	7	Histidinol-phosphate aminotransferase	hisC	1	7	26.1	356	19.876	9357500	8	122	823
P06987	10	Histidine biosynthesis bifunctional protein HisB;Histidinol-phosphatase;Imidazoleglycerol-phosphate dehydratase	hisB	1	10	41.4	355	46.516	24501000	15	123	665
P06992	6	Ribosomal RNA small subunit methyltransferase A	rsmA	1	6	36.3	273	34.397	19299000	10	124	741
P06996	25;2;1;1;1	Outer membrane protein C	ompC	5	25	76.8	367;377;96;161;365	201.05	227810000	48	125	2578
P06999	13	ATP-dependent 6-phosphofructokinase isozyme 2	pfkB	1	13	64.7	309	82.928	56706000	14	126	1404
P07000	5	Lysophospholipase L2	pldB	1	5	20.9	340	13.996	4420700	5	127	1993
P07001	11	NAD(P) transhydrogenase subunit alpha	pntA	1	11	25.9	510	67.087	68931000	20	128	728
P07003	24	Pyruvate dehydrogenase [ubiquinone];Alpha-peptide	poxB	1	24	65.2	572	121.42	297190000	55	129	916
P07004	11	Gamma-glutamyl phosphate reductase	proA	1	11	37.4	417	88.34	46908000	17	130	2129
P07012	15	Peptide chain release factor 2	prfB	1	15	47.7	365	86.383	63574000	20	131	7164
P07013	1	Primosomal replication protein n	priB	1	1	9.6	104	1.9001	530570	1	132	24656
P07014	20	Succinate dehydrogenase iron-sulfur subunit	sdhB	1	20	86.6	238	111.01	278430000	58	133	3566
P07023	4	T-protein;Chorismate mutase;Prephenate dehydrogenase	tyrA	1	4	11.0	373	4.799	782320	4	134	1915
P07024	20	Protein UshA;UDP-sugar hydrolase;5-nucleotidase	ushA	1	20	58.0	550	116.53	77726000	30	135	5060
P07102	15	Periplasmic AppA protein;Phosphoanhydride phosphohydrolase;4-phytase	appA	1	15	49.8	432	119.62	39828000	17	136	1093
P07109	2	Histidine transport ATP-binding protein HisP	hisP	1	2	15.6	257	2.6367	806540	2	137	1715
P07117	3	Sodium/proline symporter	putP	1	3	9.6	502	7.3813	2716500	3	138	7608
P07118	44	Valine--tRNA ligase	valS	1	44	54.8	951	249.68	252640000	72	139	584
P07395	30	Phenylalanine--tRNA ligase beta subunit	pheT	1	30	57.0	795	162.51	179370000	47	140	456
P07604	14	Transcriptional regulatory protein TyrR	tyrR	1	14	34.9	513	33.628	24729000	14	141	1158
P07639	11	3-dehydroquinate synthase	aroB	1	11	50.0	362	61.711	29070000	11	142	1187
P07649	1	tRNA pseudouridine synthase A	truA	1	1	4.8	270	1.4783	755210	2	143	11037
P07650	16	Thymidine phosphorylase	deoA	1	16	47.7	440	50.964	37650000	22	144	2417
P07762	11	1,4-alpha-glucan branching enzyme GlgB	glgB	1	11	14.7	728	25.453	16695000	12	145	4515
P07813	43	Leucine--tRNA ligase	leuS	1	43	57.4	860	309.61	544950000	111	146	85
P07862	6	D-alanine--D-alanine ligase B	ddlB	1	6	28.8	306	21.958	9014700	8	147	6014
P07913	10	L-threonine 3-dehydrogenase	tdh	1	10	41.1	341	78.189	83701000	15	148	6795
P08142	5	Acetolactate synthase isozyme 1 large subunit	ilvB	1	5	12.3	562	25.693	8806800	8	149	800
P08178	2	Phosphoribosylformylglycinamidine cyclo-ligase	purM	1	2	12.8	345	1.5373	1775100	2	150	13222
P08179	1	Phosphoribosylglycinamide formyltransferase	purN	1	1	7.1	212	4.4588	671700	1	151	28709
P08192	11	Bifunctional protein FolC;Folylpolyglutamate synthase;Dihydrofolate synthase	folC	1	11	42.4	422	43.296	20202000	14	152	2722
P08194	3	Glycerol-3-phosphate transporter	glpT	1	3	11.9	452	3.032	4196300	4	153	5125
P08200	23	Isocitrate dehydrogenase [NADP]	icd	1	23	59.9	416	145.92	821590000	86	154	186
P08201	24	Nitrite reductase (NADH) large subunit	nirB	1	24	38.5	847	79.372	44074000	27	155	1252
P08244	6	Orotidine 5-phosphate decarboxylase	pyrF	1	6	30.6	245	15.215	7538800	7	156	3557
P08245	2	Uncharacterized protein YciH	yciH	1	2	18.5	108	2.6072	3052500	2	157	4276
P08312	17	Phenylalanine--tRNA ligase alpha subunit	pheS	1	17	64.2	327	62.153	73865000	30	158	196
P08331	16	2,3-cyclic-nucleotide 2-phosphodiesterase/3-nucleotidase	cpdB	1	16	35.5	647	106.99	41638000	20	159	1026
P08368	1	Transcriptional regulatory protein CreB	creB	1	1	5.7	229	2.411	692700	1	160	1578
P08373	6	UDP-N-acetylenolpyruvoylglucosamine reductase	murB	1	6	22.5	342	14.016	4190300	6	161	1933
P08390	1	USG-1 protein	usg	1	1	10.7	337	26.204	2088400	1	162	3721
P08394	1	RecBCD enzyme subunit RecB	recB	1	1	1.4	1180	4.7426	553110	1	163	3797
P08395	4	Protease 4	sppA	1	4	7.6	618	7.257	1477000	4	164	1615
P08506	17	D-alanyl-D-alanine carboxypeptidase DacC	dacC	1	17	62.0	400	80.263	118160000	31	165	1858
P08622	14	Chaperone protein DnaJ	dnaJ	1	14	44.7	376	89.677	108240000	31	166	5662
P08660	2	Lysine-sensitive aspartokinase 3	lysC	1	2	6.7	449	5.0587	1539600	3	167	9733
P08839	33	Phosphoenolpyruvate-protein phosphotransferase	ptsI	1	33	66.4	575	282.84	507270000	85	168	829
P08997	26	Malate synthase A	aceB	1	26	68.9	533	269.45	1831600000	140	169	2938
P09030	7	Exodeoxyribonuclease III	xthA	1	7	32.8	268	19.154	13990000	9	170	2669
P09053	6	Valine--pyruvate aminotransferase	avtA	1	6	17.3	417	15.675	4778800	7	171	2828
P09099	2	Xylulose kinase	xylB	1	2	4.5	484	1.5477	482680	2	172	1826
P09126	4	Uroporphyrinogen-III synthase	hemD	1	4	20.3	246	14.296	4442400	5	173	6571
P09127	3	Putative uroporphyrinogen-III C-methyltransferase	hemX	1	3	9.2	393	5.9365	1595700	3	174	5642
P09147	12	UDP-glucose 4-epimerase	galE	1	12	57.7	338	67.773	27170000	16	175	435
P09148	20	Galactose-1-phosphate uridylyltransferase	galT	1	20	66.4	348	139.79	265150000	49	176	3311
P09152	40	Respiratory nitrate reductase 1 alpha chain	narG	1	40	41.5	1247	236.62	241220000	66	177	36
P09155	2	Ribonuclease D	rnd	1	2	6.1	375	3.4796	1705800	2	178	21823
P09158	6	Polyamine aminopropyltransferase	speE	1	6	33.0	288	39.705	44343000	12	179	3578
P09169	20	Protease 7	ompT	1	20	70.0	317	47.406	57479000	28	180	3963
P09323	9	PTS system N-acetylglucosamine-specific EIICBA component;N-acetylglucosamine permease IIC component;N-acetylglucosamine-specific phosphotransferase enzyme IIB component;N-acetylglucosamine-specific phosphotransferase enzyme IIA component	nagE	1	9	24.1	648	77.11	46207000	12	181	1433
P09372	2	Protein GrpE	grpE	1	2	23.9	197	5.7419	5244900	3	182	25959
P09373	50	Formate acetyltransferase 1	pflB	1	50	75.9	760	323.31	2166100000	192	183	956
P09391	1	Rhomboid protease GlpG	glpG	1	1	3.3	276	1.578	726810	1	184	8216
P09424	20	Mannitol-1-phosphate 5-dehydrogenase	mtlD	1	20	61.5	382	149.94	160230000	51	185	1849
P09546	45	Bifunctional protein PutA;Proline dehydrogenase;Delta-1-pyrroline-5-carboxylate dehydrogenase	putA	1	45	48.1	1320	244.34	256220000	68	186	235
P09549	3	Cell division protein DedD	dedD	1	3	26.4	220	11.143	2972100	3	187	966
P09551	17	Lysine/arginine/ornithine-binding periplasmic protein	argT	1	17	65.4	260	80.457	71472000	23	188	3629
P09831	34	Glutamate synthase [NADPH] large chain	gltB	1	34	31.4	1486	121.27	44487000	37	189	3512
P09832	9;1	Glutamate synthase [NADPH] small chain	gltD	2	9	29.7	472;659	33.354	13765000	11	190	3609
P09980	7	ATP-dependent DNA helicase Rep	rep	1	7	14.0	673	23.205	4291900	8	191	261
P0A698	34	UvrABC system protein A	uvrA	1	34	54.0	940	252.67	101560000	46	192	21
P0A6A0	6	Probable protein kinase UbiB	ubiB	1	6	13.0	546	17.056	5472700	5	193	15334
P0A6A3	17	Acetate kinase	ackA	1	17	80.5	400	179.93	245430000	41	194	3636
P0A6A8	2	Acyl carrier protein	acpP	1	2	33.3	78	19.722	4479700	4	195	13982
P0A6B7	9	Cysteine desulfurase IscS	iscS	1	9	30.4	404	34.345	29099000	9	196	1841
P0A6C1	5	Endonuclease 4	nfo	1	5	24.6	285	11.7	4924300	4	197	79
P0A6D0	2	Arginine repressor	argR	1	2	28.2	156	15.893	9971800	3	198	8600
P0A6D3	8	3-phosphoshikimate 1-carboxyvinyltransferase	aroA	1	8	23.0	427	18.072	10205000	10	199	7170
P0A6D7	8	Shikimate kinase 1	aroK	1	8	50.3	173	27.55	23892000	10	200	7373
P0A6E1	2	Shikimate kinase 2	aroL	1	2	32.8	174	4.5217	2265700	4	201	7259
P0A6E4	17	Argininosuccinate synthase	argG	1	17	56.6	447	64.661	44934000	19	202	4602
P0A6E6	4	ATP synthase epsilon chain	atpC	1	4	54.0	139	55.714	12928000	6	203	651
P0A6E9	5	ATP-dependent dethiobiotin synthetase BioD 2	bioD2	1	5	21.6	231	15.111	12906000	5	204	1929
P0A6F1	6	Carbamoyl-phosphate synthase small chain	carA	1	6	28.3	382	15.524	6025600	8	205	4708
P0A6F3	28	Glycerol kinase	glpK	1	28	65.3	502	196.08	317950000	58	206	512
P0A6F5	35	60 kDa chaperonin	groL	1	35	84.9	548	323.31	5804400000	351	207	363
P0A6F9	5	10 kDa chaperonin	groS	1	5	61.9	97	26.438	333700000	35	208	9474
P0A6G7	6	ATP-dependent Clp protease proteolytic subunit	clpP	1	6	36.2	207	55.115	138590000	18	209	7726
P0A6H1	18	ATP-dependent Clp protease ATP-binding subunit ClpX	clpX	1	18	61.1	424	56.702	61425000	25	210	2699
P0A6H5	26	ATP-dependent protease ATPase subunit HslU	hslU	1	26	65.5	443	103.49	184730000	50	211	1937
P0A6H8	5	Cardiolipin synthase A	clsA	1	5	15.6	486	16.2	9308200	5	212	845
P0A6I0	2	Cytidylate kinase	cmk	1	2	16.3	227	1.8548	2851900	2	213	3128
P0A6I3	8	Pantothenate kinase	coaA	1	8	37.3	316	21.466	8985700	8	214	5957
P0A6J3	2	Sulfate transporter CysZ	cysZ	1	2	9.5	253	3.0765	2188200	3	215	18020
P0A6J5	18	D-amino acid dehydrogenase	dadA	1	18	59.3	432	197.3	313410000	37	216	774
P0A6J8	14	D-alanine--D-alanine ligase A	ddlA	1	14	51.4	364	45.285	26634000	15	217	1431
P0A6K1	1	Diaminopimelate epimerase	dapF	1	1	5.8	274	2.2587	1786300	2	218	28565
P0A6K3	8	Peptide deformylase	def	1	8	46.2	169	18.985	23881000	10	219	13069
P0A6K6	18	Phosphopentomutase	deoB	1	18	58.7	407	85.564	84690000	26	220	2339
P0A6L0	8	Deoxyribose-phosphate aldolase	deoC	1	8	45.9	259	53.018	45244000	11	221	176
P0A6L2	7	4-hydroxy-tetrahydrodipicolinate synthase	dapA	1	7	32.5	292	27.536	39621000	8	222	1393
P0A6L4	5	N-acetylneuraminate lyase	nanA	1	5	25.9	297	20.328	6255400	6	223	1513
P0A6M2	4	Disulfide bond formation protein B	dsbB	1	4	29.0	176	9.2934	2364700	5	224	3507
P0A6M4	1	D-aminoacyl-tRNA deacylase	dtd	1	1	7.6	145	3.8317	2490600	1	225	621
P0A6M8	38	Elongation factor G	fusA	1	38	67.5	704	323.31	3055500000	247	226	971
P0A6N4	4	Elongation factor P	efp	1	4	21.8	188	12.248	135960000	10	227	3010
P0A6N8	4	Elongation factor P-like protein	yeiP	1	4	24.7	190	15.001	26127000	5	228	4402
P0A6P1	18	Elongation factor Ts	tsf	1	18	70.7	283	129.11	486700000	68	229	698
P0A6P5	16	GTPase Der	der	1	16	41.6	490	77.489	52628000	25	230	3798
P0A6P7	8	Probable GTP-binding protein EngB	engB	1	8	48.6	210	26.534	26872000	15	231	1829
P0A6P9	22	Enolase	eno	1	22	75.9	432	323.31	5837900000	209	232	165
P0A6Q3	9	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase	fabA	1	9	49.4	172	28.578	177250000	25	233	1843
P0A6Q6	8	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ	fabZ	1	8	55.6	151	28.067	88191000	12	234	8192
P0A6R0	11	3-oxoacyl-[acyl-carrier-protein] synthase 3	fabH	1	11	58.7	317	70.415	69551000	17	235	1476
P0A6R3	1	DNA-binding protein Fis	fis	1	1	23.5	98	11.988	11367000	1	236	28605
P0A6S7	10	Glycerol-3-phosphate dehydrogenase [NAD(P)+]	gpsA	1	10	55.2	339	103.7	77359000	14	237	3588
P0A6T1	31	Glucose-6-phosphate isomerase	pgi	1	31	62.5	549	208.73	734670000	106	238	1620
P0A6T5	3	GTP cyclohydrolase 1	folE	1	3	16.7	222	2.929	2890200	2	239	3893
P0A6U3	9	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG	mnmG	1	9	21.9	629	26.063	58648000	8	240	998
P0A6U8	12	Glycogen synthase	glgA	1	12	28.7	477	45.369	28289000	13	241	937
P0A6V1	11	Glucose-1-phosphate adenylyltransferase	glgC	1	11	39.0	431	101.24	42414000	13	242	810
P0A6V8	13	Glucokinase	glk	1	13	44.5	321	63.492	94336000	18	243	553
P0A6W5	4	Transcription elongation factor GreA	greA	1	4	30.4	158	7.5996	2478000	3	244	6132
P0A6W9	13	Glutamate--cysteine ligase	gshA	1	13	34.2	518	67.429	49637000	14	245	5826
P0A6X3	5	RNA-binding protein Hfq	hfq	1	5	29.4	102	9.4714	13730000	5	246	1661
P0A6X7	5	Integration host factor subunit alpha	ihfA	1	5	42.4	99	30.828	175800000	19	247	732
P0A6Y1	4	Integration host factor subunit beta	ihfB	1	4	45.7	94	20.485	83545000	18	248	6826
P0A6Y8	45	Chaperone protein DnaK	dnaK	1	45	71.3	638	323.31	864170000	135	249	1666
P0A6Z1	11	Chaperone protein HscA	hscA	1	11	28.6	616	19.9	11398000	10	250	1932
P0A6Z3	39	Chaperone protein HtpG	htpG	1	39	67.5	624	192.95	524050000	93	251	135
P0A6Z6	3	Nickel-responsive regulator	nikR	1	3	47.4	133	5.6787	2134300	3	252	9246
P0A705	43	Translation initiation factor IF-2	infB	1	43	58.2	890	311.14	561760000	85	253	240
P0A707	7	Translation initiation factor IF-3;Translation initiation factor IF-3, N-terminally processed;Translation initiation factor IF-3S	infC	1	7	52.2	180	84.285	350410000	40	254	647
P0A715	14	2-dehydro-3-deoxyphosphooctonate aldolase	kdsA	1	14	63.7	284	70.48	123530000	25	255	1197
P0A717	11	Ribose-phosphate pyrophosphokinase	prs	1	11	51.7	315	110.33	153690000	33	256	2390
P0A720	2	Thymidylate kinase	tmk	1	2	12.2	213	7.3746	1190600	2	257	23717
P0A722	3	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase	lpxA	1	3	17.6	262	35.876	23602000	7	258	926
P0A725	13	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase	lpxC	1	13	34.4	305	39.841	33300000	20	259	4422
P0A729	6	Maf-like protein YceF	yceF	1	6	47.4	194	32.947	31749000	13	260	11628
P0A731	3	Methylglyoxal synthase	mgsA	1	3	46.7	152	5.973	3393400	3	261	2861
P0A734	5	Cell division topological specificity factor	minE	1	5	52.3	88	10.709	6487300	5	262	1895
P0A742	3	Large-conductance mechanosensitive channel	mscL	1	3	20.6	136	8.4769	9410100	4	263	5825
P0A744	6	Peptide methionine sulfoxide reductase MsrA	msrA	1	6	59.9	212	15.795	17382000	6	264	7340
P0A749	10	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	murA	1	10	30.1	419	30.419	24245000	12	265	1820
P0A759	8	Glucosamine-6-phosphate deaminase	nagB	1	8	53.8	266	37.972	29531000	16	266	1566
P0A761	6	Putative N-acetylmannosamine-6-phosphate 2-epimerase	nanE	1	6	47.6	229	22.938	13166000	7	267	3361
P0A763	6	Nucleoside diphosphate kinase	ndk	1	6	78.3	143	52.881	64884000	9	268	595
P0A780	5	N utilization substance protein B	nusB	1	5	43.2	139	24.854	39897000	9	269	5201
P0A786	2	Aspartate carbamoyltransferase catalytic chain	pyrB	1	2	15.4	311	5.5408	2703900	2	270	15447
P0A794	8	Pyridoxine 5-phosphate synthase	pdxJ	1	8	46.9	243	42.372	15470000	9	271	343
P0A796	17	ATP-dependent 6-phosphofructokinase isozyme 1	pfkA	1	17	76.9	320	143.72	359000000	42	272	2982
P0A799	34	Phosphoglycerate kinase	pgk	1	34	87.3	387	323.31	10037000000	274	273	464
P0A7A2	6	Probable phosphoglycerate mutase GpmB	gpmB	1	6	31.2	215	11.457	4976900	5	274	6558
