Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	MS/MS count	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
P00561	P00561	21	21	21	Bifunctional aspartokinase/homoserine dehydrogenase 1;Aspartokinase;Homoserine dehydrogenase	thrA	sp|P00561|AK1H_ECOLI Bifunctional aspartokinase/homoserine dehydrogenase 1 OS=Escherichia coli (strain K12) OX=83333 GN=thrA PE=1 SV=2	1	21	21	21	33.5	33.5	33.5	89.119	820	820	0.0	68.905	33029000	20	31	922;1085;1913;2995;3464;3954;4009;4713;4936;6016;6258;6883;8397;10140;10621;11747;12504;12644;12648;13158;15143	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1029;1222;2134;3308;3830;4342;4399;5171;5411;6592;6850;7541;9136;11209;11729;12940;13766;13913;13918;14476;16655	1487;1777;3031;4579;5302;5960;6037;7051;7368;8997;9331;10307;12427;15439;16104;17683;18797;18994;19003;19787;22787	1936;2334;4014;6041;7002;7872;8005;9412;9813;12098;12099;12538;13940;16787;20834;21687;23756;25275;25545;25554;26665;30790	1936;2334;4014;6041;7002;7872;8005;9412;9813;12099;12538;13940;16787;20834;21687;23756;25275;25545;25554;26665;30790		
P00562	P00562	10	10	10	Bifunctional aspartokinase/homoserine dehydrogenase 2;Aspartokinase;Homoserine dehydrogenase	metL	sp|P00562|AK2H_ECOLI Bifunctional aspartokinase/homoserine dehydrogenase 2 OS=Escherichia coli (strain K12) OX=83333 GN=metL PE=1 SV=3	1	10	10	10	16.3	16.3	16.3	88.887	810	810	0.0	27.978	9743500	11	32	135;1259;2370;2704;6523;7730;8894;9247;9854;12757	True;True;True;True;True;True;True;True;True;True	152;1414;2635;2999;7144;8434;9684;10067;10887;14033	241;2035;2036;3681;4173;9764;11529;13170;13700;14964;19166	310;2644;2645;4849;5521;13163;15558;17764;18500;20185;25793	310;2644;4849;5521;13163;15558;17764;18500;20185;25793		
P00579	P00579	18	18	18	RNA polymerase sigma factor RpoD	rpoD	sp|P00579|RPOD_ECOLI RNA polymerase sigma factor RpoD OS=Escherichia coli (strain K12) OX=83333 GN=rpoD PE=1 SV=2	1	18	18	18	38.0	38.0	38.0	70.263	613	613	0.0	141.96	144800000	39	33	155;2960;3397;3414;3470;3481;4012;5165;6187;6719;8176;8844;9383;10562;10794;11183;11184;11682	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	173;3272;3742;3743;3773;3836;3837;3848;4402;4403;5667;5668;6774;7360;7361;8904;9632;10243;10244;11665;11666;11911;12331;12332;12872	267;4537;5156;5157;5158;5222;5223;5311;5312;5313;5314;5325;6040;6041;7705;7706;7707;9234;10068;10069;12103;13098;13099;13952;13953;16029;16030;16323;16877;16878;17590;17591	346;347;5990;6807;6808;6809;6900;6901;7012;7013;7014;7015;7016;7028;7029;8009;8010;8011;10262;10263;10264;12414;13625;13626;16316;17674;17675;17676;18827;18828;21593;21594;21985;22674;22675;22676;22677;23622;23623;23624	346;5990;6807;6901;7016;7029;8009;10264;12414;13625;16316;17675;18827;21593;21985;22674;22676;23622	57;58;59;60;61;62;63;64	1;105;273;379;413;456;507;567
P00582	P00582	40	40	40	DNA polymerase I	polA	sp|P00582|DPO1_ECOLI DNA polymerase I OS=Escherichia coli (strain K12) OX=83333 GN=polA PE=1 SV=1	1	40	40	40	57.3	57.3	57.3	103.12	928	928	0.0	272.21	147570000	57	34	83;84;580;581;621;849;1034;1214;1357;1618;2194;3510;3675;4951;4994;5137;5295;5803;6021;7086;7406;7834;8983;9294;9643;10101;10654;10765;11824;12132;12321;12390;12496;12852;13619;13826;14130;14601;14931;14983	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	93;94;95;644;645;692;946;1153;1154;1363;1519;1809;1810;2427;3880;4053;5429;5430;5476;5632;5814;5815;6364;6597;7755;8095;8546;9778;10116;10654;10655;11166;11764;11877;13022;13365;13569;13644;13757;14143;14984;15202;15550;16059;16416;16479	149;150;151;938;939;1001;1370;1371;1657;1658;1659;1960;2177;2178;2601;2602;3422;5369;5575;7395;7396;7397;7457;7660;7917;7918;7919;7920;8655;9004;10597;10598;11079;11670;11671;13288;13761;14632;14633;15382;16148;16281;17794;18257;18537;18538;18636;18779;19308;19309;20489;20490;20818;20819;21316;21317;21981;22475;22559	192;193;194;1244;1245;1323;1791;1792;1793;2162;2163;2164;2549;2817;2818;3452;3453;4522;7097;7339;9845;9846;9847;9926;10208;10552;10553;10554;10555;11565;12110;14319;14320;14948;15728;15729;17913;18580;19724;19725;20771;21757;21927;23903;24516;24917;24918;25048;25248;25249;25971;25972;27622;27623;28093;28094;28771;28772;29691;30384;30493	193;194;1244;1245;1323;1793;2163;2549;2817;3453;4522;7097;7339;9845;9926;10208;10552;11565;12110;14320;14948;15728;17913;18580;19724;20771;21757;21927;23903;24516;24917;25048;25249;25971;27623;28093;28771;29691;30384;30493	65;66;67;68;69;70	1;45;102;443;531;848
P00722	P00722	9	9	9	Beta-galactosidase	lacZ	sp|P00722|BGAL_ECOLI Beta-galactosidase OS=Escherichia coli (strain K12) OX=83333 GN=lacZ PE=1 SV=2	1	9	9	9	10.7	10.7	10.7	116.48	1024	1024	0.0	28.911	7420800	9	35	1147;2590;4583;6147;6148;6229;6335;8767;14038	True;True;True;True;True;True;True;True;True	1292;2873;5030;6732;6733;6820;6937;9550;15452	1864;4003;6869;9182;9183;9289;9465;12994;21190	2433;5281;9192;12350;12351;12486;12759;17544;28617	2433;5281;9192;12350;12351;12486;12759;17544;28617		
P00803	P00803	5	5	5	Signal peptidase I	lepB	sp|P00803|LEP_ECOLI Signal peptidase I OS=Escherichia coli (strain K12) OX=83333 GN=lepB PE=1 SV=2	1	5	5	5	26.5	26.5	26.5	35.96	324	324	0.0	32.114	20395000	8	36	3363;3869;10410;14977;15171	True;True;True;True;True	3699;4256;11496;16473;16684	5087;5088;5852;15815;22550;22818	6717;6718;7718;21335;30481;30482;30829;30830	6717;7718;21335;30482;30830		
P00805	P00805	16	16	16	L-asparaginase 2	ansB	sp|P00805|ASPG2_ECOLI L-asparaginase 2 OS=Escherichia coli (strain K12) OX=83333 GN=ansB PE=1 SV=2	1	16	16	16	69.8	69.8	69.8	36.85	348	348	0.0	142.86	164710000	30	37	1008;2403;4725;5545;6676;7229;7248;10373;12163;12196;12829;13552;13587;13849;14084;14764	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1123;2669;5184;5185;6082;6083;7315;7908;7927;11458;11459;13396;13435;14117;14909;14949;15226;15501;16237	1621;1622;3726;7066;7067;7068;7069;8259;8260;10015;10824;10847;10848;15769;15770;15771;15772;18297;18355;18356;19273;20389;20444;20850;21250;22242	2117;2118;2119;4915;9432;9433;9434;9435;10976;10977;13552;14627;14652;14653;21273;21274;21275;21276;24574;24575;24648;24649;25931;27484;27559;28136;28137;28138;28688;28689;30080	2118;4915;9435;10977;13552;14627;14652;21276;24574;24648;25931;27484;27559;28137;28688;30080	71;72;73	83;143;172
P00861	P00861	1	1	1	Diaminopimelate decarboxylase	lysA	sp|P00861|DCDA_ECOLI Diaminopimelate decarboxylase OS=Escherichia coli (strain K12) OX=83333 GN=lysA PE=1 SV=1	1	1	1	1	4.3	4.3	4.3	46.177	420	420	0.0	4.4534	663420	1	38	10312	True	11392	15674	21149	21149		
P00864	P00864	47	47	47	Phosphoenolpyruvate carboxylase	ppc	sp|P00864|CAPP_ECOLI Phosphoenolpyruvate carboxylase OS=Escherichia coli (strain K12) OX=83333 GN=ppc PE=1 SV=1	1	47	47	47	61.8	61.8	61.8	99.061	883	883	0.0	217.74	322220000	84	39	249;444;528;751;1022;1368;1485;1673;1792;1808;1995;2111;2627;3327;3431;3697;4358;4359;4654;4828;5929;5954;6621;8112;8361;8562;8582;8777;9506;9629;9942;10103;10104;10224;10542;10726;10905;11438;11439;12887;13430;13815;13816;14260;14402;14545;14887	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	275;490;582;838;1138;1530;1668;1871;2001;2002;2019;2220;2341;2912;3663;3794;4076;4779;4780;4781;5107;5296;6499;6527;7249;7250;8838;9100;9312;9341;9342;9561;10442;10630;10631;10982;11168;11169;11300;11642;11836;12028;12603;12604;14183;14775;15191;15192;15691;15692;15847;15998;16367	417;418;709;853;854;1218;1219;1639;2192;2416;2679;2838;2839;2864;2865;3135;3306;4053;5043;5253;5604;6517;6518;6519;6970;7218;7219;8852;8853;8890;9924;9925;12023;12387;12388;12665;12720;12721;12722;13009;14298;14299;14596;14597;15117;15384;15385;15386;15558;16001;16235;16236;16469;17235;17236;19356;19357;20185;20186;20803;20804;20805;21499;21500;21709;21911;22405	550;551;552;921;922;923;924;1135;1136;1590;1591;2138;2139;2833;3193;3551;3742;3743;3744;3776;3777;4142;4143;4373;5348;5349;6662;6663;6937;6938;7371;8710;8711;8712;9312;9628;9629;9630;11870;11871;11872;11926;11927;11928;13420;13421;16215;16735;16736;17109;17188;17189;17190;17562;17563;19286;19287;19684;19685;20418;20773;20774;20775;20776;20998;20999;21562;21870;21871;22161;22162;23150;23151;26030;26031;26032;27196;27197;28073;28074;28075;29017;29018;29019;29322;29604;30293	551;922;1136;1590;2139;2833;3193;3551;3743;3777;4143;4373;5348;6662;6938;7371;8710;8712;9312;9630;11871;11927;13420;16215;16735;17109;17188;17563;19286;19684;20418;20773;20775;20998;21562;21870;22162;23150;23151;26032;27197;28073;28074;29019;29322;29604;30293	74;75;76;77;78;79;80;81;82	1;151;249;324;551;616;657;727;753
P00887	P00887	5	5	5	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive	aroH	sp|P00887|AROH_ECOLI Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive OS=Escherichia coli (strain K12) OX=83333 GN=aroH PE=1 SV=4	1	5	5	5	24.1	24.1	24.1	38.735	348	348	0.0	12.568	7881800	5	40	6079;6242;7355;10717;15005	True;True;True;True;True	6659;6834;8041;11827;16504	9093;9311;10999;16226;22596	12231;12515;14854;21859;30540	12231;12515;14854;21859;30540		
P00895	P00895	3	3	3	Anthranilate synthase component 1	trpE	sp|P00895|TRPE_ECOLI Anthranilate synthase component 1 OS=Escherichia coli (strain K12) OX=83333 GN=trpE PE=1 SV=2	1	3	3	3	6.2	6.2	6.2	57.494	520	520	0.0	5.0715	1505400	3	41	487;7705;11831	True;True;True	537;8408;13029	781;11497;17803	1025;15517;23913	1025;15517;23913		
P00904	P00904	4	4	4	Bifunctional protein TrpGD;Anthranilate synthase component 2;Anthranilate phosphoribosyltransferase	trpGD	sp|P00904|TRPGD_ECOLI Bifunctional protein TrpGD OS=Escherichia coli (strain K12) OX=83333 GN=trpGD PE=1 SV=3	1	4	4	4	14.7	14.7	14.7	56.869	531	531	0.0	9.9728	2923400	4	42	7919;9303;9879;12240	True;True;True;True	8634;10125;10912;13479	11769;13773;15006;18409	15859;18596;20243;24727	15859;18596;20243;24727		
P00909	P00909	6	6	6	Tryptophan biosynthesis protein TrpCF;Indole-3-glycerol phosphate synthase;N-(5-phospho-ribosyl)anthranilate isomerase	trpC	sp|P00909|TRPC_ECOLI Tryptophan biosynthesis protein TrpCF OS=Escherichia coli (strain K12) OX=83333 GN=trpC PE=1 SV=4	1	6	6	6	16.6	16.6	16.6	49.492	453	453	0.0	13.683	3513800	5	43	1967;2735;5741;7377;8394;15151	True;True;True;True;True;True	2191;3032;6294;8065;9133;16663	3099;4216;8553;11033;12424;22795	4090;5577;11397;14893;16784;30800	4090;5577;11397;14893;16784;30800		
P00914	P00914	4	4	4	Deoxyribodipyrimidine photo-lyase	phrB	sp|P00914|PHR_ECOLI Deoxyribodipyrimidine photo-lyase OS=Escherichia coli (strain K12) OX=83333 GN=phrB PE=1 SV=1	1	4	4	4	9.1	9.1	9.1	53.666	472	472	0.0	8.2319	1965400	4	44	1980;3905;8900;14160	True;True;True;True	2204;4293;9690;15583	3117;5897;13177;21356	4113;7771;17775;28819	4113;7771;17775;28819		
P00926	P00926	10	10	10	D-serine dehydratase	dsdA	sp|P00926|SDHD_ECOLI D-serine dehydratase OS=Escherichia coli (strain K12) OX=83333 GN=dsdA PE=1 SV=3	1	10	10	10	37.1	37.1	37.1	47.9	442	442	0.0	61.207	14769000	8	45	136;434;2476;3658;3784;4871;6921;7136;8528;13296	True;True;True;True;True;True;True;True;True;True	153;480;2745;4036;4168;5342;7582;7810;9277;14629	242;696;3825;5556;5729;7284;10364;10675;12617;20004	311;905;5054;7318;7539;9709;14010;14407;17046;26961	311;905;5054;7318;7539;9709;14010;14407;17046;26961		
P00934	P00934	5	5	5	Threonine synthase	thrC	sp|P00934|THRC_ECOLI Threonine synthase OS=Escherichia coli (strain K12) OX=83333 GN=thrC PE=1 SV=1	1	5	5	5	22.0	22.0	22.0	47.113	428	428	0.0	18.153	6367700	5	46	39;245;3279;4060;6597	True;True;True;True;True	44;271;3614;4455;7223	73;409;4982;6103;9885	96;541;6575;8112;13361	96;541;6575;8112;13361		
P00935	P00935	1	1	1	Cystathionine gamma-synthase	metB	sp|P00935|METB_ECOLI Cystathionine gamma-synthase OS=Escherichia coli (strain K12) OX=83333 GN=metB PE=1 SV=1	1	1	1	1	2.8	2.8	2.8	41.55	386	386	0.0080506	1.5428	584930	1	47	3	True	3	4	4	4		
P00936	P00936	4	4	4	Adenylate cyclase	cyaA	sp|P00936|CYAA_ECOLI Adenylate cyclase OS=Escherichia coli (strain K12) OX=83333 GN=cyaA PE=1 SV=5	1	4	4	4	5.1	5.1	5.1	97.585	848	848	0.0	6.0353	1166600	4	48	1025;1156;7714;10111	True;True;True;True	1141;1302;8418;11176	1643;1879;11509;15395	2143;2449;15530;20787	2143;2449;15530;20787		
P00944	P00944	5	5	5	Xylose isomerase	xylA	sp|P00944|XYLA_ECOLI Xylose isomerase OS=Escherichia coli (strain K12) OX=83333 GN=xylA PE=3 SV=1	1	5	5	5	16.6	16.6	16.6	49.741	440	440	0.0	8.8314	2670600	6	49	6317;8068;10402;10546;14637	True;True;True;True;True	6916;8790;11488;11648;16100	9437;11969;15804;16009;22066	12721;16145;21317;21570;21571;29844	12721;16145;21317;21570;29844		
P00946	P00946	5	5	5	Mannose-6-phosphate isomerase	manA	sp|P00946|MANA_ECOLI Mannose-6-phosphate isomerase OS=Escherichia coli (strain K12) OX=83333 GN=manA PE=1 SV=1	1	5	5	5	19.7	19.7	19.7	42.849	391	391	0.0	12.428	5574200	6	50	8318;11411;13769;14143;14818	True;True;True;True;True	9057;12574;15143;15563;16295	12328;12329;17195;20740;21331;22313	16654;16655;23105;27977;28787;30173	16655;23105;27977;28787;30173		
