Protein IDs,Protein names,Gene Names,LNCaP/RWPE-1 normalized 1st,LNCaP/RWPE-1 normalized 2nd,LNCaP/RWPE-1 normalized 3rd
O14744,"Protein arginine N-methyltransferase 5 (PRMT5) (EC 2.1.1.320) (72 kDa ICln-binding protein) (Histone-arginine N-methyltransferase PRMT5) (Jak-binding protein 1) (Shk1 kinase-binding protein 1 homolog) (SKB1 homolog) (SKB1Hs) [Cleaved into: Protein arginine N-methyltransferase 5, N-terminally processed]",PRMT5 HRMT1L5 IBP72 JBP1 SKB1,0.94381,0.78673,0.77026
O14745,Na(+)/H(+) exchange regulatory cofactor NHE-RF1 (NHERF-1) (Ezrin-radixin-moesin-binding phosphoprotein 50) (EBP50) (Regulatory cofactor of Na(+)/H(+) exchanger) (Sodium-hydrogen exchanger regulatory factor 1) (Solute carrier family 9 isoform A3 regulatory factor 1),SLC9A3R1 NHERF NHERF1,2.3323,2.0031,2.6375
O14773,Tripeptidyl-peptidase 1 (TPP-1) (EC 3.4.14.9) (Cell growth-inhibiting gene 1 protein) (Lysosomal pepstatin-insensitive protease) (LPIC) (Tripeptidyl aminopeptidase) (Tripeptidyl-peptidase I) (TPP-I),TPP1 CLN2 GIG1 UNQ267/PRO304,3.8409,3.7286,3.777
O14776,Transcription elongation regulator 1 (TATA box-binding protein-associated factor 2S) (Transcription factor CA150),TCERG1 CA150 TAF2S,0.61516,0.5814,0.58384
O14787,Transportin-2 (Karyopherin beta-2b),TNPO2,1.5401,1.5016,1.6051
O14818,Proteasome subunit alpha type-7 (Proteasome subunit RC6-1) (Proteasome subunit XAPC7),PSMA7 HSPC,0.78021,0.79173,0.79745
O14908,PDZ domain-containing protein GIPC1 (GAIP C-terminus-interacting protein) (RGS-GAIP-interacting protein) (RGS19-interacting protein 1) (Synectin) (Tax interaction protein 2) (TIP-2),GIPC1 C19orf3 GIPC RGS19IP1,0.54768,0.53231,0.54826
O14929,Histone acetyltransferase type B catalytic subunit (EC 2.3.1.48) (Histone acetyltransferase 1),HAT1 KAT1,1.0708,1.0447,0.94974
O14964,Hepatocyte growth factor-regulated tyrosine kinase substrate (Hrs) (Protein pp110),HGS HRS,0.59965,0.68183,0.69735
O14979,Heterogeneous nuclear ribonucleoprotein D-like (hnRNP D-like) (hnRNP DL) (AU-rich element RNA-binding factor) (JKT41-binding protein) (Protein laAUF1),HNRNPDL HNRPDL JKTBP,0.8162,0.7856,0.7774
O14980,Exportin-1 (Exp1) (Chromosome region maintenance 1 protein homolog),XPO1 CRM1,0.86343,0.82962,0.84789
O15020,"Spectrin beta chain, non-erythrocytic 2 (Beta-III spectrin) (Spinocerebellar ataxia 5 protein)",SPTBN2 KIAA0302 SCA5,3.2027,3.1145,2.6406
O15027,Protein transport protein Sec16A (SEC16 homolog A) (p250),SEC16A KIAA0310 SEC16 SEC16L,0.85482,0.7184,0.88036
O15042,U2 snRNP-associated SURP motif-containing protein (140 kDa Ser/Arg-rich domain protein) (U2-associated protein SR140),U2SURP KIAA0332 SR140,0.89496,0.98522,0.88971
O15067,Phosphoribosylformylglycinamidine synthase (FGAM synthase) (FGAMS) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase) (FGAR amidotransferase) (FGAR-AT) (Formylglycinamide ribotide amidotransferase) (Phosphoribosylformylglycineamide amidotransferase),PFAS KIAA0361,0.57632,0.58148,0.59693
O15116,U6 snRNA-associated Sm-like protein LSm1 (Cancer-associated Sm-like) (Small nuclear ribonuclear CaSm),LSM1 CASM,0.9294,0.98069,0.74826
O15144,Actin-related protein 2/3 complex subunit 2 (Arp2/3 complex 34 kDa subunit) (p34-ARC),ARPC2 ARC34 PRO2446,0.6092,0.60482,0.60028
O15145,Actin-related protein 2/3 complex subunit 3 (Arp2/3 complex 21 kDa subunit) (p21-ARC),ARPC3 ARC21,0.60189,0.63185,0.58629
O15173,Membrane-associated progesterone receptor component 2 (Progesterone membrane-binding protein) (Steroid receptor protein DG6),PGRMC2 DG6 PMBP,1.1895,1.1133,1.0783
O15212,Prefoldin subunit 6 (Protein Ke2),PFDN6 HKE2 PFD6,0.7519,0.70414,0.71763
O15260,Surfeit locus protein 4,SURF4 SURF-4,0.7448,0.76291,0.723
O15269,Serine palmitoyltransferase 1 (EC 2.3.1.50) (Long chain base biosynthesis protein 1) (LCB 1) (Serine-palmitoyl-CoA transferase 1) (SPT 1) (SPT1),SPTLC1 LCB1,0.47592,0.43423,0.46414
O15355,Protein phosphatase 1G (EC 3.1.3.16) (Protein phosphatase 1C) (Protein phosphatase 2C isoform gamma) (PP2C-gamma) (Protein phosphatase magnesium-dependent 1 gamma),PPM1G PPM1C,1.148,1.1014,1.1484
O15371,Eukaryotic translation initiation factor 3 subunit D (eIF3d) (Eukaryotic translation initiation factor 3 subunit 7) (eIF-3-zeta) (eIF3 p66),EIF3D EIF3S7,0.93294,0.80878,0.92766
O15372,Eukaryotic translation initiation factor 3 subunit H (eIF3h) (Eukaryotic translation initiation factor 3 subunit 3) (eIF-3-gamma) (eIF3 p40 subunit),EIF3H EIF3S3,0.88458,0.85441,0.91773
O15397,Importin-8 (Imp8) (Ran-binding protein 8) (RanBP8),IPO8 RANBP8,1.0768,1.0043,1.047
O15511,Actin-related protein 2/3 complex subunit 5 (Arp2/3 complex 16 kDa subunit) (p16-ARC),ARPC5 ARC16,0.59307,0.63736,0.57401
O43143,ATP-dependent RNA helicase DHX15 (EC 3.6.4.13) (ATP-dependent RNA helicase #46) (DEAH box protein 15) (Splicing factor Prp43) (hPrp43),DHX15 DBP1 DDX15,0.96861,0.96244,0.96378
O43148,mRNA cap guanine-N7 methyltransferase (EC 2.1.1.56) (RG7MT1) (mRNA (guanine-N(7))-methyltransferase) (mRNA cap methyltransferase) (hCMT1) (hMet) (hcm1p),RNMT KIAA0398,0.77075,0.89851,0.93292
O43169,Cytochrome b5 type B (Cytochrome b5 outer mitochondrial membrane isoform),CYB5B CYB5M OMB5,0.60431,0.60465,0.53361
O43172,U4/U6 small nuclear ribonucleoprotein Prp4 (PRP4 homolog) (hPrp4) (U4/U6 snRNP 60 kDa protein) (WD splicing factor Prp4),PRPF4 PRP4,0.79603,0.68217,0.79732
O43175,D-3-phosphoglycerate dehydrogenase (3-PGDH) (EC 1.1.1.95) (2-oxoglutarate reductase) (EC 1.1.1.399) (Malate dehydrogenase) (EC 1.1.1.37),PHGDH PGDH3,1.7435,1.7285,1.6291
O43237,"Cytoplasmic dynein 1 light intermediate chain 2 (Dynein light intermediate chain 2, cytosolic) (LIC-2) (LIC53/55)",DYNC1LI2 DNCLI2 LIC2,0.85732,0.67391,0.41795
O43242,26S proteasome non-ATPase regulatory subunit 3 (26S proteasome regulatory subunit RPN3) (26S proteasome regulatory subunit S3) (Proteasome subunit p58),PSMD3,1.0309,1.0037,0.99068
O43252,Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1 (PAPS synthase 1) (PAPSS 1) (Sulfurylase kinase 1) (SK 1) (SK1) [Includes: Sulfate adenylyltransferase (EC 2.7.7.4) (ATP-sulfurylase) (Sulfate adenylate transferase) (SAT); Adenylyl-sulfate kinase (EC 2.7.1.25) (3'-phosphoadenosine-5'-phosphosulfate synthase) (APS kinase) (Adenosine-5'-phosphosulfate 3'-phosphotransferase) (Adenylylsulfate 3'-phosphotransferase)],PAPSS1 ATPSK1 PAPSS,0.97283,1.046,1.0112
O43264,Centromere/kinetochore protein zw10 homolog,ZW10,0.94564,0.92929,1.1252
O43290,U4/U6.U5 tri-snRNP-associated protein 1 (SNU66 homolog) (hSnu66) (Squamous cell carcinoma antigen recognized by T-cells 1) (SART-1) (hSART-1) (U4/U6.U5 tri-snRNP-associated 110 kDa protein) (allergen Hom s 1),SART1,0.97817,0.9114,0.87865
O43324,Eukaryotic translation elongation factor 1 epsilon-1 (Aminoacyl tRNA synthetase complex-interacting multifunctional protein 3) (Elongation factor p18) (Multisynthase complex auxiliary component p18),EEF1E1 AIMP3 P18,0.89155,0.91176,0.96872
O43390,Heterogeneous nuclear ribonucleoprotein R (hnRNP R),HNRNPR HNRPR,0.79339,0.76431,0.82638
O43396,Thioredoxin-like protein 1 (32 kDa thioredoxin-related protein),TXNL1 TRP32 TXL TXNL,2.747,2.8329,3.1095
O43399,Tumor protein D54 (hD54) (Tumor protein D52-like 2),TPD52L2,0.36331,0.36801,0.38551
O43488,Aflatoxin B1 aldehyde reductase member 2 (EC 1.1.1.n11) (AFB1 aldehyde reductase 1) (AFB1-AR 1) (Aldoketoreductase 7) (Succinic semialdehyde reductase) (SSA reductase),AKR7A2 AFAR AFAR1 AKR7,1.2768,1.2605,1.3445
O43504,Ragulator complex protein LAMTOR5 (Hepatitis B virus X-interacting protein) (HBV X-interacting protein) (HBX-interacting protein) (Late endosomal/lysosomal adaptor and MAPK and MTOR activator 5),LAMTOR5 HBXIP XIP,1.6471,1.382,1.6235
O43583,Density-regulated protein (DRP) (Protein DRP1) (Smooth muscle cell-associated protein 3) (SMAP-3),DENR DRP1 H14,1.1176,1.0541,1.019
O43592,Exportin-T (Exportin(tRNA)) (tRNA exportin),XPOT,1.2584,1.2354,1.186
O43598,2'-deoxynucleoside 5'-phosphate N-hydrolase 1 (EC 3.2.2.-) (c-Myc-responsive protein RCL),DNPH1 C6orf108 RCL,1.2286,1.249,1.2211
O43615,Mitochondrial import inner membrane translocase subunit TIM44,TIMM44 MIMT44 TIM44,1.7278,1.5226,1.6488
O43681,"ATPase GET3 (EC 3.6.-.-) (Arsenical pump-driving ATPase) (Arsenite-stimulated ATPase) (Guided entry of tail-anchored proteins factor 3, ATPase) (Transmembrane domain recognition complex 40 kDa ATPase subunit) (hARSA-I) (hASNA-I)",GET3 ARSA ASNA1 TRC40,1.0379,0.93058,1.066
O43684,Mitotic checkpoint protein BUB3,BUB3,0.99505,1.0186,0.88012
O43707,Alpha-actinin-4 (Non-muscle alpha-actinin 4),ACTN4,0.33813,0.35971,0.35258
O43719,HIV Tat-specific factor 1 (Tat-SF1),HTATSF1,1.3707,1.2374,1.3235
O43747,AP-1 complex subunit gamma-1 (Adaptor protein complex AP-1 subunit gamma-1) (Adaptor-related protein complex 1 subunit gamma-1) (Clathrin assembly protein complex 1 gamma-1 large chain) (Gamma1-adaptin) (Golgi adaptor HA1/AP1 adaptin subunit gamma-1),AP1G1 ADTG CLAPG1,1.1687,1.2396,1.3191
O43760,Synaptogyrin-2 (Cellugyrin),SYNGR2 UNQ352/PRO615,3.6308,3.5463,3.6421
O43765,Small glutamine-rich tetratricopeptide repeat-containing protein alpha (Alpha-SGT) (Vpu-binding protein) (UBP),SGTA SGT SGT1,1.0327,1.0437,1.1357
O43776,"Asparagine--tRNA ligase, cytoplasmic (EC 6.1.1.22) (Asparaginyl-tRNA synthetase) (AsnRS) (Asparaginyl-tRNA synthetase 1)",NARS1 NARS NRS,2.1888,2.2343,2.3003
O43809,Cleavage and polyadenylation specificity factor subunit 5 (Cleavage and polyadenylation specificity factor 25 kDa subunit) (CPSF 25 kDa subunit) (Cleavage factor Im complex 25 kDa subunit) (CFIm25) (Nucleoside diphosphate-linked moiety X motif 21) (Nudix motif 21) (Nudix hydrolase 21) (Pre-mRNA cleavage factor Im 68 kDa subunit),NUDT21 CFIM25 CPSF25 CPSF5,1.1685,1.2766,1.1834
O43813,Glutathione S-transferase LANCL1 (EC 2.5.1.18) (40 kDa erythrocyte membrane protein) (p40) (LanC-like protein 1),LANCL1 GPR69A,1.3174,1.1506,1.1774
O43818,U3 small nucleolar RNA-interacting protein 2 (RRP9 homolog) (U3 small nucleolar ribonucleoprotein-associated 55 kDa protein) (U3 snoRNP-associated 55 kDa protein) (U3-55K),RRP9 RNU3IP2 U355K,1.406,1.6139,1.4506
O43837,"Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial (Isocitric dehydrogenase subunit beta) (NAD(+)-specific ICDH subunit beta)",IDH3B,0.87475,1.0679,1.1969
O43847,Nardilysin (EC 3.4.24.61) (N-arginine dibasic convertase) (NRD convertase) (NRD-C) (Nardilysin convertase),NRDC NRD1,0.57474,0.56417,0.64007
O43852,Calumenin (Crocalbin) (IEF SSP 9302),CALU,0.52224,0.55532,0.48765
O43865,S-adenosylhomocysteine hydrolase-like protein 1 (DC-expressed AHCY-like molecule) (IP(3)Rs binding protein released with IP(3)) (IRBIT) (Putative adenosylhomocysteinase 2) (S-adenosyl-L-homocysteine hydrolase 2) (AdoHcyase 2),AHCYL1 DCAL IRBIT XPVKONA,1.632,1.7302,1.4731
O43920,NADH dehydrogenase [ubiquinone] iron-sulfur protein 5 (Complex I-15 kDa) (CI-15 kDa) (NADH-ubiquinone oxidoreductase 15 kDa subunit),NDUFS5,2.8427,2.8518,3.0833
O60216,Double-strand-break repair protein rad21 homolog (hHR21) (Nuclear matrix protein 1) (NXP-1) (SCC1 homolog) [Cleaved into: 64-kDa C-terminal product (64-kDa carboxy-terminal product) (65-kDa carboxy-terminal product)],RAD21 HR21 KIAA0078 NXP1 SCC1,0.93297,0.82135,0.84181
O60220,Mitochondrial import inner membrane translocase subunit Tim8 A (Deafness dystonia protein 1) (X-linked deafness dystonia protein),TIMM8A DDP DDP1 TIM8A,1.9673,1.7923,2.4064
O60231,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16 (EC 3.6.4.13) (ATP-dependent RNA helicase #3) (DEAH-box protein 16),DHX16 DBP2 DDX16 KIAA0577 PRP2,0.744,0.627,0.76887
O60256,Phosphoribosyl pyrophosphate synthase-associated protein 2 (PRPP synthase-associated protein 2) (41 kDa phosphoribosypyrophosphate synthetase-associated protein) (PAP41),PRPSAP2,1.1601,0.92444,1.2168
O60264,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin A5) (EC 3.6.4.-) (Sucrose nonfermenting protein 2 homolog) (hSNF2H),SMARCA5 SNF2H WCRF135,0.99267,1.0215,1.0143
O60313,"Dynamin-like 120 kDa protein, mitochondrial (EC 3.6.5.5) (Optic atrophy protein 1) [Cleaved into: Dynamin-like 120 kDa protein, form S1]",OPA1 KIAA0567,1.2548,1.2579,1.2903
O60341,Lysine-specific histone demethylase 1A (EC 1.14.99.66) (BRAF35-HDAC complex protein BHC110) (Flavin-containing amine oxidase domain-containing protein 2) ([histone H3]-dimethyl-L-lysine(4) FAD-dependent demethylase 1A),KDM1A AOF2 KDM1 KIAA0601 LSD1,1.0602,1.1842,1.2139
O60493,Sorting nexin-3 (Protein SDP3),SNX3,1.1866,1.1263,1.1215
O60506,"Heterogeneous nuclear ribonucleoprotein Q (hnRNP Q) (Glycine- and tyrosine-rich RNA-binding protein) (GRY-RBP) (NS1-associated protein 1) (Synaptotagmin-binding, cytoplasmic RNA-interacting protein)",SYNCRIP HNRPQ NSAP1,0.80591,0.79527,0.81118
O60610,Protein diaphanous homolog 1 (Diaphanous-related formin-1) (DRF1),DIAPH1 DIAP1,0.44118,0.46613,0.4321
O60664,Perilipin-3 (47 kDa mannose 6-phosphate receptor-binding protein) (47 kDa MPR-binding protein) (Cargo selection protein TIP47) (Mannose-6-phosphate receptor-binding protein 1) (Placental protein 17) (PP17),PLIN3 M6PRBP1 TIP47,1.0573,1.016,0.97107
O60684,Importin subunit alpha-7 (Karyopherin subunit alpha-6),KPNA6 IPOA7,0.77043,0.74598,0.61784
O60701,UDP-glucose 6-dehydrogenase (UDP-Glc dehydrogenase) (UDP-GlcDH) (UDPGDH) (EC 1.1.1.22),UGDH,1.9551,1.7704,1.7905
O60716,Catenin delta-1 (Cadherin-associated Src substrate) (CAS) (p120 catenin) (p120(ctn)) (p120(cas)),CTNND1 KIAA0384,0.91963,0.93594,1.0147
O60749,Sorting nexin-2 (Transformation-related gene 9 protein) (TRG-9),SNX2 TRG9,0.77138,0.81845,0.77433
O60762,Dolichol-phosphate mannosyltransferase subunit 1 (EC 2.4.1.83) (Dolichol-phosphate mannose synthase subunit 1) (DPM synthase subunit 1) (Dolichyl-phosphate beta-D-mannosyltransferase subunit 1) (Mannose-P-dolichol synthase subunit 1) (MPD synthase subunit 1),DPM1,1.2159,1.3655,1.1698
O60763,General vesicular transport factor p115 (Protein USO1 homolog) (Transcytosis-associated protein) (TAP) (Vesicle-docking protein),USO1 VDP,1.2,1.1947,1.1544
O60832,H/ACA ribonucleoprotein complex subunit DKC1 (EC 5.4.99.-) (CBF5 homolog) (Dyskerin) (Nopp140-associated protein of 57 kDa) (Nucleolar protein NAP57) (Nucleolar protein family A member 4) (snoRNP protein DKC1),DKC1 NOLA4,1.1363,1.1586,1.1061
O60841,Eukaryotic translation initiation factor 5B (eIF-5B) (EC 3.6.5.3) (Translation initiation factor IF-2),EIF5B IF2 KIAA0741,0.59696,0.64511,0.59792
O60869,Endothelial differentiation-related factor 1 (EDF-1) (Multiprotein-bridging factor 1) (MBF1),EDF1,0.78723,0.78022,0.80019
O60888,Protein CutA (Acetylcholinesterase-associated protein) (Brain acetylcholinesterase putative membrane anchor),CUTA ACHAP C6orf82,0.73722,0.90512,0.9288
O60925,Prefoldin subunit 1,PFDN1 PFD1,0.79694,0.69209,0.63003
O75083,WD repeat-containing protein 1 (Actin-interacting protein 1) (AIP1) (NORI-1),WDR1,0.63113,0.58112,0.67429
O75131,Copine-3 (Copine III),CPNE3 CPN3 KIAA0636,2.0812,2.2341,2.0667
O75153,Clustered mitochondria protein homolog,CLUH KIAA0664,1.8252,1.7428,1.74
O75223,Gamma-glutamylcyclotransferase (EC 4.3.2.9) (Cytochrome c-releasing factor 21),GGCT C7orf24 CRF21,2.3221,2.2695,2.1298
O75306,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial (EC 7.1.1.2) (Complex I-49kD) (CI-49kD) (NADH-ubiquinone oxidoreductase 49 kDa subunit)",NDUFS2,2.0268,2.1779,2.0546
O75340,Programmed cell death protein 6 (Apoptosis-linked gene 2 protein homolog) (ALG-2),PDCD6 ALG2,1.2205,1.1582,1.193
O75347,Tubulin-specific chaperone A (TCP1-chaperonin cofactor A) (Tubulin-folding cofactor A) (CFA),TBCA,1.2749,1.2957,1.3352
O75348,V-type proton ATPase subunit G 1 (V-ATPase subunit G 1) (V-ATPase 13 kDa subunit 1) (Vacuolar proton pump subunit G 1) (Vacuolar proton pump subunit M16),ATP6V1G1 ATP6G ATP6G1 ATP6J,1.1043,1.2369,1.1036
O75351,Vacuolar protein sorting-associated protein 4B (EC 3.6.4.6) (Cell migration-inducing gene 1 protein) (Suppressor of K(+) transport growth defect 1) (Protein SKD1),VPS4B SKD1 VPS42 MIG1,0.43073,0.59021,0.40734
O75352,Mannose-P-dolichol utilization defect 1 protein (Suppressor of Lec15 and Lec35 glycosylation mutation homolog) (SL15),MPDU1,1.2815,1.2464,1.3647
O75367,Core histone macro-H2A.1 (Histone macroH2A1) (mH2A1) (Histone H2A.y) (H2A/y) (Medulloblastoma antigen MU-MB-50.205),MACROH2A1 H2AFY,1.1713,1.1369,1.1521
